카테고리,강원도 화천군,강원도 화천군 화천읍,강원도 화천군 간동면,강원도 화천군 하남면,강원도 화천군 상서면,강원도 화천군 사내면
2021년04월_계_총인구수,"24,446","8,345","2,691","2,845","4,178","6,387"
2021년04월_계_연령구간인구수,"24,446","8,345","2,691","2,845","4,178","6,387"
2021년04월_계_0~9세,"1,768",694,53,133,279,609
2021년04월_계_10~19세,"1,738",738,145,260,160,435
2021년04월_계_20~29세,"3,755","1,163",264,257,"1,106",965
2021년04월_계_30~39세,"2,820",999,129,251,511,930
2021년04월_계_40~49세,"2,641","1,123",213,362,311,632
2021년04월_계_50~59세,"3,822","1,303",573,520,503,923
2021년04월_계_60~69세,"3,933","1,115",643,520,637,"1,018"
2021년04월_계_70~79세,"2,337",736,393,307,373,528
2021년04월_계_80~89세,"1,401",422,228,202,253,296
2021년04월_계_90~99세,221,49,49,30,44,49
2021년04월_계_100세 이상,10,3,1,3,1,2
2021년04월_남_총인구수,"13,278","4,354","1,431","1,490","2,535","3,468"
2021년04월_남_연령구간인구수,"13,278","4,354","1,431","1,490","2,535","3,468"
2021년04월_남_0~9세,891,357,27,69,127,311
2021년04월_남_10~19세,876,375,69,133,82,217
2021년04월_남_20~29세,"2,625",712,194,141,906,672
2021년04월_남_30~39세,"1,665",562,77,133,347,546
2021년04월_남_40~49세,"1,449",593,107,207,193,349
2021년04월_남_50~59세,"2,074",706,327,294,272,475
2021년04월_남_60~69세,"2,113",593,353,284,349,534
2021년04월_남_70~79세,"1,044",303,183,153,163,242
2021년04월_남_80~89세,487,142,80,68,88,109
2021년04월_남_90~99세,50,11,13,6,8,12
2021년04월_남_100세 이상,4,0,1,2,0,1
2021년04월_여_총인구수,"11,168","3,991","1,260","1,355","1,643","2,919"
2021년04월_여_연령구간인구수,"11,168","3,991","1,260","1,355","1,643","2,919"
2021년04월_여_0~9세,877,337,26,64,152,298
2021년04월_여_10~19세,862,363,76,127,78,218
2021년04월_여_20~29세,"1,130",451,70,116,200,293
2021년04월_여_30~39세,"1,155",437,52,118,164,384
2021년04월_여_40~49세,"1,192",530,106,155,118,283
2021년04월_여_50~59세,"1,748",597,246,226,231,448
2021년04월_여_60~69세,"1,820",522,290,236,288,484
2021년04월_여_70~79세,"1,293",433,210,154,210,286
2021년04월_여_80~89세,914,280,148,134,165,187
2021년04월_여_90~99세,171,38,36,24,36,37
2021년04월_여_100세 이상,6,3,0,1,1,1
