카테고리,경기도 양평군,경기도 양평군 양평읍,경기도 양평군 강상면,경기도 양평군 강하면,경기도 양평군 양서면,경기도 양평군 옥천면,경기도 양평군 서종면,경기도 양평군 단월면,경기도 양평군 청운면,경기도 양평군 양동면,경기도 양평군 지평면,경기도 양평군 용문면,경기도 양평군 개군면
2021년01월_계_총인구수,"119,022","30,713","10,473","4,753","13,599","7,951","9,680","3,902","3,750","4,598","6,857","17,638","5,108"
2021년01월_계_연령구간인구수,"119,022","30,713","10,473","4,753","13,599","7,951","9,680","3,902","3,750","4,598","6,857","17,638","5,108"
2021년01월_계_0~9세,"7,263","2,174",942,182,742,479,625,129,113,141,228,"1,276",232
2021년01월_계_10~19세,"9,727","3,325",944,239,"1,033",560,838,230,156,196,385,"1,506",315
2021년01월_계_20~29세,"10,568","3,538",839,339,"1,220",734,605,255,229,277,477,"1,658",397
2021년01월_계_30~39세,"10,782","3,194","1,217",376,"1,207",756,820,286,198,292,421,"1,649",366
2021년01월_계_40~49세,"16,304","4,832","1,687",499,"1,822","1,058","1,480",438,352,387,683,"2,472",594
2021년01월_계_50~59세,"20,819","5,378","1,653",885,"2,417","1,393","1,722",681,678,908,"1,271","2,946",887
2021년01월_계_60~69세,"23,009","4,479","1,777","1,236","2,727","1,648","2,057",959,979,"1,162","1,696","3,085","1,204"
2021년01월_계_70~79세,"13,150","2,438",944,711,"1,622",882,"1,037",571,611,709,999,"1,904",722
2021년01월_계_80~89세,"6,318","1,174",408,236,689,379,412,311,381,439,584,962,343
2021년01월_계_90~99세,"1,016",165,59,49,109,58,79,42,48,79,110,172,46
2021년01월_계_100세 이상,66,16,3,1,11,4,5,0,5,8,3,8,2
2021년01월_남_총인구수,"59,658","15,371","5,181","2,397","6,765","4,017","4,810","1,981","1,917","2,282","3,496","8,856","2,585"
2021년01월_남_연령구간인구수,"59,658","15,371","5,181","2,397","6,765","4,017","4,810","1,981","1,917","2,282","3,496","8,856","2,585"
2021년01월_남_0~9세,"3,709","1,125",476,101,376,226,295,60,62,81,135,658,114
2021년01월_남_10~19세,"5,113","1,713",487,140,536,299,450,120,90,102,220,788,168
2021년01월_남_20~29세,"5,858","1,953",437,192,655,429,340,144,124,159,279,925,221
2021년01월_남_30~39세,"5,442","1,608",578,194,612,395,385,165,110,156,215,830,194
2021년01월_남_40~49세,"8,272","2,319",852,253,926,564,741,235,207,209,375,"1,273",318
2021년01월_남_50~59세,"10,682","2,780",823,441,"1,218",701,857,363,357,480,662,"1,532",468
2021년01월_남_60~69세,"11,450","2,239",862,596,"1,316",820,"1,010",489,498,573,910,"1,534",603
2021년01월_남_70~79세,"6,452","1,172",492,377,794,430,549,279,297,333,466,906,357
2021년01월_남_80~89세,"2,429",418,157,94,304,135,163,119,162,169,202,373,133
2021년01월_남_90~99세,237,42,17,8,22,18,19,7,9,19,32,36,8
2021년01월_남_100세 이상,14,2,0,1,6,0,1,0,1,1,0,1,1
2021년01월_여_총인구수,"59,364","15,342","5,292","2,356","6,834","3,934","4,870","1,921","1,833","2,316","3,361","8,782","2,523"
2021년01월_여_연령구간인구수,"59,364","15,342","5,292","2,356","6,834","3,934","4,870","1,921","1,833","2,316","3,361","8,782","2,523"
2021년01월_여_0~9세,"3,554","1,049",466,81,366,253,330,69,51,60,93,618,118
2021년01월_여_10~19세,"4,614","1,612",457,99,497,261,388,110,66,94,165,718,147
2021년01월_여_20~29세,"4,710","1,585",402,147,565,305,265,111,105,118,198,733,176
2021년01월_여_30~39세,"5,340","1,586",639,182,595,361,435,121,88,136,206,819,172
2021년01월_여_40~49세,"8,032","2,513",835,246,896,494,739,203,145,178,308,"1,199",276
2021년01월_여_50~59세,"10,137","2,598",830,444,"1,199",692,865,318,321,428,609,"1,414",419
2021년01월_여_60~69세,"11,559","2,240",915,640,"1,411",828,"1,047",470,481,589,786,"1,551",601
2021년01월_여_70~79세,"6,698","1,266",452,334,828,452,488,292,314,376,533,998,365
2021년01월_여_80~89세,"3,889",756,251,142,385,244,249,192,219,270,382,589,210
2021년01월_여_90~99세,779,123,42,41,87,40,60,35,39,60,78,136,38
2021년01월_여_100세 이상,52,14,3,0,5,4,4,0,4,7,3,7,1
