,서울특별시 마포구,서울특별시 마포구 아현동,서울특별시 마포구 공덕동,서울특별시 마포구 도화동,서울특별시 마포구 용강동,서울특별시 마포구 대흥동,서울특별시 마포구 염리동,서울특별시 마포구 신수동,서울특별시 마포구 서강동,서울특별시 마포구 서교동,서울특별시 마포구 합정동,서울특별시 마포구 망원제1동,서울특별시 마포구 망원제2동,서울특별시 마포구 연남동,서울특별시 마포구 성산제1동,서울특별시 마포구 성산제2동,서울특별시 마포구 상암동
2021년10월_계_총인구수,"369,695","25,281","37,241","21,239","21,671","14,517","16,742","22,594","24,968","24,927","17,440","20,139","18,612","15,058","18,943","39,534","30,789"
2021년10월_계_연령구간인구수,"369,695","25,281","37,241","21,239","21,671","14,517","16,742","22,594","24,968","24,927","17,440","20,139","18,612","15,058","18,943","39,534","30,789"
2021년10월_계_0~9세,"23,889","2,718","2,214","1,445","2,147",645,"1,460","1,691","1,762",797,922,969,"1,096",580,856,"2,300","2,287"
2021년10월_계_10~19세,"27,880","1,672","2,204","1,560","2,051",833,"1,545","1,827","1,708","1,156",909,"1,251","1,508",767,"1,425","3,359","4,105"
2021년10월_계_20~29세,"61,607","3,058","6,210","2,870","2,200","3,590","2,486","3,358","5,023","6,254","3,297","3,324","2,806","3,173","3,125","6,541","4,292"
2021년10월_계_30~39세,"63,696","4,893","6,486","3,586","3,662","2,448","2,649","3,566","4,143","5,394","3,611","3,807","2,901","3,026","3,237","6,525","3,762"
2021년10월_계_40~49세,"60,023","4,308","5,279","3,081","4,340","2,043","3,112","3,799","3,901","3,638","2,586","3,126","3,181","2,222","3,250","6,253","5,904"
2021년10월_계_50~59세,"54,937","3,846","6,274","3,431","3,055","2,050","2,483","3,592","3,671","3,068","2,368","2,933","2,815","1,969","2,860","5,882","4,640"
2021년10월_계_60~69세,"41,020","2,816","4,604","2,784","2,220","1,508","1,571","2,527","2,601","2,275","1,959","2,437","2,206","1,719","2,257","4,396","3,140"
2021년10월_계_70~79세,"23,519","1,194","2,513","1,496","1,263",865,891,"1,457","1,364","1,464","1,171","1,540","1,435",996,"1,305","2,846","1,719"
2021년10월_계_80~89세,"11,415",661,"1,303",848,628,454,482,679,695,745,532,664,592,515,569,"1,236",812
2021년10월_계_90~99세,"1,604",106,141,136,102,70,51,93,98,128,83,83,66,86,55,188,118
2021년10월_계_100세 이상,105,9,13,2,3,11,12,5,2,8,2,5,6,5,4,8,10
2021년10월_남_총인구수,"173,985","11,857","17,487","10,149","10,240","7,018","8,065","11,007","11,883","11,453","8,085","9,458","8,756","7,122","8,883","17,908","14,614"
2021년10월_남_연령구간인구수,"173,985","11,857","17,487","10,149","10,240","7,018","8,065","11,007","11,883","11,453","8,085","9,458","8,756","7,122","8,883","17,908","14,614"
2021년10월_남_0~9세,"12,222","1,344","1,167",772,"1,049",350,749,859,920,397,479,484,577,278,417,"1,163","1,217"
2021년10월_남_10~19세,"14,050",806,"1,098",802,984,445,777,979,857,564,446,624,750,419,692,"1,742","2,065"
2021년10월_남_20~29세,"27,620","1,330","2,673","1,377","1,020","1,624","1,149","1,744","2,339","2,693","1,440","1,532","1,278","1,455","1,454","2,620","1,892"
2021년10월_남_30~39세,"30,097","2,247","3,091","1,722","1,695","1,227","1,269","1,721","1,969","2,523","1,719","1,839","1,366","1,493","1,570","2,938","1,708"
2021년10월_남_40~49세,"29,110","2,153","2,620","1,501","2,060","1,010","1,560","1,778","1,872","1,771","1,251","1,510","1,561","1,122","1,555","2,984","2,802"
2021년10월_남_50~59세,"26,972","1,857","3,076","1,630","1,554","1,070","1,254","1,804","1,779","1,478","1,118","1,444","1,372",934,"1,362","2,843","2,397"
2021년10월_남_60~69세,"19,127","1,354","2,212","1,324","1,066",727,739,"1,210","1,248","1,040",901,"1,114",981,774,"1,020","1,988","1,429"
