카테고리,전라남도 장성군,전라남도 장성군 장성읍,전라남도 장성군 진원면,전라남도 장성군 남면,전라남도 장성군 동화면,전라남도 장성군 삼서면,전라남도 장성군 삼계면,전라남도 장성군 황룡면,전라남도 장성군 서삼면,전라남도 장성군 북일면,전라남도 장성군 북이면,전라남도 장성군 북하면
2020년03월_계_총인구수,"45,412","13,703","3,664","3,746","1,883","3,612","6,441","4,172","1,572","1,424","2,923","2,272"
2020년03월_계_연령구간인구수,"45,412","13,703","3,664","3,746","1,883","3,612","6,441","4,172","1,572","1,424","2,923","2,272"
2020년03월_계_0~9세,"2,970","1,059",302,164,52,153,795,198,57,37,85,68
2020년03월_계_10~19세,"3,406","1,224",305,187,81,193,687,280,105,62,185,97
2020년03월_계_20~29세,"4,632","1,347",322,390,156,612,781,423,130,115,209,147
2020년03월_계_30~39세,"3,916","1,272",272,328,130,221,882,293,109,92,153,164
2020년03월_계_40~49세,"5,772","1,971",484,417,191,406,951,550,184,111,289,218
2020년03월_계_50~59세,"7,639","2,221",619,728,383,585,846,793,277,251,494,442
2020년03월_계_60~69세,"6,989","1,950",586,664,353,582,596,724,289,269,511,465
2020년03월_계_70~79세,"5,947","1,640",447,506,283,481,557,530,254,296,555,398
2020년03월_계_80~89세,"3,627",897,286,312,221,348,310,321,141,168,401,222
2020년03월_계_90~99세,472,109,36,48,32,30,36,55,23,22,39,42
2020년03월_계_100세 이상,42,13,5,2,1,1,0,5,3,1,2,9
2020년03월_남_총인구수,"23,357","6,801","1,846","1,985","1,001","2,085","3,362","2,097",827,708,"1,467","1,178"
2020년03월_남_연령구간인구수,"23,357","6,801","1,846","1,985","1,001","2,085","3,362","2,097",827,708,"1,467","1,178"
2020년03월_남_0~9세,"1,489",545,157,79,24,79,385,93,28,15,47,37
2020년03월_남_10~19세,"1,809",628,170,103,45,105,358,141,60,37,107,55
2020년03월_남_20~29세,"2,804",730,167,221,103,537,477,241,70,67,114,77
2020년03월_남_30~39세,"2,083",639,126,199,82,125,479,149,71,48,76,89
2020년03월_남_40~49세,"3,341","1,081",267,269,125,262,532,327,112,63,171,132
2020년03월_남_50~59세,"4,338","1,214",369,408,221,335,490,450,161,143,288,259
2020년03월_남_60~69세,"3,608",947,283,365,204,299,310,371,158,139,277,255
2020년03월_남_70~79세,"2,595",717,203,226,117,214,219,225,116,129,237,192
2020년03월_남_80~89세,"1,172",278,92,101,70,121,102,87,43,61,143,74
2020년03월_남_90~99세,114,21,12,14,10,8,10,13,6,6,7,7
2020년03월_남_100세 이상,4,1,0,0,0,0,0,0,2,0,0,1
2020년03월_여_총인구수,"22,055","6,902","1,818","1,761",882,"1,527","3,079","2,075",745,716,"1,456","1,094"
2020년03월_여_연령구간인구수,"22,055","6,902","1,818","1,761",882,"1,527","3,079","2,075",745,716,"1,456","1,094"
2020년03월_여_0~9세,"1,481",514,145,85,28,74,410,105,29,22,38,31
2020년03월_여_10~19세,"1,597",596,135,84,36,88,329,139,45,25,78,42
2020년03월_여_20~29세,"1,828",617,155,169,53,75,304,182,60,48,95,70
2020년03월_여_30~39세,"1,833",633,146,129,48,96,403,144,38,44,77,75
2020년03월_여_40~49세,"2,431",890,217,148,66,144,419,223,72,48,118,86
2020년03월_여_50~59세,"3,301","1,007",250,320,162,250,356,343,116,108,206,183
2020년03월_여_60~69세,"3,381","1,003",303,299,149,283,286,353,131,130,234,210
2020년03월_여_70~79세,"3,352",923,244,280,166,267,338,305,138,167,318,206
2020년03월_여_80~89세,"2,455",619,194,211,151,227,208,234,98,107,258,148
2020년03월_여_90~99세,358,88,24,34,22,22,26,42,17,16,32,35
2020년03월_여_100세 이상,38,12,5,2,1,1,0,5,1,1,2,8
