카테고리,경기도 평택시,경기도 평택시 팽성읍,경기도 평택시 안중읍,경기도 평택시 포승읍,경기도 평택시 청북읍,경기도 평택시 진위면,경기도 평택시 서탄면,경기도 평택시 고덕면,경기도 평택시 오성면,경기도 평택시 현덕면,경기도 평택시 중앙동,경기도 평택시 서정동,경기도 평택시 송탄동,경기도 평택시 지산동,경기도 평택시 송북동,경기도 평택시 신장1동,경기도 평택시 신장2동,경기도 평택시 신평동,경기도 평택시 원평동,경기도 평택시 통복동,경기도 평택시 비전1동,경기도 평택시 비전2동,경기도 평택시 용이동,경기도 평택시 세교동
2021년07월_계_총인구수,"551,603","28,145","43,744","24,266","27,163","11,312","3,678","27,804","6,639","5,186","44,302","25,480","20,171","12,836","22,087","7,053","5,697","22,777","10,576","4,111","88,963","54,048","25,947","29,618"
2021년07월_계_연령구간인구수,"551,603","28,145","43,744","24,266","27,163","11,312","3,678","27,804","6,639","5,186","44,302","25,480","20,171","12,836","22,087","7,053","5,697","22,777","10,576","4,111","88,963","54,048","25,947","29,618"
2021년07월_계_0~9세,"49,404","1,599","3,795","1,798","3,970",458,115,"3,077",298,140,"2,813","1,258","2,358",675,"1,573",582,158,993,523,125,"11,365","5,695","3,427","2,609"
2021년07월_계_10~19세,"53,868","1,851","5,726","1,913","3,302",801,208,"2,104",486,276,"4,795","2,268","1,854",886,"2,159",488,272,"1,691",626,215,"9,691","6,185","3,184","2,887"
2021년07월_계_20~29세,"76,240","3,169","5,938","3,255","2,414","1,482",352,"4,348",690,431,"7,336","3,734","2,594","2,540","2,931","1,054",706,"4,022","1,614",627,"11,627","7,285","3,623","4,468"
2021년07월_계_30~39세,"83,366","3,185","5,580","3,866","4,755","1,332",339,"5,568",608,341,"5,437","3,069","3,407","2,323","2,592","1,224",652,"2,982","1,472",419,"17,100","7,983","4,742","4,390"
2021년07월_계_40~49세,"95,681","4,073","8,441","4,635","5,596","1,672",463,"4,488",878,589,"7,488","4,099","3,697","2,124","3,701","1,119",768,"3,390","1,562",524,"16,988","9,428","5,276","4,682"
2021년07월_계_50~59세,"88,815","5,063","7,092","3,912","3,031","2,110",670,"4,014","1,235",941,"8,202","4,832","3,271","1,978","4,052","1,097",992,"4,191","1,837",781,"12,064","8,759","3,314","5,377"
2021년07월_계_60~69세,"58,960","4,703","4,021","2,815","2,307","1,874",771,"2,459","1,233","1,143","4,762","3,398","1,854","1,247","2,908",768,"1,016","3,085","1,581",762,"6,364","5,225","1,553","3,111"
2021년07월_계_70~79세,"28,570","2,734","1,960","1,291","1,099","1,019",463,"1,105",694,786,"2,240","1,806",703,712,"1,378",451,680,"1,580",882,444,"2,477","2,202",542,"1,322"
2021년07월_계_80~89세,"14,641","1,578","1,041",659,579,499,265,543,451,470,"1,092",903,368,314,674,232,365,760,428,188,"1,136","1,155",251,690
2021년07월_계_90~99세,"1,966",181,147,118,106,63,32,97,65,66,133,110,64,35,105,37,65,80,50,26,147,123,35,81
2021년07월_계_100세 이상,92,9,3,4,4,2,0,1,1,3,4,3,1,2,14,1,23,3,1,0,4,8,0,1
2021년07월_남_총인구수,"286,588","14,669","22,574","14,625","14,359","6,236","2,014","14,761","3,571","2,736","22,833","12,939","10,543","7,065","11,060","3,666","2,906","11,802","5,535","2,137","45,185","26,830","13,597","14,945"
2021년07월_남_연령구간인구수,"286,588","14,669","22,574","14,625","14,359","6,236","2,014","14,761","3,571","2,736","22,833","12,939","10,543","7,065","11,060","3,666","2,906","11,802","5,535","2,137","45,185","26,830","13,597","14,945"
2021년07월_남_0~9세,"25,123",815,"1,875",889,"2,037",222,58,"1,534",171,77,"1,402",616,"1,218",327,783,301,92,520,259,57,"5,791","2,922","1,809","1,348"
2021년07월_남_10~19세,"27,801",971,"2,894","1,011","1,708",419,121,"1,058",249,140,"2,465","1,188",919,435,"1,090",254,151,897,321,121,"5,026","3,247","1,651","1,465"
2021년07월_남_20~29세,"42,026","1,801","3,217","2,125","1,339",918,220,"2,543",400,256,"4,128","2,049","1,412","1,486","1,619",587,391,"2,175",923,350,"6,021","3,767","1,921","2,378"
2021년07월_남_30~39세,"45,699","1,809","3,077","2,590","2,470",854,195,"3,096",384,202,"3,117","1,741","1,785","1,430","1,310",677,394,"1,752",888,260,"8,795","4,014","2,529","2,330"
2021년07월_남_40~49세,"51,179","2,251","4,326","3,042","3,159","1,006",305,"2,495",529,369,"3,818","2,180","2,026","1,238","1,927",620,461,"1,804",839,290,"8,757","4,567","2,780","2,390"
2021년07월_남_50~59세,"46,797","2,839","3,895","2,492","1,714","1,160",377,"2,081",700,544,"4,205","2,458","1,704","1,083","2,053",583,539,"2,142",971,421,"6,119","4,285","1,772","2,660"
2021년07월_남_60~69세,"29,680","2,362","2,041","1,578","1,176",984,426,"1,218",651,596,"2,350","1,603","1,003",636,"1,443",386,469,"1,516",781,365,"3,143","2,595",795,"1,563"
2021년07월_남_70~79세,"12,583","1,196",848,636,543,486,217,528,316,377,954,745,322,299,570,168,262,684,381,193,"1,106",945,252,555
2021년07월_남_80~89세,"5,215",585,368,232,190,174,88,191,150,160,360,323,141,125,231,81,122,291,163,73,390,455,82,240
2021년07월_남_90~99세,459,38,33,30,23,13,7,16,21,14,34,35,13,6,26,8,15,21,9,7,36,32,6,16
2021년07월_남_100세 이상,26,2,0,0,0,0,0,1,0,1,0,1,0,0,8,1,10,0,0,0,1,1,0,0
2021년07월_여_총인구수,"265,015","13,476","21,170","9,641","12,804","5,076","1,664","13,043","3,068","2,450","21,469","12,541","9,628","5,771","11,027","3,387","2,791","10,975","5,041","1,974","43,778","27,218","12,350","14,673"
2021년07월_여_연령구간인구수,"265,015","13,476","21,170","9,641","12,804","5,076","1,664","13,043","3,068","2,450","21,469","12,541","9,628","5,771","11,027","3,387","2,791","10,975","5,041","1,974","43,778","27,218","12,350","14,673"
2021년07월_여_0~9세,"24,281",784,"1,920",909,"1,933",236,57,"1,543",127,63,"1,411",642,"1,140",348,790,281,66,473,264,68,"5,574","2,773","1,618","1,261"
2021년07월_여_10~19세,"26,067",880,"2,832",902,"1,594",382,87,"1,046",237,136,"2,330","1,080",935,451,"1,069",234,121,794,305,94,"4,665","2,938","1,533","1,422"
2021년07월_여_20~29세,"34,214","1,368","2,721","1,130","1,075",564,132,"1,805",290,175,"3,208","1,685","1,182","1,054","1,312",467,315,"1,847",691,277,"5,606","3,518","1,702","2,090"
2021년07월_여_30~39세,"37,667","1,376","2,503","1,276","2,285",478,144,"2,472",224,139,"2,320","1,328","1,622",893,"1,282",547,258,"1,230",584,159,"8,305","3,969","2,213","2,060"
2021년07월_여_40~49세,"44,502","1,822","4,115","1,593","2,437",666,158,"1,993",349,220,"3,670","1,919","1,671",886,"1,774",499,307,"1,586",723,234,"8,231","4,861","2,496","2,292"
2021년07월_여_50~59세,"42,018","2,224","3,197","1,420","1,317",950,293,"1,933",535,397,"3,997","2,374","1,567",895,"1,999",514,453,"2,049",866,360,"5,945","4,474","1,542","2,717"
2021년07월_여_60~69세,"29,280","2,341","1,980","1,237","1,131",890,345,"1,241",582,547,"2,412","1,795",851,611,"1,465",382,547,"1,569",800,397,"3,221","2,630",758,"1,548"
2021년07월_여_70~79세,"15,987","1,538","1,112",655,556,533,246,577,378,409,"1,286","1,061",381,413,808,283,418,896,501,251,"1,371","1,257",290,767
2021년07월_여_80~89세,"9,426",993,673,427,389,325,177,352,301,310,732,580,227,189,443,151,243,469,265,115,746,700,169,450
2021년07월_여_90~99세,"1,507",143,114,88,83,50,25,81,44,52,99,75,51,29,79,29,50,59,41,19,111,91,29,65
2021년07월_여_100세 이상,66,7,3,4,4,2,0,0,1,2,4,2,1,2,6,0,13,3,1,0,3,7,0,1
