카테고리,서울특별시 성북구,서울특별시 성북구 성북동,서울특별시 성북구 삼선동,서울특별시 성북구 동선동,서울특별시 성북구 돈암제1동,서울특별시 성북구 돈암제2동,서울특별시 성북구 안암동,서울특별시 성북구 보문동,서울특별시 성북구 정릉제1동,서울특별시 성북구 정릉제2동,서울특별시 성북구 정릉제3동,서울특별시 성북구 정릉제4동,서울특별시 성북구 길음제1동,서울특별시 성북구 길음제2동,서울특별시 성북구 종암동,서울특별시 성북구 월곡제1동,서울특별시 성북구 월곡제2동,서울특별시 성북구 장위제1동,서울특별시 성북구 장위제2동,서울특별시 성북구 장위제3동,서울특별시 성북구 석관동
2020년05월_계_총인구수,"442,148","17,010","24,088","15,631","15,604","24,770","15,503","16,174","18,936","23,547","15,657","26,034","36,678","17,120","40,020","27,125","20,175","20,328","13,957","17,950","35,841"
2020년05월_계_연령구간인구수,"442,148","17,010","24,088","15,631","15,604","24,770","15,503","16,174","18,936","23,547","15,657","26,034","36,678","17,120","40,020","27,125","20,175","20,328","13,957","17,950","35,841"
2020년05월_계_0~9세,"30,189",823,"1,246",597,880,"2,165",486,"1,011","1,503","1,585",701,"1,805","4,187","1,508","2,842","2,207","1,192",999,597,"1,793","2,062"
2020년05월_계_10~19세,"38,579","1,254","2,029","1,036","1,431","2,876",974,"1,023","1,844","1,948","1,075","2,269","4,895","1,422","3,808","2,661","1,566","1,639",956,"1,517","2,356"
2020년05월_계_20~29세,"67,090","2,769","4,335","4,390","2,132","3,006","5,003","2,825","2,346","3,224","3,068","3,282","3,486","2,168","5,833","3,072","3,572","3,026","1,913","2,315","5,325"
2020년05월_계_30~39세,"61,348","2,529","3,434","2,541","2,035","3,144","2,101","2,747","2,754","3,154","1,939","3,467","5,003","2,587","5,349","3,648","2,827","2,435","1,667","2,915","5,072"
2020년05월_계_40~49세,"71,440","2,651","3,861","2,094","2,284","4,629","1,777","2,504","3,333","3,687","2,025","4,308","8,018","2,998","6,573","4,700","2,941","2,948","2,016","2,817","5,276"
2020년05월_계_50~59세,"69,958","2,739","3,720","1,892","2,791","4,043","2,130","2,593","2,895","3,781","2,395","4,209","4,871","2,726","6,385","4,304","3,072","3,920","2,534","2,862","6,096"
2020년05월_계_60~69세,"53,770","2,018","2,677","1,465","2,145","2,639","1,483","1,849","2,177","3,268","2,162","3,528","3,208","2,071","4,615","3,486","2,606","2,936","2,174","2,123","5,140"
2020년05월_계_70~79세,"33,615","1,416","1,855","1,090","1,271","1,465","1,029","1,083","1,408","1,981","1,498","2,189","2,078","1,132","2,919","2,126","1,615","1,649","1,451","1,152","3,208"
2020년05월_계_80~89세,"13,809",666,796,441,549,674,454,451,592,789,670,834,789,432,"1,423",802,677,679,543,387,"1,161"
2020년05월_계_90~99세,"1,973",131,100,67,73,118,52,72,72,112,114,120,116,57,232,93,96,83,80,56,129
2020년05월_계_100세 이상,377,14,35,18,13,11,14,16,12,18,10,23,27,19,41,26,11,14,26,13,16
2020년05월_남_총인구수,"213,614","7,969","11,451","6,613","7,310","11,836","7,860","7,823","9,158","11,438","7,777","12,580","17,472","8,290","19,699","13,114","9,715","9,932","6,902","8,914","17,761"
2020년05월_남_연령구간인구수,"213,614","7,969","11,451","6,613","7,310","11,836","7,860","7,823","9,158","11,438","7,777","12,580","17,472","8,290","19,699","13,114","9,715","9,932","6,902","8,914","17,761"
2020년05월_남_0~9세,"15,418",389,654,294,420,"1,114",244,514,787,818,354,940,"2,151",802,"1,461","1,107",618,487,291,904,"1,069"
2020년05월_남_10~19세,"19,592",673,"1,039",454,678,"1,446",521,500,916,"1,016",558,"1,197","2,386",755,"2,038","1,286",781,847,483,779,"1,239"
2020년05월_남_20~29세,"32,560","1,289","1,950","1,449","1,000","1,495","2,639","1,379","1,183","1,634","1,715","1,662","1,671","1,044","3,089","1,494","1,554","1,555",964,"1,155","2,639"
2020년05월_남_30~39세,"30,549","1,186","1,673","1,187","1,003","1,473","1,183","1,406","1,330","1,628","1,086","1,671","2,265","1,263","2,646","1,805","1,456","1,330",883,"1,425","2,650"
