,전라북도 임실군,전라북도 임실군 임실읍,전라북도 임실군 청웅면,전라북도 임실군 운암면,전라북도 임실군 신평면,전라북도 임실군 성수면,전라북도 임실군 오수면,전라북도 임실군 신덕면,전라북도 임실군 삼계면,전라북도 임실군 관촌면,전라북도 임실군 강진면,전라북도 임실군 덕치면,전라북도 임실군 지사면
2020년05월_계_총인구수,"27,807","7,456","1,342","1,673","1,496","1,703","3,826","1,332","1,540","3,426","1,586","1,189","1,238"
2020년05월_계_연령구간인구수,"27,807","7,456","1,342","1,673","1,496","1,703","3,826","1,332","1,540","3,426","1,586","1,189","1,238"
2020년05월_계_0~9세,"1,399",684,35,45,62,49,122,49,39,167,44,47,56
2020년05월_계_10~19세,"1,777",730,55,70,71,85,249,55,71,192,88,51,60
2020년05월_계_20~29세,"2,209",750,80,126,108,117,298,87,78,266,153,70,76
2020년05월_계_30~39세,"2,073",832,70,106,105,93,254,66,82,240,73,80,72
2020년05월_계_40~49세,"2,982","1,074",139,156,139,156,372,126,131,354,161,81,93
2020년05월_계_50~59세,"4,812","1,051",215,348,245,306,679,254,245,679,323,240,227
2020년05월_계_60~69세,"4,866",981,249,388,292,306,734,251,309,632,274,221,229
2020년05월_계_70~79세,"4,313",769,267,235,269,330,603,267,307,531,270,242,223
2020년05월_계_80~89세,"2,933",507,201,171,177,229,455,156,238,323,165,137,174
2020년05월_계_90~99세,420,74,29,28,25,30,59,20,40,40,32,15,28
2020년05월_계_100세 이상,23,4,2,0,3,2,1,1,0,2,3,5,0
2020년05월_남_총인구수,"14,184","3,809",679,865,756,882,"1,921",699,757,"1,757",847,596,616
2020년05월_남_연령구간인구수,"14,184","3,809",679,865,756,882,"1,921",699,757,"1,757",847,596,616
2020년05월_남_0~9세,727,364,16,24,32,27,67,28,17,82,23,16,31
2020년05월_남_10~19세,952,372,29,39,45,53,141,28,33,94,58,26,34
2020년05월_남_20~29세,"1,295",442,51,66,58,74,171,55,46,150,101,37,44
2020년05월_남_30~39세,"1,136",428,40,58,68,55,143,35,44,138,45,48,34
2020년05월_남_40~49세,"1,814",603,96,95,80,97,222,80,86,226,119,50,60
2020년05월_남_50~59세,"2,716",576,121,193,138,168,382,158,144,386,182,147,121
2020년05월_남_60~69세,"2,572",495,137,213,151,167,373,152,160,321,150,119,134
2020년05월_남_70~79세,"1,894",345,112,109,120,147,251,106,141,255,113,99,96
2020년05월_남_80~89세,977,173,68,55,58,86,153,53,77,95,50,52,57
2020년05월_남_90~99세,94,10,7,13,6,7,17,3,9,10,6,1,5
2020년05월_남_100세 이상,7,1,2,0,0,1,1,1,0,0,0,1,0
2020년05월_여_총인구수,"13,623","3,647",663,808,740,821,"1,905",633,783,"1,669",739,593,622
2020년05월_여_연령구간인구수,"13,623","3,647",663,808,740,821,"1,905",633,783,"1,669",739,593,622
2020년05월_여_0~9세,672,320,19,21,30,22,55,21,22,85,21,31,25
2020년05월_여_10~19세,825,358,26,31,26,32,108,27,38,98,30,25,26
2020년05월_여_20~29세,914,308,29,60,50,43,127,32,32,116,52,33,32
2020년05월_여_30~39세,937,404,30,48,37,38,111,31,38,102,28,32,38
2020년05월_여_40~49세,"1,168",471,43,61,59,59,150,46,45,128,42,31,33
2020년05월_여_50~59세,"2,096",475,94,155,107,138,297,96,101,293,141,93,106
2020년05월_여_60~69세,"2,294",486,112,175,141,139,361,99,149,311,124,102,95
2020년05월_여_70~79세,"2,419",424,155,126,149,183,352,161,166,276,157,143,127
2020년05월_여_80~89세,"1,956",334,133,116,119,143,302,103,161,228,115,85,117
2020년05월_여_90~99세,326,64,22,15,19,23,42,17,31,30,26,14,23
2020년05월_여_100세 이상,16,3,0,0,3,1,0,0,0,2,3,4,0
