카테고리,경상북도 안동시,경상북도 안동시 풍산읍,경상북도 안동시 와룡면,경상북도 안동시 북후면,경상북도 안동시 서후면,경상북도 안동시 풍천면,경상북도 안동시 일직면,경상북도 안동시 남후면,경상북도 안동시 남선면,경상북도 안동시 임하면,경상북도 안동시 길안면,경상북도 안동시 임동면,경상북도 안동시 예안면,경상북도 안동시 도산면,경상북도 안동시 녹전면,경상북도 안동시 중구동,경상북도 안동시 명륜동,경상북도 안동시 용상동,경상북도 안동시 서구동,경상북도 안동시 태화동,경상북도 안동시 평화동,경상북도 안동시 안기동,경상북도 안동시 옥동,경상북도 안동시 송하동,경상북도 안동시 강남동
2020년12월_계_총인구수,"158,907","6,390","4,114","3,022","3,555","6,702","2,777","1,786","2,122","2,884","2,721","1,773","1,875","1,635","1,771","5,068","5,056","22,309","9,169","13,368","6,322","6,271","21,809","16,018","10,390"
2020년12월_계_연령구간인구수,"158,907","6,390","4,114","3,022","3,555","6,702","2,777","1,786","2,122","2,884","2,721","1,773","1,875","1,635","1,771","5,068","5,056","22,309","9,169","13,368","6,322","6,271","21,809","16,018","10,390"
2020년12월_계_0~9세,"10,643",190,100,67,84,411,47,33,56,57,45,31,45,25,32,239,304,"1,913",646,926,381,349,"2,021","1,529","1,112"
2020년12월_계_10~19세,"13,736",288,200,86,138,363,125,63,80,111,79,50,54,50,71,342,410,"2,354",878,963,533,588,"2,624","1,743","1,543"
2020년12월_계_20~29세,"16,790",453,315,148,309,910,150,80,162,194,127,81,84,69,67,528,541,"3,012",850,"1,449",639,680,"2,746","1,931","1,265"
2020년12월_계_30~39세,"15,481",374,205,164,210,994,114,82,138,155,123,61,75,62,74,492,438,"2,555",823,"1,559",590,559,"2,478","2,043","1,113"
2020년12월_계_40~49세,"22,332",569,341,328,360,793,245,160,165,267,180,149,114,126,139,627,721,"3,571","1,396","1,857",908,878,"3,792","2,586","2,060"
2020년12월_계_50~59세,"26,500","1,115",694,546,606,941,447,290,439,528,518,314,376,283,289,839,937,"3,513","1,456","2,265","1,043","1,178","3,568","2,744","1,571"
2020년12월_계_60~69세,"25,641","1,414",896,656,855,983,637,386,484,701,688,472,490,435,469,910,847,"2,776","1,501","2,216","1,156","1,147","2,597","1,995",930
2020년12월_계_70~79세,"16,626","1,102",735,552,537,762,560,358,327,486,548,348,352,341,352,706,552,"1,634","1,013","1,403",692,628,"1,240",885,513
2020년12월_계_80~89세,"9,644",758,544,412,381,467,385,284,232,320,369,240,258,209,249,329,268,858,527,644,321,229,640,476,244
2020년12월_계_90~99세,"1,452",120,81,62,75,74,64,49,39,63,43,22,25,35,29,54,38,117,74,79,57,35,101,80,36
2020년12월_계_100세 이상,62,7,3,1,0,4,3,1,0,2,1,5,2,0,0,2,0,6,5,7,2,0,2,6,3
2020년12월_남_총인구수,"78,661","3,218","2,121","1,589","1,876","3,455","1,351",891,"1,090","1,505","1,374",912,975,856,918,"2,467","2,439","11,071","4,419","6,647","3,058","3,116","10,383","7,799","5,131"
2020년12월_남_연령구간인구수,"78,661","3,218","2,121","1,589","1,876","3,455","1,351",891,"1,090","1,505","1,374",912,975,856,918,"2,467","2,439","11,071","4,419","6,647","3,058","3,116","10,383","7,799","5,131"
2020년12월_남_0~9세,"5,582",100,52,38,40,210,25,19,31,26,18,20,26,14,21,134,169,"1,000",349,466,186,192,"1,055",809,582
2020년12월_남_10~19세,"7,187",158,122,51,89,186,77,37,38,57,43,24,35,29,34,181,193,"1,232",447,521,282,305,"1,339",892,815
2020년12월_남_20~29세,"9,194",266,179,98,171,496,88,48,103,117,72,49,57,41,37,297,292,"1,698",459,809,366,367,"1,398","1,039",647
2020년12월_남_30~39세,"8,021",215,113,107,133,562,63,55,82,90,74,38,45,43,48,236,213,"1,283",406,838,317,307,"1,207","1,031",515
2020년12월_남_40~49세,"11,617",347,212,216,223,453,152,106,107,175,133,97,78,90,91,349,382,"1,774",712,983,464,442,"1,817","1,247",967
2020년12월_남_50~59세,"13,575",608,397,325,355,526,258,163,235,324,298,186,198,165,162,442,477,"1,766",731,"1,107",482,574,"1,677","1,297",822
2020년12월_남_60~69세,"12,394",718,471,334,454,486,301,204,253,371,371,257,265,217,264,385,387,"1,300",661,"1,027",509,522,"1,204",975,458
2020년12월_남_70~79세,"7,430",517,341,256,259,348,247,158,155,228,222,149,167,163,174,312,239,700,448,636,320,306,489,358,238
2020년12월_남_80~89세,"3,341",255,211,150,136,165,128,97,78,101,131,85,97,84,81,121,79,294,187,245,125,91,181,139,80
2020년12월_남_90~99세,306,32,23,14,16,21,12,4,8,16,12,7,7,10,6,8,8,21,19,13,7,10,15,10,7
2020년12월_남_100세 이상,14,2,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,3,0,2,0,0,1,2,0
2020년12월_여_총인구수,"80,246","3,172","1,993","1,433","1,679","3,247","1,426",895,"1,032","1,379","1,347",861,900,779,853,"2,601","2,617","11,238","4,750","6,721","3,264","3,155","11,426","8,219","5,259"
2020년12월_여_연령구간인구수,"80,246","3,172","1,993","1,433","1,679","3,247","1,426",895,"1,032","1,379","1,347",861,900,779,853,"2,601","2,617","11,238","4,750","6,721","3,264","3,155","11,426","8,219","5,259"
2020년12월_여_0~9세,"5,061",90,48,29,44,201,22,14,25,31,27,11,19,11,11,105,135,913,297,460,195,157,966,720,530
2020년12월_여_10~19세,"6,549",130,78,35,49,177,48,26,42,54,36,26,19,21,37,161,217,"1,122",431,442,251,283,"1,285",851,728
2020년12월_여_20~29세,"7,596",187,136,50,138,414,62,32,59,77,55,32,27,28,30,231,249,"1,314",391,640,273,313,"1,348",892,618
2020년12월_여_30~39세,"7,460",159,92,57,77,432,51,27,56,65,49,23,30,19,26,256,225,"1,272",417,721,273,252,"1,271","1,012",598
2020년12월_여_40~49세,"10,715",222,129,112,137,340,93,54,58,92,47,52,36,36,48,278,339,"1,797",684,874,444,436,"1,975","1,339","1,093"
2020년12월_여_50~59세,"12,925",507,297,221,251,415,189,127,204,204,220,128,178,118,127,397,460,"1,747",725,"1,158",561,604,"1,891","1,447",749
2020년12월_여_60~69세,"13,247",696,425,322,401,497,336,182,231,330,317,215,225,218,205,525,460,"1,476",840,"1,189",647,625,"1,393","1,020",472
2020년12월_여_70~79세,"9,196",585,394,296,278,414,313,200,172,258,326,199,185,178,178,394,313,934,565,767,372,322,751,527,275
2020년12월_여_80~89세,"6,303",503,333,262,245,302,257,187,154,219,238,155,161,125,168,208,189,564,340,399,196,138,459,337,164
2020년12월_여_90~99세,"1,146",88,58,48,59,53,52,45,31,47,31,15,18,25,23,46,30,96,55,66,50,25,86,70,29
2020년12월_여_100세 이상,48,5,3,1,0,2,3,1,0,2,1,5,2,0,0,0,0,3,5,5,2,0,1,4,3
