,대전광역시 동구,대전광역시 동구 중앙동,대전광역시 동구 효동,대전광역시 동구 신인동,대전광역시 동구 판암1동,대전광역시 동구 판암2동,대전광역시 동구 용운동,대전광역시 동구 대동,대전광역시 동구 자양동,대전광역시 동구 가양1동,대전광역시 동구 가양2동,대전광역시 동구 용전동,대전광역시 동구 성남동,대전광역시 동구 홍도동,대전광역시 동구 삼성동,대전광역시 동구 대청동,대전광역시 동구 산내동
2020년11월_계_총인구수,"222,446","5,010","25,557","12,407","12,648","8,835","16,860","15,264","10,611","14,079","18,527","20,682","12,397","11,107","14,670","2,508","21,284"
2020년11월_계_연령구간인구수,"222,446","5,010","25,557","12,407","12,648","8,835","16,860","15,264","10,611","14,079","18,527","20,682","12,397","11,107","14,670","2,508","21,284"
2020년11월_계_0~9세,"14,978",109,"2,679",931,827,290,980,"1,482",393,815,987,"1,136",902,593,809,71,"1,974"
2020년11월_계_10~19세,"19,943",144,"3,385",911,"1,009",407,"1,515","1,389",793,"1,144","1,791","1,505",940,820,"1,314",141,"2,735"
2020년11월_계_20~29세,"30,124",384,"2,663","1,395","1,508",831,"2,733","1,835","2,651","2,047","2,959","3,881","1,416","1,952","1,575",208,"2,086"
2020년11월_계_30~39세,"25,713",415,"3,092","1,673","1,509",767,"1,741","2,080","1,106","1,444","1,952","3,121","1,527","1,311","1,447",163,"2,365"
2020년11월_계_40~49세,"34,036",554,"4,935","1,830","1,779","1,027","2,513","2,360","1,277","2,090","2,766","3,156","1,811","1,619","2,220",273,"3,826"
2020년11월_계_50~59세,"36,743","1,011","3,622","1,980","2,220","1,577","3,003","2,444","1,554","2,414","3,309","3,360","2,136","1,877","2,613",474,"3,149"
2020년11월_계_60~69세,"32,329","1,181","2,875","1,895","1,963","1,895","2,435","1,920","1,506","2,199","2,652","2,615","1,919","1,629","2,409",546,"2,690"
2020년11월_계_70~79세,"19,080",814,"1,596","1,204","1,170","1,267","1,317","1,166",916,"1,302","1,458","1,340","1,177",882,"1,530",344,"1,597"
2020년11월_계_80~89세,"8,283",343,613,498,589,683,543,505,369,555,586,491,480,373,659,252,744
2020년11월_계_90~99세,"1,122",43,89,78,71,89,73,75,41,63,67,75,79,49,87,34,109
2020년11월_계_100세 이상,95,12,8,12,3,2,7,8,5,6,0,2,10,2,7,2,9
2020년11월_남_총인구수,"112,094","2,825","12,574","6,108","6,161","4,322","8,499","7,658","5,565","7,242","9,261","10,669","6,127","5,644","7,462","1,306","10,671"
