카테고리,충청남도 공주시,충청남도 공주시 유구읍,충청남도 공주시 이인면,충청남도 공주시 탄천면,충청남도 공주시 계룡면,충청남도 공주시 반포면,충청남도 공주시 의당면,충청남도 공주시 정안면,충청남도 공주시 우성면,충청남도 공주시 사곡면,충청남도 공주시 신풍면,충청남도 공주시 중학동,충청남도 공주시 웅진동,충청남도 공주시 금학동,충청남도 공주시 옥룡동,충청남도 공주시 신관동,충청남도 공주시 월송동
2021년07월_계_총인구수,"103,572","7,291","3,222","2,971","5,466","4,270","4,667","4,593","5,175","2,896","3,165","4,574","8,231","5,429","7,929","19,390","14,303"
2021년07월_계_연령구간인구수,"103,572","7,291","3,222","2,971","5,466","4,270","4,667","4,593","5,175","2,896","3,165","4,574","8,231","5,429","7,929","19,390","14,303"
2021년07월_계_0~9세,"5,511",256,97,64,155,151,182,115,154,66,73,185,456,334,302,"1,332","1,589"
2021년07월_계_10~19세,"8,016",398,117,125,278,193,352,209,283,155,89,315,675,570,537,"2,012","1,708"
2021년07월_계_20~29세,"10,956",442,209,187,313,338,465,278,361,174,147,588,917,732,846,"3,204","1,755"
2021년07월_계_30~39세,"9,171",458,193,178,281,312,347,240,330,141,162,373,831,517,653,"2,281","1,874"
2021년07월_계_40~49세,"13,048",737,262,225,465,462,579,413,506,250,298,561,"1,153",775,995,"2,956","2,411"
2021년07월_계_50~59세,"17,911","1,246",582,460,995,953,931,765,906,494,578,780,"1,377",864,"1,508","3,259","2,213"
2021년07월_계_60~69세,"19,226","1,814",754,703,"1,408","1,041",911,"1,171","1,188",698,885,805,"1,453",891,"1,557","2,446","1,501"
2021년07월_계_70~79세,"11,412","1,132",543,528,877,511,494,725,793,473,555,585,844,462,955,"1,207",728
2021년07월_계_80~89세,"7,182",715,399,426,598,260,346,575,562,393,320,324,459,247,510,604,444
2021년07월_계_90~99세,"1,099",90,63,72,95,48,59,101,86,49,53,58,61,35,65,87,77
2021년07월_계_100세 이상,40,3,3,3,1,1,1,1,6,3,5,0,5,2,1,2,3
2021년07월_남_총인구수,"51,769","3,663","1,647","1,535","2,802","2,245","2,411","2,383","2,681","1,452","1,418","2,284","4,042","2,723","3,983","9,433","7,067"
2021년07월_남_연령구간인구수,"51,769","3,663","1,647","1,535","2,802","2,245","2,411","2,383","2,681","1,452","1,418","2,284","4,042","2,723","3,983","9,433","7,067"
2021년07월_남_0~9세,"2,857",144,42,34,81,95,88,66,84,34,35,97,246,176,154,683,798
2021년07월_남_10~19세,"4,126",200,78,61,150,109,169,117,136,75,50,174,331,279,282,"1,023",892
2021년07월_남_20~29세,"6,001",265,124,122,180,194,286,173,216,91,90,314,490,367,492,"1,639",958
2021년07월_남_30~39세,"4,928",278,105,103,154,184,196,136,202,86,82,205,459,284,375,"1,175",904
2021년07월_남_40~49세,"6,882",431,166,144,282,238,315,257,311,151,132,310,610,399,541,"1,429","1,166"
2021년07월_남_50~59세,"9,230",617,324,262,586,517,498,416,519,272,247,398,691,450,772,"1,564","1,097"
2021년07월_남_60~69세,"9,655",923,405,379,712,539,486,633,614,369,402,395,682,455,762,"1,138",761
2021년07월_남_70~79세,"5,261",522,258,253,437,247,243,348,385,211,241,256,360,231,398,539,332
2021년07월_남_80~89세,"2,536",259,123,160,196,106,118,207,185,151,123,120,160,78,186,225,139
2021년07월_남_90~99세,285,23,22,17,23,16,12,30,29,11,16,15,12,3,21,16,19
2021년07월_남_100세 이상,8,1,0,0,1,0,0,0,0,1,0,0,1,1,0,2,1
2021년07월_여_총인구수,"51,803","3,628","1,575","1,436","2,664","2,025","2,256","2,210","2,494","1,444","1,747","2,290","4,189","2,706","3,946","9,957","7,236"
2021년07월_여_연령구간인구수,"51,803","3,628","1,575","1,436","2,664","2,025","2,256","2,210","2,494","1,444","1,747","2,290","4,189","2,706","3,946","9,957","7,236"
2021년07월_여_0~9세,"2,654",112,55,30,74,56,94,49,70,32,38,88,210,158,148,649,791
2021년07월_여_10~19세,"3,890",198,39,64,128,84,183,92,147,80,39,141,344,291,255,989,816
2021년07월_여_20~29세,"4,955",177,85,65,133,144,179,105,145,83,57,274,427,365,354,"1,565",797
2021년07월_여_30~39세,"4,243",180,88,75,127,128,151,104,128,55,80,168,372,233,278,"1,106",970
2021년07월_여_40~49세,"6,166",306,96,81,183,224,264,156,195,99,166,251,543,376,454,"1,527","1,245"
2021년07월_여_50~59세,"8,681",629,258,198,409,436,433,349,387,222,331,382,686,414,736,"1,695","1,116"
2021년07월_여_60~69세,"9,571",891,349,324,696,502,425,538,574,329,483,410,771,436,795,"1,308",740
2021년07월_여_70~79세,"6,151",610,285,275,440,264,251,377,408,262,314,329,484,231,557,668,396
2021년07월_여_80~89세,"4,646",456,276,266,402,154,228,368,377,242,197,204,299,169,324,379,305
2021년07월_여_90~99세,814,67,41,55,72,32,47,71,57,38,37,43,49,32,44,71,58
2021년07월_여_100세 이상,32,2,3,3,0,1,1,1,6,2,5,0,4,1,1,0,2
