카테고리,경기도 연천군,경기도 연천군 연천읍,경기도 연천군 전곡읍,경기도 연천군 군남면,경기도 연천군 청산면,경기도 연천군 백학면,경기도 연천군 미산면,경기도 연천군 왕징면,경기도 연천군 신서면,경기도 연천군 중면,경기도 연천군 장남면
2021년08월_계_총인구수,"42,942","7,741","19,196","3,150","3,895","2,598","1,749",999,"2,697",193,724
2021년08월_계_연령구간인구수,"42,942","7,741","19,196","3,150","3,895","2,598","1,749",999,"2,697",193,724
2021년08월_계_0~9세,"2,599",672,"1,482",88,121,82,45,22,60,5,22
2021년08월_계_10~19세,"3,070",424,"1,904",165,189,138,65,47,96,8,34
2021년08월_계_20~29세,"5,209","1,207","2,383",316,471,230,126,67,309,45,55
2021년08월_계_30~39세,"4,139","1,003","2,148",179,253,165,129,64,142,13,43
2021년08월_계_40~49세,"4,799",780,"2,620",270,396,233,129,75,223,15,58
2021년08월_계_50~59세,"6,957","1,026","3,171",565,675,491,319,143,405,28,134
2021년08월_계_60~69세,"7,909","1,169","2,910",726,888,590,500,246,670,40,170
2021년08월_계_70~79세,"4,900",847,"1,524",479,541,411,244,209,493,24,128
2021년08월_계_80~89세,"2,927",526,887,326,320,241,166,115,264,13,69
2021년08월_계_90~99세,407,82,160,32,38,16,24,10,32,2,11
2021년08월_계_100세 이상,26,5,7,4,3,1,2,1,3,0,0
2021년08월_남_총인구수,"22,507","4,191","9,788","1,675","2,073","1,392",938,536,"1,426",117,371
2021년08월_남_연령구간인구수,"22,507","4,191","9,788","1,675","2,073","1,392",938,536,"1,426",117,371
2021년08월_남_0~9세,"1,313",329,756,46,54,40,25,15,30,3,15
2021년08월_남_10~19세,"1,633",243,978,88,108,82,38,29,46,5,16
2021년08월_남_20~29세,"3,320",832,"1,365",220,340,143,77,42,227,38,36
2021년08월_남_30~39세,"2,364",593,"1,168",109,161,100,76,38,88,8,23
2021년08월_남_40~49세,"2,622",446,"1,332",162,235,132,80,50,138,8,39
2021년08월_남_50~59세,"3,753",580,"1,653",313,370,273,171,81,229,15,68
2021년08월_남_60~69세,"4,101",596,"1,493",393,448,314,285,125,338,23,86
2021년08월_남_70~79세,"2,226",360,703,221,233,195,106,103,233,12,60
2021년08월_남_80~89세,"1,059",187,293,112,114,108,72,51,89,5,28
2021년08월_남_90~99세,108,24,44,10,10,5,7,1,7,0,0
2021년08월_남_100세 이상,8,1,3,1,0,0,1,1,1,0,0
2021년08월_여_총인구수,"20,435","3,550","9,408","1,475","1,822","1,206",811,463,"1,271",76,353
2021년08월_여_연령구간인구수,"20,435","3,550","9,408","1,475","1,822","1,206",811,463,"1,271",76,353
2021년08월_여_0~9세,"1,286",343,726,42,67,42,20,7,30,2,7
2021년08월_여_10~19세,"1,437",181,926,77,81,56,27,18,50,3,18
2021년08월_여_20~29세,"1,889",375,"1,018",96,131,87,49,25,82,7,19
2021년08월_여_30~39세,"1,775",410,980,70,92,65,53,26,54,5,20
2021년08월_여_40~49세,"2,177",334,"1,288",108,161,101,49,25,85,7,19
2021년08월_여_50~59세,"3,204",446,"1,518",252,305,218,148,62,176,13,66
2021년08월_여_60~69세,"3,808",573,"1,417",333,440,276,215,121,332,17,84
2021년08월_여_70~79세,"2,674",487,821,258,308,216,138,106,260,12,68
2021년08월_여_80~89세,"1,868",339,594,214,206,133,94,64,175,8,41
2021년08월_여_90~99세,299,58,116,22,28,11,17,9,25,2,11
2021년08월_여_100세 이상,18,4,4,3,3,1,1,0,2,0,0
