카테고리,전라남도 해남군,전라남도 해남군 해남읍,전라남도 해남군 삼산면,전라남도 해남군 화산면,전라남도 해남군 현산면,전라남도 해남군 송지면,전라남도 해남군 북평면,전라남도 해남군 북일면,전라남도 해남군 옥천면,전라남도 해남군 계곡면,전라남도 해남군 마산면,전라남도 해남군 황산면,전라남도 해남군 산이면,전라남도 해남군 문내면,전라남도 해남군 화원면
2021년01월_계_총인구수,"68,736","24,927","2,925","3,224","2,808","6,151","2,817","2,017","3,019","2,154","2,409","4,847","3,782","4,040","3,616"
2021년01월_계_연령구간인구수,"68,736","24,927","2,925","3,224","2,808","6,151","2,817","2,017","3,019","2,154","2,409","4,847","3,782","4,040","3,616"
2021년01월_계_0~9세,"3,962","2,325",94,125,63,288,93,45,87,81,78,182,186,187,128
2021년01월_계_10~19세,"5,263","2,961",153,139,142,361,170,96,157,77,123,250,197,235,202
2021년01월_계_20~29세,"5,536","2,732",209,192,143,472,175,126,207,82,137,285,252,260,264
2021년01월_계_30~39세,"5,007","2,584",166,199,129,391,137,78,127,107,109,270,249,233,228
2021년01월_계_40~49세,"8,055","3,843",273,311,244,637,248,169,333,209,234,398,379,389,388
2021년01월_계_50~59세,"11,569","4,080",548,531,494,"1,100",460,331,505,304,420,857,615,712,612
2021년01월_계_60~69세,"12,448","3,279",609,670,638,"1,209",587,410,570,462,473,"1,163",749,848,781
2021년01월_계_70~79세,"10,001","2,019",520,639,555,"1,001",575,423,558,418,463,835,695,727,573
2021년01월_계_80~89세,"6,014",957,302,385,349,626,332,295,396,354,317,541,400,387,373
2021년01월_계_90~99세,836,146,49,32,46,63,39,43,73,55,50,60,58,60,62
2021년01월_계_100세 이상,45,1,2,1,5,3,1,1,6,5,5,6,2,2,5
2021년01월_남_총인구수,"33,924","12,250","1,459","1,616","1,396","3,013","1,361",956,"1,500","1,002","1,218","2,380","1,906","2,010","1,857"
2021년01월_남_연령구간인구수,"33,924","12,250","1,459","1,616","1,396","3,013","1,361",956,"1,500","1,002","1,218","2,380","1,906","2,010","1,857"
2021년01월_남_0~9세,"1,991","1,157",42,67,33,142,42,26,47,36,47,88,94,100,70
2021년01월_남_10~19세,"2,718","1,511",86,71,78,180,89,48,83,41,70,136,98,129,98
2021년01월_남_20~29세,"3,116","1,483",110,99,89,295,101,72,108,53,86,181,136,161,142
2021년01월_남_30~39세,"2,623","1,264",100,127,82,219,67,42,73,49,56,155,137,112,140
2021년01월_남_40~49세,"4,523","1,876",163,203,149,379,150,108,201,135,160,236,266,234,263
2021년01월_남_50~59세,"6,393","2,138",300,314,278,572,252,194,298,164,263,488,354,403,375
2021년01월_남_60~69세,"6,198","1,584",324,320,339,579,289,205,299,229,237,562,403,421,407
2021년01월_남_70~79세,"4,341",909,218,291,232,444,256,157,240,171,195,361,294,331,242
2021년01월_남_80~89세,"1,864",295,104,117,111,197,102,99,140,107,92,163,118,109,110
2021년01월_남_90~99세,156,33,12,7,5,6,13,5,11,16,12,10,6,10,10
2021년01월_남_100세 이상,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2021년01월_여_총인구수,"34,812","12,677","1,466","1,608","1,412","3,138","1,456","1,061","1,519","1,152","1,191","2,467","1,876","2,030","1,759"
2021년01월_여_연령구간인구수,"34,812","12,677","1,466","1,608","1,412","3,138","1,456","1,061","1,519","1,152","1,191","2,467","1,876","2,030","1,759"
2021년01월_여_0~9세,"1,971","1,168",52,58,30,146,51,19,40,45,31,94,92,87,58
2021년01월_여_10~19세,"2,545","1,450",67,68,64,181,81,48,74,36,53,114,99,106,104
2021년01월_여_20~29세,"2,420","1,249",99,93,54,177,74,54,99,29,51,104,116,99,122
2021년01월_여_30~39세,"2,384","1,320",66,72,47,172,70,36,54,58,53,115,112,121,88
2021년01월_여_40~49세,"3,532","1,967",110,108,95,258,98,61,132,74,74,162,113,155,125
2021년01월_여_50~59세,"5,176","1,942",248,217,216,528,208,137,207,140,157,369,261,309,237
2021년01월_여_60~69세,"6,250","1,695",285,350,299,630,298,205,271,233,236,601,346,427,374
2021년01월_여_70~79세,"5,660","1,110",302,348,323,557,319,266,318,247,268,474,401,396,331
2021년01월_여_80~89세,"4,150",662,198,268,238,429,230,196,256,247,225,378,282,278,263
2021년01월_여_90~99세,680,113,37,25,41,57,26,38,62,39,38,50,52,50,52
2021년01월_여_100세 이상,44,1,2,1,5,3,1,1,6,4,5,6,2,2,5
