,광주광역시 북구,광주광역시 북구 중흥1동,광주광역시 북구 중흥2동,광주광역시 북구 중흥3동,광주광역시 북구 중앙동,광주광역시 북구 임동,광주광역시 북구 신안동,광주광역시 북구 용봉동,광주광역시 북구 운암1동,광주광역시 북구 운암2동,광주광역시 북구 운암3동,광주광역시 북구 동림동,광주광역시 북구 우산동,광주광역시 북구 풍향동,광주광역시 북구 문화동,광주광역시 북구 문흥1동,광주광역시 북구 문흥2동,광주광역시 북구 두암1동,광주광역시 북구 두암2동,광주광역시 북구 두암3동,광주광역시 북구 삼각동,광주광역시 북구 일곡동,광주광역시 북구 매곡동,광주광역시 북구 오치1동,광주광역시 북구 오치2동,광주광역시 북구 석곡동,광주광역시 북구 건국동,광주광역시 북구 양산동,광주광역시 북구 신용동
2021년02월_계_총인구수,"430,209","5,002","6,826","4,917","3,250","7,932","12,022","38,415","19,433","12,323","13,053","23,719","10,672","5,950","20,832","16,275","16,000","7,911","16,315","13,807","14,354","30,308","14,054","11,246","12,715","2,639","22,574","38,121","29,544"
2021년02월_계_연령구간인구수,"430,209","5,002","6,826","4,917","3,250","7,932","12,022","38,415","19,433","12,323","13,053","23,719","10,672","5,950","20,832","16,275","16,000","7,911","16,315","13,807","14,354","30,308","14,054","11,246","12,715","2,639","22,574","38,121","29,544"
2021년02월_계_0~9세,"33,213",219,265,265,80,534,464,"2,648","1,732",554,905,"2,180",398,537,"1,614","1,105","1,100",296,899,455,992,"2,412","1,177",663,505,70,"2,698","3,947","4,499"
2021년02월_계_10~19세,"42,674",195,462,302,116,561,685,"3,783","2,279",930,"1,413","2,351",673,526,"1,670","1,891","1,446",642,"1,366",836,"1,699","4,645","1,733","1,035",811,134,"2,548","4,150","3,792"
2021년02월_계_20~29세,"62,074",955,"1,341",928,498,974,"2,288","7,141","2,497","1,751","1,908","3,074","1,340",720,"2,575","2,429","2,592","1,117","2,323","1,604","2,311","4,727","1,979","1,806","1,915",247,"2,751","5,190","3,093"
2021년02월_계_30~39세,"55,497",967,781,709,414,"1,114","1,773","4,710","2,258","1,355","1,477","3,610",993,811,"2,979","1,617","2,000",782,"1,814","1,300","1,692","2,944","1,688","1,288","1,488",218,"3,564","5,973","5,178"
2021년02월_계_40~49세,"67,451",617,884,733,393,"1,149","1,598","5,605","3,117","1,656","1,885","3,888","1,295",948,"2,995","2,462","2,380","1,042","2,204","1,618","2,452","5,720","2,297","1,640","1,604",234,"4,074","6,651","6,310"
2021년02월_계_50~59세,"71,778",689,975,675,567,"1,222","1,911","6,652","3,110","2,176","2,322","3,885","1,826",921,"3,469","3,029","2,593","1,404","2,911","2,640","2,655","5,613","2,451","2,161","2,461",541,"3,345","5,884","3,690"
2021년02월_계_60~69세,"53,863",696,"1,001",639,581,"1,175","1,681","4,518","2,683","2,091","1,876","2,811","2,082",747,"2,978","2,189","2,093","1,300","2,653","2,781","1,506","2,355","1,564","1,532","2,169",575,"2,003","3,699","1,885"
2021년02월_계_70~79세,"29,539",458,740,462,389,868,"1,102","2,371","1,273","1,246",839,"1,358","1,401",507,"1,710","1,054","1,195",924,"1,510","1,642",722,"1,179",759,792,"1,123",369,"1,001","1,783",762
