,전라남도 화순군,전라남도 화순군 화순읍,전라남도 화순군 한천면,전라남도 화순군 한천면영외출장소,전라남도 화순군 춘양면,전라남도 화순군 청풍면,전라남도 화순군 이양면,전라남도 화순군 능주면,전라남도 화순군 도곡면,전라남도 화순군 도암면,전라남도 화순군 이서면,전라남도 화순군 백아면,전라남도 화순군 동복면,전라남도 화순군 사평면,전라남도 화순군 동면
2020년05월_계_총인구수,"62,554","39,085",930,427,"1,820","1,033","1,816","3,289","2,848","1,448",992,"1,592","1,630","2,169","3,475"
2020년05월_계_연령구간인구수,"62,554","39,085",930,427,"1,820","1,033","1,816","3,289","2,848","1,448",992,"1,592","1,630","2,169","3,475"
2020년05월_계_0~9세,"3,583","2,976",13,13,40,24,43,118,81,30,18,37,36,49,105
2020년05월_계_10~19세,"5,866","4,816",44,13,79,25,57,212,137,57,37,61,69,68,191
2020년05월_계_20~29세,"6,767","5,091",63,11,118,53,103,303,214,74,87,82,111,149,308
2020년05월_계_30~39세,"4,866","3,619",50,22,88,33,91,240,182,56,51,57,65,122,190
2020년05월_계_40~49세,"8,519","6,418",96,39,131,66,157,346,288,113,80,133,128,173,351
2020년05월_계_50~59세,"11,284","6,875",161,67,333,199,328,590,563,256,200,306,288,418,700
2020년05월_계_60~69세,"8,988","4,322",187,93,344,191,346,648,602,310,197,311,319,448,670
2020년05월_계_70~79세,"7,456","3,150",190,110,353,202,365,502,413,323,184,355,340,432,537
2020년05월_계_80~89세,"4,553","1,597",114,50,295,216,276,285,314,200,122,215,228,264,377
2020년05월_계_90~99세,636,207,11,9,39,23,46,45,53,27,14,34,43,44,41
2020년05월_계_100세 이상,36,14,1,0,0,1,4,0,1,2,2,1,3,2,5
2020년05월_남_총인구수,"30,939","19,228",479,204,919,500,875,"1,631","1,415",758,509,793,760,"1,094","1,774"
2020년05월_남_연령구간인구수,"30,939","19,228",479,204,919,500,875,"1,631","1,415",758,509,793,760,"1,094","1,774"
2020년05월_남_0~9세,"1,823","1,524",4,7,23,12,19,62,33,13,8,24,15,27,52
2020년05월_남_10~19세,"3,061","2,500",26,8,43,12,28,100,77,35,19,30,32,37,114
2020년05월_남_20~29세,"3,666","2,718",38,5,55,29,52,181,117,52,52,56,62,84,165
2020년05월_남_30~39세,"2,475","1,765",38,11,55,14,51,133,109,33,30,27,42,66,101
2020년05월_남_40~49세,"4,457","3,152",60,26,90,53,99,192,175,76,52,92,73,111,206
2020년05월_남_50~59세,"6,171","3,549",98,42,212,124,209,328,312,155,110,196,166,251,419
2020년05월_남_60~69세,"4,665","2,123",95,46,200,111,184,338,326,178,114,168,170,244,368
2020년05월_남_70~79세,"3,071","1,309",83,39,148,82,150,202,183,134,74,132,130,177,228
2020년05월_남_80~89세,"1,401",537,37,17,83,59,71,88,73,73,44,58,64,84,113
2020년05월_남_90~99세,147,50,0,3,10,4,11,7,10,9,6,10,6,13,8
2020년05월_남_100세 이상,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0
2020년05월_여_총인구수,"31,615","19,857",451,223,901,533,941,"1,658","1,433",690,483,799,870,"1,075","1,701"
2020년05월_여_연령구간인구수,"31,615","19,857",451,223,901,533,941,"1,658","1,433",690,483,799,870,"1,075","1,701"
2020년05월_여_0~9세,"1,760","1,452",9,6,17,12,24,56,48,17,10,13,21,22,53
2020년05월_여_10~19세,"2,805","2,316",18,5,36,13,29,112,60,22,18,31,37,31,77
2020년05월_여_20~29세,"3,101","2,373",25,6,63,24,51,122,97,22,35,26,49,65,143
2020년05월_여_30~39세,"2,391","1,854",12,11,33,19,40,107,73,23,21,30,23,56,89
2020년05월_여_40~49세,"4,062","3,266",36,13,41,13,58,154,113,37,28,41,55,62,145
2020년05월_여_50~59세,"5,113","3,326",63,25,121,75,119,262,251,101,90,110,122,167,281
2020년05월_여_60~69세,"4,323","2,199",92,47,144,80,162,310,276,132,83,143,149,204,302
2020년05월_여_70~79세,"4,385","1,841",107,71,205,120,215,300,230,189,110,223,210,255,309
2020년05월_여_80~89세,"3,152","1,060",77,33,212,157,205,197,241,127,78,157,164,180,264
2020년05월_여_90~99세,489,157,11,6,29,19,35,38,43,18,8,24,37,31,33
2020년05월_여_100세 이상,34,13,1,0,0,1,3,0,1,2,2,1,3,2,5
