,부산광역시 남구,부산광역시 남구 대연제1동,부산광역시 남구 대연제3동,부산광역시 남구 대연제4동,부산광역시 남구 대연제5동,부산광역시 남구 대연제6동,부산광역시 남구 용호제1동,부산광역시 남구 용호제2동,부산광역시 남구 용호제3동,부산광역시 남구 용호제4동,부산광역시 남구 용당동,부산광역시 남구 감만제1동,부산광역시 남구 감만제2동,부산광역시 남구 우암동,부산광역시 남구 문현제1동,부산광역시 남구 문현제2동,부산광역시 남구 문현제3동,부산광역시 남구 문현제4동
2021년11월_계_총인구수,"262,856","15,894","32,835","12,375","16,987","15,442","44,369","16,889","12,250","8,547","8,271","13,019","6,773","12,862","13,658","8,600","15,708","8,377"
2021년11월_계_연령구간인구수,"262,856","15,894","32,835","12,375","16,987","15,442","44,369","16,889","12,250","8,547","8,271","13,019","6,773","12,862","13,658","8,600","15,708","8,377"
2021년11월_계_0~9세,"16,741",477,"2,611","1,017","1,034","1,708","3,220","1,343",471,478,488,587,262,562,705,350,"1,125",303
2021년11월_계_10~19세,"22,579",920,"3,179",873,"1,380","1,585","5,061","1,776",854,634,764,913,470,872,"1,152",380,"1,276",490
2021년11월_계_20~29세,"34,407","3,621","6,521","1,175","2,757","1,650","4,808","1,609","1,347",893,"1,039","1,400",635,"1,237","1,648","1,232","1,860",975
2021년11월_계_30~39세,"28,449","1,843","4,019","1,636","1,967","2,034","3,914","1,701","1,074",991,803,"1,284",598,"1,176","1,259","1,343","2,023",784
2021년11월_계_40~49세,"40,580","2,012","5,615","1,870","2,566","2,798","7,500","2,779","1,620","1,302","1,232","1,842","1,005","1,762","2,049","1,154","2,412","1,062"
2021년11월_계_50~59세,"42,229","2,223","4,645","1,826","2,520","2,250","7,963","2,670","2,090","1,335","1,497","2,175","1,106","2,086","2,455","1,274","2,613","1,501"
2021년11월_계_60~69세,"41,529","2,360","3,515","2,025","2,464","1,890","6,578","2,809","2,551","1,627","1,360","2,611","1,329","2,704","2,331","1,393","2,356","1,626"
2021년11월_계_70~79세,"25,078","1,687","1,851","1,347","1,588","1,071","3,627","1,584","1,590",914,768,"1,542",947,"1,710","1,424",929,"1,409","1,090"
2021년11월_계_80~89세,"10,049",685,763,552,643,402,"1,491",534,585,323,284,609,386,657,577,491,570,497
2021년11월_계_90~99세,"1,175",63,111,52,67,53,204,78,66,42,34,56,34,94,58,52,64,47
2021년11월_계_100세 이상,40,3,5,2,1,1,3,6,2,8,2,0,1,2,0,2,0,2
2021년11월_남_총인구수,"128,411","8,022","16,058","6,054","8,159","7,426","21,310","8,264","5,924","4,109","4,176","6,654","3,322","6,345","6,654","4,239","7,612","4,083"
2021년11월_남_연령구간인구수,"128,411","8,022","16,058","6,054","8,159","7,426","21,310","8,264","5,924","4,109","4,176","6,654","3,322","6,345","6,654","4,239","7,612","4,083"
2021년11월_남_0~9세,"8,527",232,"1,342",525,544,842,"1,603",677,232,261,250,312,129,310,376,184,558,150
2021년11월_남_10~19세,"11,625",470,"1,641",465,712,813,"2,575",914,433,313,398,483,262,450,592,202,638,264
2021년11월_남_20~29세,"18,142","1,984","3,331",617,"1,310",842,"2,594",881,738,461,597,810,352,690,882,540,986,527
2021년11월_남_30~39세,"14,647","1,066","2,007",824,989,970,"1,855",857,595,518,433,721,324,627,640,739,"1,041",441
2021년11월_남_40~49세,"20,336","1,070","2,749","1,000","1,269","1,363","3,476","1,366",838,666,612,"1,016",536,953,"1,031",633,"1,200",558
2021년11월_남_50~59세,"20,676","1,111","2,233",881,"1,231","1,071","3,829","1,306","1,002",629,764,"1,112",582,"1,044","1,205",678,"1,270",728
2021년11월_남_60~69세,"19,128","1,024","1,588",922,"1,116",848,"3,122","1,297","1,139",708,673,"1,268",572,"1,232","1,105",686,"1,067",761
2021년11월_남_70~79세,"11,191",741,847,591,695,501,"1,618",767,728,412,326,694,404,782,611,400,625,449
2021년11월_남_80~89세,"3,879",308,299,216,276,163,585,189,205,123,118,226,155,242,203,166,212,193
2021년11월_남_90~99세,254,16,20,13,16,13,53,9,14,15,5,12,6,15,9,11,15,12
2021년11월_남_100세 이상,6,0,1,0,1,0,0,1,0,3,0,0,0,0,0,0,0,0
2021년11월_여_총인구수,"134,445","7,872","16,777","6,321","8,828","8,016","23,059","8,625","6,326","4,438","4,095","6,365","3,451","6,517","7,004","4,361","8,096","4,294"
2021년11월_여_연령구간인구수,"134,445","7,872","16,777","6,321","8,828","8,016","23,059","8,625","6,326","4,438","4,095","6,365","3,451","6,517","7,004","4,361","8,096","4,294"
2021년11월_여_0~9세,"8,214",245,"1,269",492,490,866,"1,617",666,239,217,238,275,133,252,329,166,567,153
2021년11월_여_10~19세,"10,954",450,"1,538",408,668,772,"2,486",862,421,321,366,430,208,422,560,178,638,226
2021년11월_여_20~29세,"16,265","1,637","3,190",558,"1,447",808,"2,214",728,609,432,442,590,283,547,766,692,874,448
2021년11월_여_30~39세,"13,802",777,"2,012",812,978,"1,064","2,059",844,479,473,370,563,274,549,619,604,982,343
2021년11월_여_40~49세,"20,244",942,"2,866",870,"1,297","1,435","4,024","1,413",782,636,620,826,469,809,"1,018",521,"1,212",504
2021년11월_여_50~59세,"21,553","1,112","2,412",945,"1,289","1,179","4,134","1,364","1,088",706,733,"1,063",524,"1,042","1,250",596,"1,343",773
2021년11월_여_60~69세,"22,401","1,336","1,927","1,103","1,348","1,042","3,456","1,512","1,412",919,687,"1,343",757,"1,472","1,226",707,"1,289",865
2021년11월_여_70~79세,"13,887",946,"1,004",756,893,570,"2,009",817,862,502,442,848,543,928,813,529,784,641
2021년11월_여_80~89세,"6,170",377,464,336,367,239,906,345,380,200,166,383,231,415,374,325,358,304
2021년11월_여_90~99세,921,47,91,39,51,40,151,69,52,27,29,44,28,79,49,41,49,35
2021년11월_여_100세 이상,34,3,4,2,0,1,3,5,2,5,2,0,1,2,0,2,0,2
