,울산광역시 중구,울산광역시 중구 학성동,울산광역시 중구 반구1동,울산광역시 중구 반구2동,울산광역시 중구 복산1동,울산광역시 중구 복산2동,울산광역시 중구 중앙동,울산광역시 중구 우정동,울산광역시 중구 태화동,울산광역시 중구 다운동,울산광역시 중구 병영1동,울산광역시 중구 병영2동,울산광역시 중구 약사동,울산광역시 중구 성안동
2020년03월_계_총인구수,"221,702","10,308","17,617","8,983","4,992","11,491","13,847","20,460","34,284","23,703","22,911","20,735","11,049","21,322"
2020년03월_계_연령구간인구수,"221,702","10,308","17,617","8,983","4,992","11,491","13,847","20,460","34,284","23,703","22,911","20,735","11,049","21,322"
2020년03월_계_0~9세,"17,657",475,"1,457",436,246,957,515,"1,455","3,699","1,200","1,529","2,139","1,348","2,201"
2020년03월_계_10~19세,"20,782",666,"1,354",658,338,"1,151",720,"1,674","3,637","2,283","2,411","1,930","1,334","2,626"
2020년03월_계_20~29세,"27,991","1,095","2,287","1,356",633,"1,552","1,696","2,596","4,038","3,341","3,140","2,405","1,383","2,469"
2020년03월_계_30~39세,"27,795","1,075","2,611","1,053",542,"1,679","1,396","2,585","4,674","2,210","2,396","2,959","1,733","2,882"
2020년03월_계_40~49세,"35,235","1,422","2,677","1,213",617,"1,809","1,758","3,017","6,038","3,731","3,454","3,368","1,851","4,280"
2020년03월_계_50~59세,"42,247","1,938","3,563","1,808","1,040","2,087","2,749","3,831","5,964","5,109","4,934","3,788","1,979","3,457"
2020년03월_계_60~69세,"30,557","1,976","2,352","1,456",939,"1,364","2,808","3,167","4,056","3,444","3,247","2,666",944,"2,138"
2020년03월_계_70~79세,"13,802","1,182",956,734,466,616,"1,531","1,474","1,577","1,668","1,312","1,057",342,887
2020년03월_계_80~89세,"4,966",426,312,236,144,236,587,599,528,649,427,379,123,320
2020년03월_계_90~99세,616,49,46,31,21,37,65,59,72,66,57,42,11,60
2020년03월_계_100세 이상,54,4,2,2,6,3,22,3,1,2,4,2,1,2
2020년03월_남_총인구수,"112,512","5,269","9,153","4,592","2,490","5,762","7,139","10,317","17,168","12,045","11,645","10,528","5,577","10,827"
2020년03월_남_연령구간인구수,"112,512","5,269","9,153","4,592","2,490","5,762","7,139","10,317","17,168","12,045","11,645","10,528","5,577","10,827"
2020년03월_남_0~9세,"9,129",245,751,234,138,471,267,784,"1,966",589,774,"1,080",699,"1,131"
2020년03월_남_10~19세,"11,143",341,714,348,170,642,381,892,"1,927","1,272","1,331","1,054",693,"1,378"
2020년03월_남_20~29세,"15,593",609,"1,256",744,345,830,974,"1,455","2,299","1,883","1,772","1,343",740,"1,343"
2020년03월_남_30~39세,"14,560",618,"1,422",589,303,901,834,"1,330","2,275","1,210","1,265","1,506",858,"1,449"
2020년03월_남_40~49세,"17,882",814,"1,443",619,313,887,968,"1,531","2,977","1,850","1,678","1,759",874,"2,169"
2020년03월_남_50~59세,"21,099","1,030","1,809",912,501,"1,014","1,398","1,910","2,831","2,556","2,459","1,857","1,020","1,802"
2020년03월_남_60~69세,"14,961",936,"1,179",709,452,640,"1,412","1,535","1,968","1,701","1,579","1,317",490,"1,043"
2020년03월_남_70~79세,"6,320",515,468,348,204,296,673,645,745,763,621,478,157,407
2020년03월_남_80~89세,"1,712",155,104,83,53,75,213,220,171,207,161,126,44,100
2020년03월_남_90~99세,103,5,7,6,8,6,15,15,9,13,5,7,2,5
2020년03월_남_100세 이상,10,1,0,0,3,0,4,0,0,1,0,1,0,0
2020년03월_여_총인구수,"109,190","5,039","8,464","4,391","2,502","5,729","6,708","10,143","17,116","11,658","11,266","10,207","5,472","10,495"
2020년03월_여_연령구간인구수,"109,190","5,039","8,464","4,391","2,502","5,729","6,708","10,143","17,116","11,658","11,266","10,207","5,472","10,495"
2020년03월_여_0~9세,"8,528",230,706,202,108,486,248,671,"1,733",611,755,"1,059",649,"1,070"
2020년03월_여_10~19세,"9,639",325,640,310,168,509,339,782,"1,710","1,011","1,080",876,641,"1,248"
2020년03월_여_20~29세,"12,398",486,"1,031",612,288,722,722,"1,141","1,739","1,458","1,368","1,062",643,"1,126"
2020년03월_여_30~39세,"13,235",457,"1,189",464,239,778,562,"1,255","2,399","1,000","1,131","1,453",875,"1,433"
2020년03월_여_40~49세,"17,353",608,"1,234",594,304,922,790,"1,486","3,061","1,881","1,776","1,609",977,"2,111"
2020년03월_여_50~59세,"21,148",908,"1,754",896,539,"1,073","1,351","1,921","3,133","2,553","2,475","1,931",959,"1,655"
2020년03월_여_60~69세,"15,596","1,040","1,173",747,487,724,"1,396","1,632","2,088","1,743","1,668","1,349",454,"1,095"
2020년03월_여_70~79세,"7,482",667,488,386,262,320,858,829,832,905,691,579,185,480
2020년03월_여_80~89세,"3,254",271,208,153,91,161,374,379,357,442,266,253,79,220
2020년03월_여_90~99세,513,44,39,25,13,31,50,44,63,53,52,35,9,55
2020년03월_여_100세 이상,44,3,2,2,3,3,18,3,1,1,4,1,1,2
