,충청남도 보령시,충청남도 보령시 웅천읍,충청남도 보령시 주포면,충청남도 보령시 오천면,충청남도 보령시 오천면어항출장소,충청남도 보령시 원산도출장소,충청남도 보령시 천북면,충청남도 보령시 청소면,충청남도 보령시 청라면,충청남도 보령시 남포면,충청남도 보령시 주산면,충청남도 보령시 미산면,충청남도 보령시 성주면,충청남도 보령시 주교면,충청남도 보령시 대천1동,충청남도 보령시 대천2동,충청남도 보령시 대천3동,충청남도 보령시 대천4동,충청남도 보령시 대천5동
2020년08월_계_총인구수,"100,538","6,288","1,659","2,190","1,632","1,141","3,603","2,651","3,950","5,195","2,462","1,768","2,314","5,365","14,519","6,957","16,747","15,527","6,570"
2020년08월_계_연령구간인구수,"100,538","6,288","1,659","2,190","1,632","1,141","3,603","2,651","3,950","5,195","2,462","1,768","2,314","5,365","14,519","6,957","16,747","15,527","6,570"
2020년08월_계_0~9세,"6,302",147,38,48,61,30,121,71,133,141,51,57,73,195,"1,104",509,"1,709","1,552",262
2020년08월_계_10~19세,"8,430",334,117,125,99,67,199,109,216,274,92,60,122,350,"1,475",633,"1,962","1,792",404
2020년08월_계_20~29세,"9,593",437,186,127,134,63,226,151,270,391,114,99,170,479,"1,689",753,"2,027","1,734",543
2020년08월_계_30~39세,"9,588",363,85,127,123,66,228,142,211,290,108,87,162,409,"1,584",762,"2,345","1,912",584
2020년08월_계_40~49세,"14,119",630,170,264,216,104,354,215,380,487,203,142,263,709,"2,337","1,142","3,000","2,715",788
2020년08월_계_50~59세,"17,272","1,147",277,399,322,230,631,423,692,985,375,271,462,977,"2,475","1,161","2,632","2,527","1,286"
2020년08월_계_60~69세,"16,761","1,470",380,488,363,257,795,583,884,"1,142",548,414,514,"1,043","2,025",968,"1,722","1,785","1,380"
2020년08월_계_70~79세,"11,261","1,046",254,359,172,184,590,523,664,850,529,371,363,729,"1,230",652,897,988,860
2020년08월_계_80~89세,"6,262",605,127,214,126,122,413,379,440,528,376,227,162,414,533,341,406,448,401
2020년08월_계_90~99세,889,106,25,38,15,18,45,54,55,99,64,40,18,58,58,32,43,62,59
2020년08월_계_100세 이상,61,3,0,1,1,0,1,1,5,8,2,0,5,2,9,4,4,12,3
2020년08월_남_총인구수,"50,941","3,206",876,"1,154",874,609,"1,861","1,314","1,999","2,616","1,205",912,"1,159","2,802","7,330","3,474","8,426","7,697","3,427"
2020년08월_남_연령구간인구수,"50,941","3,206",876,"1,154",874,609,"1,861","1,314","1,999","2,616","1,205",912,"1,159","2,802","7,330","3,474","8,426","7,697","3,427"
2020년08월_남_0~9세,"3,170",75,17,18,33,13,58,41,73,82,38,30,42,98,560,245,850,773,124
2020년08월_남_10~19세,"4,378",172,65,62,53,40,107,65,115,132,43,36,68,184,741,327,"1,016",948,204
2020년08월_남_20~29세,"5,627",283,141,74,87,39,135,87,157,231,73,63,98,300,987,418,"1,155",955,344
2020년08월_남_30~39세,"5,183",222,43,81,68,44,142,85,126,167,62,47,94,246,852,414,"1,181",951,358
2020년08월_남_40~49세,"7,747",369,106,170,142,70,211,132,232,274,122,105,159,433,"1,203",588,"1,562","1,369",500
2020년08월_남_50~59세,"9,197",631,155,252,184,141,355,237,371,549,204,150,258,537,"1,260",609,"1,320","1,293",691
2020년08월_남_60~69세,"8,214",740,199,240,183,133,407,294,455,591,272,221,233,501,966,456,824,832,667
2020년08월_남_70~79세,"5,011",477,109,170,82,85,292,237,303,384,232,171,152,347,547,274,372,415,362
2020년08월_남_80~89세,"2,213",209,36,77,39,42,148,122,156,185,139,82,51,146,198,135,137,146,165
2020년08월_남_90~99세,188,26,5,10,3,2,6,14,10,20,19,7,4,10,14,7,8,11,12
2020년08월_남_100세 이상,13,2,0,0,0,0,0,0,1,1,1,0,0,0,2,1,1,4,0
2020년08월_여_총인구수,"49,597","3,082",783,"1,036",758,532,"1,742","1,337","1,951","2,579","1,257",856,"1,155","2,563","7,189","3,483","8,321","7,830","3,143"
2020년08월_여_연령구간인구수,"49,597","3,082",783,"1,036",758,532,"1,742","1,337","1,951","2,579","1,257",856,"1,155","2,563","7,189","3,483","8,321","7,830","3,143"
2020년08월_여_0~9세,"3,132",72,21,30,28,17,63,30,60,59,13,27,31,97,544,264,859,779,138
2020년08월_여_10~19세,"4,052",162,52,63,46,27,92,44,101,142,49,24,54,166,734,306,946,844,200
2020년08월_여_20~29세,"3,966",154,45,53,47,24,91,64,113,160,41,36,72,179,702,335,872,779,199
2020년08월_여_30~39세,"4,405",141,42,46,55,22,86,57,85,123,46,40,68,163,732,348,"1,164",961,226
2020년08월_여_40~49세,"6,372",261,64,94,74,34,143,83,148,213,81,37,104,276,"1,134",554,"1,438","1,346",288
2020년08월_여_50~59세,"8,075",516,122,147,138,89,276,186,321,436,171,121,204,440,"1,215",552,"1,312","1,234",595
2020년08월_여_60~69세,"8,547",730,181,248,180,124,388,289,429,551,276,193,281,542,"1,059",512,898,953,713
2020년08월_여_70~79세,"6,250",569,145,189,90,99,298,286,361,466,297,200,211,382,683,378,525,573,498
2020년08월_여_80~89세,"4,049",396,91,137,87,80,265,257,284,343,237,145,111,268,335,206,269,302,236
2020년08월_여_90~99세,701,80,20,28,12,16,39,40,45,79,45,33,14,48,44,25,35,51,47
2020년08월_여_100세 이상,48,1,0,1,1,0,1,1,4,7,1,0,5,2,7,3,3,8,3
