카테고리,울산광역시 남구,울산광역시 남구 신정1동,울산광역시 남구 신정2동,울산광역시 남구 신정3동,울산광역시 남구 신정4동,울산광역시 남구 신정5동,울산광역시 남구 달동,울산광역시 남구 삼산동,울산광역시 남구 삼호동,울산광역시 남구 무거동,울산광역시 남구 옥동,울산광역시 남구 대현동,울산광역시 남구 수암동,울산광역시 남구 선암동,울산광역시 남구 야음장생포동
2021년01월_계_총인구수,"319,780","19,057","24,719","16,337","21,385","8,891","27,323","48,915","20,807","32,287","26,653","30,494","17,002","14,494","11,416"
2021년01월_계_연령구간인구수,"319,780","19,057","24,719","16,337","21,385","8,891","27,323","48,915","20,807","32,287","26,653","30,494","17,002","14,494","11,416"
2021년01월_계_0~9세,"23,689",842,"1,961","1,279","1,798",479,"1,603","3,525","1,181","2,161","2,062","3,453","1,546","1,174",625
2021년01월_계_10~19세,"30,484","1,124","3,167","1,219","2,349",608,"2,103","4,392","1,721","3,510","3,245","3,286","1,872","1,271",617
2021년01월_계_20~29세,"45,637","2,610","3,253","2,147","2,860","1,366","4,176","7,891","3,224","5,784","3,724","3,399","2,276","1,782","1,145"
2021년01월_계_30~39세,"42,107","2,275","2,803","2,011","2,747","1,275","3,866","7,730","2,264","3,602","3,138","4,581","2,366","1,971","1,478"
2021년01월_계_40~49세,"51,480","2,511","4,376","2,531","3,678","1,366","4,159","8,432","2,973","5,254","4,237","5,507","2,609","2,333","1,514"
2021년01월_계_50~59세,"61,715","3,747","4,762","3,245","3,749","1,745","5,325","9,327","4,687","6,665","5,463","4,894","3,297","2,703","2,106"
2021년01월_계_60~69세,"41,739","3,648","2,749","2,446","2,684","1,272","3,945","5,398","2,996","3,420","3,290","3,417","2,107","2,139","2,228"
2021년01월_계_70~79세,"16,552","1,682","1,222","1,032","1,105",588,"1,484","1,646","1,226","1,324","1,081","1,447",681,800,"1,234"
2021년01월_계_80~89세,"5,658",552,365,370,367,172,597,495,481,500,372,459,220,289,419
2021년01월_계_90~99세,685,60,60,54,45,19,60,77,53,66,41,48,28,29,45
2021년01월_계_100세 이상,34,6,1,3,3,1,5,2,1,1,0,3,0,3,5
2021년01월_남_총인구수,"163,120","9,666","12,699","8,272","10,850","4,704","13,830","25,359","10,619","16,509","13,348","15,257","8,508","7,461","6,038"
2021년01월_남_연령구간인구수,"163,120","9,666","12,699","8,272","10,850","4,704","13,830","25,359","10,619","16,509","13,348","15,257","8,508","7,461","6,038"
2021년01월_남_0~9세,"12,187",435,"1,023",651,942,248,829,"1,789",667,"1,103","1,048","1,736",781,620,315
2021년01월_남_10~19세,"16,155",572,"1,729",660,"1,216",316,"1,134","2,310",911,"1,829","1,775","1,705",997,665,336
2021년01월_남_20~29세,"25,431","1,490","1,854","1,152","1,594",789,"2,322","4,332","1,811","3,299","2,132","1,833","1,208",962,653
2021년01월_남_30~39세,"22,430","1,299","1,459","1,068","1,444",705,"2,110","4,245","1,241","1,938","1,569","2,249","1,191","1,056",856
2021년01월_남_40~49세,"25,152","1,344","2,023","1,284","1,773",741,"2,088","4,116","1,454","2,436","1,847","2,739","1,210","1,213",884
2021년01월_남_50~59세,"30,996","1,830","2,476","1,630","1,914",903,"2,557","4,728","2,325","3,348","2,643","2,458","1,636","1,365","1,183"
2021년01월_남_60~69세,"20,753","1,716","1,379","1,188","1,299",642,"1,903","2,787","1,504","1,753","1,684","1,666","1,074","1,072","1,086"
2021년01월_남_70~79세,"7,912",766,607,481,517,289,683,874,540,622,527,696,337,404,569
2021년01월_남_80~89세,"1,970",204,140,146,138,69,191,162,155,170,116,165,70,95,149
2021년01월_남_90~99세,126,9,9,10,12,2,12,16,11,11,7,10,4,6,7
2021년01월_남_100세 이상,8,1,0,2,1,0,1,0,0,0,0,0,0,3,0
2021년01월_여_총인구수,"156,660","9,391","12,020","8,065","10,535","4,187","13,493","23,556","10,188","15,778","13,305","15,237","8,494","7,033","5,378"
2021년01월_여_연령구간인구수,"156,660","9,391","12,020","8,065","10,535","4,187","13,493","23,556","10,188","15,778","13,305","15,237","8,494","7,033","5,378"
2021년01월_여_0~9세,"11,502",407,938,628,856,231,774,"1,736",514,"1,058","1,014","1,717",765,554,310
2021년01월_여_10~19세,"14,329",552,"1,438",559,"1,133",292,969,"2,082",810,"1,681","1,470","1,581",875,606,281
2021년01월_여_20~29세,"20,206","1,120","1,399",995,"1,266",577,"1,854","3,559","1,413","2,485","1,592","1,566","1,068",820,492
2021년01월_여_30~39세,"19,677",976,"1,344",943,"1,303",570,"1,756","3,485","1,023","1,664","1,569","2,332","1,175",915,622
2021년01월_여_40~49세,"26,328","1,167","2,353","1,247","1,905",625,"2,071","4,316","1,519","2,818","2,390","2,768","1,399","1,120",630
2021년01월_여_50~59세,"30,719","1,917","2,286","1,615","1,835",842,"2,768","4,599","2,362","3,317","2,820","2,436","1,661","1,338",923
2021년01월_여_60~69세,"20,986","1,932","1,370","1,258","1,385",630,"2,042","2,611","1,492","1,667","1,606","1,751","1,033","1,067","1,142"
2021년01월_여_70~79세,"8,640",916,615,551,588,299,801,772,686,702,554,751,344,396,665
2021년01월_여_80~89세,"3,688",348,225,224,229,103,406,333,326,330,256,294,150,194,270
2021년01월_여_90~99세,559,51,51,44,33,17,48,61,42,55,34,38,24,23,38
2021년01월_여_100세 이상,26,5,1,1,2,1,4,2,1,1,0,3,0,0,5
