,대전광역시,대전광역시 동구,대전광역시 중구,대전광역시 서구,대전광역시 유성구,대전광역시 대덕구
2021년09월_계_총인구수,"1,455,058","223,409","232,077","474,444","350,337","174,791"
2021년09월_계_연령구간인구수,"1,455,058","223,409","232,077","474,444","350,337","174,791"
2021년09월_계_0~9세,"108,994","14,495","14,273","36,159","33,448","10,619"
2021년09월_계_10~19세,"143,141","19,730","21,228","48,564","37,602","16,017"
2021년09월_계_20~29세,"211,021","30,350","30,367","73,480","52,643","24,181"
2021년09월_계_30~39세,"190,288","25,540","25,306","64,911","54,834","19,697"
2021년09월_계_40~49세,"232,111","33,745","35,602","76,531","59,913","26,320"
2021년09월_계_50~59세,"239,841","36,327","39,039","76,873","54,338","33,264"
2021년09월_계_60~69세,"188,867","34,147","34,705","57,938","36,000","26,077"
2021년09월_계_70~79세,"91,998","19,106","20,576","26,336","13,744","12,236"
2021년09월_계_80~89세,"42,541","8,771","9,602","11,870","6,678","5,620"
2021년09월_계_90~99세,"6,044","1,155","1,328","1,722","1,107",732
2021년09월_계_100세 이상,212,43,51,60,30,28
2021년09월_남_총인구수,"726,142","112,638","114,361","233,248","176,991","88,904"
2021년09월_남_연령구간인구수,"726,142","112,638","114,361","233,248","176,991","88,904"
2021년09월_남_0~9세,"56,030","7,539","7,286","18,661","17,185","5,359"
2021년09월_남_10~19세,"74,004","10,192","10,981","25,007","19,462","8,362"
2021년09월_남_20~29세,"110,691","16,102","15,464","37,452","28,282","13,391"
2021년09월_남_30~39세,"99,568","13,811","13,044","33,223","28,720","10,770"
2021년09월_남_40~49세,"115,730","17,657","18,010","37,059","29,479","13,525"
2021년09월_남_50~59세,"119,771","18,770","19,781","37,262","27,081","16,877"
2021년09월_남_60~69세,"91,605","16,508","16,564","27,788","17,851","12,894"
2021년09월_남_70~79세,"41,902","8,587","9,234","12,062","6,426","5,593"
2021년09월_남_80~89세,"15,414","3,173","3,669","4,336","2,257","1,979"
2021년09월_남_90~99세,"1,387",288,317,386,244,152
2021년09월_남_100세 이상,40,11,11,12,4,2
2021년09월_여_총인구수,"728,916","110,771","117,716","241,196","173,346","85,887"
2021년09월_여_연령구간인구수,"728,916","110,771","117,716","241,196","173,346","85,887"
2021년09월_여_0~9세,"52,964","6,956","6,987","17,498","16,263","5,260"
2021년09월_여_10~19세,"69,137","9,538","10,247","23,557","18,140","7,655"
2021년09월_여_20~29세,"100,330","14,248","14,903","36,028","24,361","10,790"
2021년09월_여_30~39세,"90,720","11,729","12,262","31,688","26,114","8,927"
2021년09월_여_40~49세,"116,381","16,088","17,592","39,472","30,434","12,795"
2021년09월_여_50~59세,"120,070","17,557","19,258","39,611","27,257","16,387"
2021년09월_여_60~69세,"97,262","17,639","18,141","30,150","18,149","13,183"
2021년09월_여_70~79세,"50,096","10,519","11,342","14,274","7,318","6,643"
2021년09월_여_80~89세,"27,127","5,598","5,933","7,534","4,421","3,641"
2021년09월_여_90~99세,"4,657",867,"1,011","1,336",863,580
2021년09월_여_100세 이상,172,32,40,48,26,26
