카테고리,강원도 인제군,강원도 인제군 인제읍,강원도 인제군 인제읍귀둔출장소,강원도 인제군 남면,강원도 인제군 북면,강원도 인제군 기린면,강원도 인제군 서화면,강원도 인제군 상남면
2020년05월_계_총인구수,"31,548","9,261",506,"4,065","8,380","5,073","2,729","1,534"
2020년05월_계_연령구간인구수,"31,548","9,261",506,"4,065","8,380","5,073","2,729","1,534"
2020년05월_계_0~9세,"2,551",802,18,366,651,414,251,49
2020년05월_계_10~19세,"2,299",803,24,278,636,323,145,90
2020년05월_계_20~29세,"4,136","1,192",37,529,"1,094",584,576,124
2020년05월_계_30~39세,"3,870","1,184",30,582,911,672,406,85
2020년05월_계_40~49세,"3,987","1,317",61,428,"1,134",631,259,157
2020년05월_계_50~59세,"5,372","1,516",118,623,"1,519",904,357,335
2020년05월_계_60~69세,"4,895","1,285",111,676,"1,278",813,368,364
2020년05월_계_70~79세,"2,743",728,74,328,720,442,237,214
2020년05월_계_80~89세,"1,446",371,30,219,369,247,115,95
2020년05월_계_90~99세,235,56,3,36,64,41,15,20
2020년05월_계_100세 이상,14,7,0,0,4,2,0,1
2020년05월_남_총인구수,"17,051","4,888",271,"2,189","4,536","2,731","1,604",832
2020년05월_남_연령구간인구수,"17,051","4,888",271,"2,189","4,536","2,731","1,604",832
2020년05월_남_0~9세,"1,322",416,8,190,328,214,138,28
2020년05월_남_10~19세,"1,191",430,13,134,337,157,72,48
2020년05월_남_20~29세,"2,731",729,23,348,727,369,450,85
2020년05월_남_30~39세,"2,230",645,22,349,507,400,248,59
2020년05월_남_40~49세,"2,216",709,35,241,637,350,154,90
2020년05월_남_50~59세,"2,850",800,64,325,820,463,201,177
2020년05월_남_60~69세,"2,639",662,56,369,699,465,187,201
2020년05월_남_70~79세,"1,300",350,39,152,331,216,109,103
2020년05월_남_80~89세,501,131,10,69,130,87,41,33
2020년05월_남_90~99세,66,14,1,12,18,9,4,8
2020년05월_남_100세 이상,5,2,0,0,2,1,0,0
2020년05월_여_총인구수,"14,497","4,373",235,"1,876","3,844","2,342","1,125",702
2020년05월_여_연령구간인구수,"14,497","4,373",235,"1,876","3,844","2,342","1,125",702
2020년05월_여_0~9세,"1,229",386,10,176,323,200,113,21
2020년05월_여_10~19세,"1,108",373,11,144,299,166,73,42
2020년05월_여_20~29세,"1,405",463,14,181,367,215,126,39
2020년05월_여_30~39세,"1,640",539,8,233,404,272,158,26
2020년05월_여_40~49세,"1,771",608,26,187,497,281,105,67
2020년05월_여_50~59세,"2,522",716,54,298,699,441,156,158
2020년05월_여_60~69세,"2,256",623,55,307,579,348,181,163
2020년05월_여_70~79세,"1,443",378,35,176,389,226,128,111
2020년05월_여_80~89세,945,240,20,150,239,160,74,62
2020년05월_여_90~99세,169,42,2,24,46,32,11,12
2020년05월_여_100세 이상,9,5,0,0,2,1,0,1
