카테고리,경상북도 칠곡군,경상북도 칠곡군 왜관읍,경상북도 칠곡군 북삼읍,경상북도 칠곡군 석적읍,경상북도 칠곡군 지천면,경상북도 칠곡군 동명면,경상북도 칠곡군 가산면,경상북도 칠곡군 약목면,경상북도 칠곡군 기산면
2020년02월_계_총인구수,"116,456","33,917","23,904","31,559","4,372","5,570","3,570","10,251","3,313"
2020년02월_계_연령구간인구수,"116,456","33,917","23,904","31,559","4,372","5,570","3,570","10,251","3,313"
2020년02월_계_0~9세,"10,230","2,489","1,986","4,786",96,162,92,385,234
2020년02월_계_10~19세,"11,796","3,540","3,181","3,648",136,178,140,791,182
2020년02월_계_20~29세,"12,777","4,045","2,929","3,285",347,483,278,"1,159",251
2020년02월_계_30~39세,"16,197","3,697","2,583","7,847",287,398,248,799,338
2020년02월_계_40~49세,"20,842","5,682","5,155","6,651",434,552,384,"1,546",438
2020년02월_계_50~59세,"19,290","6,264","4,505","2,766",863,"1,195",777,"2,323",597
2020년02월_계_60~69세,"12,885","4,154","1,985","1,447",988,"1,301",826,"1,595",589
2020년02월_계_70~79세,"7,554","2,414","1,014",724,707,757,516,"1,034",388
2020년02월_계_80~89세,"4,255","1,422",499,358,452,458,256,552,258
2020년02월_계_90~99세,585,186,66,42,58,86,50,62,35
2020년02월_계_100세 이상,45,24,1,5,4,0,3,5,3
2020년02월_남_총인구수,"60,763","17,018","12,513","17,030","2,335","2,855","1,959","5,315","1,738"
2020년02월_남_연령구간인구수,"60,763","17,018","12,513","17,030","2,335","2,855","1,959","5,315","1,738"
2020년02월_남_0~9세,"5,283","1,280","1,032","2,475",38,87,47,193,131
2020년02월_남_10~19세,"6,241","1,828","1,700","1,930",77,99,71,431,105
2020년02월_남_20~29세,"7,128","2,326","1,690","1,605",204,293,176,682,152
2020년02월_남_30~39세,"8,896","1,953","1,319","4,405",176,235,157,475,176
2020년02월_남_40~49세,"11,274","2,872","2,608","3,840",288,346,241,818,261
2020년02월_남_50~59세,"10,520","3,210","2,511","1,642",519,607,452,"1,250",329
2020년02월_남_60~69세,"6,667","2,072","1,037",700,563,693,457,829,316
2020년02월_남_70~79세,"3,212",953,435,310,303,356,248,437,170
2020년02월_남_80~89세,"1,400",472,164,110,156,131,92,186,89
2020년02월_남_90~99세,135,49,17,12,11,8,17,13,8
2020년02월_남_100세 이상,7,3,0,1,0,0,1,1,1
2020년02월_여_총인구수,"55,693","16,899","11,391","14,529","2,037","2,715","1,611","4,936","1,575"
2020년02월_여_연령구간인구수,"55,693","16,899","11,391","14,529","2,037","2,715","1,611","4,936","1,575"
2020년02월_여_0~9세,"4,947","1,209",954,"2,311",58,75,45,192,103
2020년02월_여_10~19세,"5,555","1,712","1,481","1,718",59,79,69,360,77
2020년02월_여_20~29세,"5,649","1,719","1,239","1,680",143,190,102,477,99
2020년02월_여_30~39세,"7,301","1,744","1,264","3,442",111,163,91,324,162
2020년02월_여_40~49세,"9,568","2,810","2,547","2,811",146,206,143,728,177
2020년02월_여_50~59세,"8,770","3,054","1,994","1,124",344,588,325,"1,073",268
2020년02월_여_60~69세,"6,218","2,082",948,747,425,608,369,766,273
2020년02월_여_70~79세,"4,342","1,461",579,414,404,401,268,597,218
2020년02월_여_80~89세,"2,855",950,335,248,296,327,164,366,169
2020년02월_여_90~99세,450,137,49,30,47,78,33,49,27
2020년02월_여_100세 이상,38,21,1,4,4,0,2,4,2
