,서울특별시 동작구,서울특별시 동작구 노량진제1동,서울특별시 동작구 노량진제2동,서울특별시 동작구 상도제1동,서울특별시 동작구 상도제2동,서울특별시 동작구 상도제3동,서울특별시 동작구 상도제4동,서울특별시 동작구 흑석동,서울특별시 동작구 사당제1동,서울특별시 동작구 사당제2동,서울특별시 동작구 사당제3동,서울특별시 동작구 사당제4동,서울특별시 동작구 사당제5동,서울특별시 동작구 대방동,서울특별시 동작구 신대방제1동,서울특별시 동작구 신대방제2동
2021년01월_계_총인구수,"390,433","31,999","12,654","44,901","27,703","25,052","28,950","32,346","23,014","27,199","25,001","14,368","14,666","38,758","23,637","20,185"
2021년01월_계_연령구간인구수,"390,433","31,999","12,654","44,901","27,703","25,052","28,950","32,346","23,014","27,199","25,001","14,368","14,666","38,758","23,637","20,185"
2021년01월_계_0~9세,"24,348","1,938",331,"2,878","2,240","1,226","1,667","2,380",821,"1,787","2,108",740,"1,061","2,237","1,510","1,424"
2021년01월_계_10~19세,"27,675","1,997",561,"3,155","1,896","1,675","1,915","2,136",880,"1,652","1,647",754,"1,000","4,191","2,504","1,712"
2021년01월_계_20~29세,"66,129","5,491","2,337","9,723","4,256","4,209","4,588","5,111","5,243","3,638","3,390","2,504","2,214","6,480","3,431","3,514"
2021년01월_계_30~39세,"61,997","5,438","1,928","6,281","4,628","4,196","4,866","4,543","4,633","4,502","4,100","2,490","2,586","5,428","3,080","3,298"
2021년01월_계_40~49세,"58,688","4,356","1,534","6,558","4,283","3,678","4,367","4,896","2,942","4,019","3,834","2,052","2,329","6,593","4,012","3,235"
2021년01월_계_50~59세,"58,279","4,709","2,154","6,313","4,117","3,882","4,396","5,238","3,063","4,183","3,664","2,077","2,191","5,864","3,723","2,705"
2021년01월_계_60~69세,"49,321","4,239","1,989","5,318","3,299","3,203","3,826","4,044","3,027","3,880","3,403","2,010","1,800","4,177","2,941","2,165"
2021년01월_계_70~79세,"29,899","2,482","1,219","3,103","1,958","2,063","2,279","2,560","1,795","2,472","2,061","1,242","1,012","2,512","1,653","1,488"
2021년01월_계_80~89세,"11,966","1,149",509,"1,312",855,801,916,"1,189",537,904,676,423,394,"1,074",675,552
2021년01월_계_90~99세,"1,816",170,80,220,142,105,119,194,66,129,96,70,66,177,101,81
2021년01월_계_100세 이상,315,30,12,40,29,14,11,55,7,33,22,6,13,25,7,11
2021년01월_남_총인구수,"188,743","15,966","6,503","21,680","13,302","11,988","14,043","15,726","10,924","13,079","12,141","6,870","7,097","18,435","11,375","9,614"
2021년01월_남_연령구간인구수,"188,743","15,966","6,503","21,680","13,302","11,988","14,043","15,726","10,924","13,079","12,141","6,870","7,097","18,435","11,375","9,614"
2021년01월_남_0~9세,"12,420",987,172,"1,438","1,145",625,859,"1,216",420,917,"1,073",396,551,"1,130",774,717
2021년01월_남_10~19세,"14,223","1,034",294,"1,625",960,856,"1,036","1,102",464,921,888,396,505,"2,037","1,223",882
2021년01월_남_20~29세,"31,906","2,899","1,214","4,893","2,031","1,951","2,193","2,654","2,263","1,740","1,590","1,144","1,075","3,072","1,641","1,546"
2021년01월_남_30~39세,"31,334","2,920","1,137","3,100","2,238","2,178","2,527","2,246","2,422","2,222","1,964","1,262","1,315","2,656","1,528","1,619"
2021년01월_남_40~49세,"29,432","2,277",846,"3,254","2,148","1,816","2,203","2,521","1,503","1,974","1,976","1,068","1,157","3,181","1,902","1,606"
2021년01월_남_50~59세,"27,972","2,274","1,097","2,959","1,977","1,856","2,086","2,500","1,400","1,990","1,740",962,"1,028","2,939","1,868","1,296"
2021년01월_남_60~69세,"22,713","1,982",944,"2,470","1,542","1,426","1,770","1,876","1,343","1,765","1,604",884,837,"1,884","1,382","1,004"
2021년01월_남_70~79세,"13,368","1,099",553,"1,368",868,935,"1,002","1,102",839,"1,116",967,568,461,"1,068",761,661
2021년01월_남_80~89세,"4,803",435,222,502,344,317,326,445,258,384,308,173,155,411,268,255
2021년01월_남_90~99세,480,49,20,61,40,23,37,48,11,36,24,17,12,50,27,25
2021년01월_남_100세 이상,92,10,4,10,9,5,4,16,1,14,7,0,1,7,1,3
2021년01월_여_총인구수,"201,690","16,033","6,151","23,221","14,401","13,064","14,907","16,620","12,090","14,120","12,860","7,498","7,569","20,323","12,262","10,571"
2021년01월_여_연령구간인구수,"201,690","16,033","6,151","23,221","14,401","13,064","14,907","16,620","12,090","14,120","12,860","7,498","7,569","20,323","12,262","10,571"
2021년01월_여_0~9세,"11,928",951,159,"1,440","1,095",601,808,"1,164",401,870,"1,035",344,510,"1,107",736,707
2021년01월_여_10~19세,"13,452",963,267,"1,530",936,819,879,"1,034",416,731,759,358,495,"2,154","1,281",830
2021년01월_여_20~29세,"34,223","2,592","1,123","4,830","2,225","2,258","2,395","2,457","2,980","1,898","1,800","1,360","1,139","3,408","1,790","1,968"
2021년01월_여_30~39세,"30,663","2,518",791,"3,181","2,390","2,018","2,339","2,297","2,211","2,280","2,136","1,228","1,271","2,772","1,552","1,679"
2021년01월_여_40~49세,"29,256","2,079",688,"3,304","2,135","1,862","2,164","2,375","1,439","2,045","1,858",984,"1,172","3,412","2,110","1,629"
2021년01월_여_50~59세,"30,307","2,435","1,057","3,354","2,140","2,026","2,310","2,738","1,663","2,193","1,924","1,115","1,163","2,925","1,855","1,409"
2021년01월_여_60~69세,"26,608","2,257","1,045","2,848","1,757","1,777","2,056","2,168","1,684","2,115","1,799","1,126",963,"2,293","1,559","1,161"
2021년01월_여_70~79세,"16,531","1,383",666,"1,735","1,090","1,128","1,277","1,458",956,"1,356","1,094",674,551,"1,444",892,827
2021년01월_여_80~89세,"7,163",714,287,810,511,484,590,744,279,520,368,250,239,663,407,297
2021년01월_여_90~99세,"1,336",121,60,159,102,82,82,146,55,93,72,53,54,127,74,56
2021년01월_여_100세 이상,223,20,8,30,20,9,7,39,6,19,15,6,12,18,6,8
