카테고리,전라남도 강진군,전라남도 강진군 강진읍,전라남도 강진군 군동면,전라남도 강진군 칠량면,전라남도 강진군 대구면,전라남도 강진군 도암면,전라남도 강진군 신전면,전라남도 강진군 성전면,전라남도 강진군 작천면,전라남도 강진군 병영면,전라남도 강진군 옴천면,전라남도 강진군 마량면
2020년09월_계_총인구수,"34,749","13,756","4,317","2,337","1,155","2,544","1,805","2,820","1,875","1,674",655,"1,811"
2020년09월_계_연령구간인구수,"34,749","13,756","4,317","2,337","1,155","2,544","1,805","2,820","1,875","1,674",655,"1,811"
2020년09월_계_0~9세,"1,809","1,019",239,70,26,63,78,116,51,51,18,78
2020년09월_계_10~19세,"2,539","1,370",329,124,46,140,99,133,78,89,48,83
2020년09월_계_20~29세,"2,895","1,550",357,145,68,129,85,175,114,99,33,140
2020년09월_계_30~39세,"2,510","1,331",317,111,53,121,86,174,100,74,25,118
2020년09월_계_40~49세,"3,809","1,900",471,197,107,202,163,247,132,149,55,186
2020년09월_계_50~59세,"5,703","2,253",713,400,182,378,302,436,324,274,109,332
2020년09월_계_60~69세,"6,136","2,003",728,473,260,556,387,593,349,327,109,351
2020년09월_계_70~79세,"5,250","1,423",608,451,246,516,320,525,387,316,135,323
2020년09월_계_80~89세,"3,555",786,482,323,138,377,257,361,297,248,104,182
2020년09월_계_90~99세,514,111,71,41,28,56,27,57,41,45,19,18
2020년09월_계_100세 이상,29,10,2,2,1,6,1,3,2,2,0,0
2020년09월_남_총인구수,"16,773","6,625","2,091","1,132",547,"1,228",855,"1,376",912,791,319,897
2020년09월_남_연령구간인구수,"16,773","6,625","2,091","1,132",547,"1,228",855,"1,376",912,791,319,897
2020년09월_남_0~9세,901,523,115,41,8,27,30,58,30,21,10,38
2020년09월_남_10~19세,"1,304",681,186,54,25,77,48,64,41,54,27,47
2020년09월_남_20~29세,"1,619",838,213,82,41,79,49,109,66,56,18,68
2020년09월_남_30~39세,"1,284",658,168,64,29,67,35,88,57,42,9,67
2020년09월_남_40~49세,"2,124",954,254,116,66,125,107,148,94,97,41,122
2020년09월_남_50~59세,"3,066","1,136",377,226,101,217,168,245,192,150,68,186
2020년09월_남_60~69세,"3,052",963,391,245,121,283,185,304,172,162,55,171
2020년09월_남_70~79세,"2,242",622,235,195,114,225,147,224,157,122,63,138
2020년09월_남_80~89세,"1,078",227,137,104,38,114,83,123,95,78,22,57
2020년09월_남_90~99세,99,22,15,5,4,13,3,12,7,9,6,3
2020년09월_남_100세 이상,4,1,0,0,0,1,0,1,1,0,0,0
2020년09월_여_총인구수,"17,976","7,131","2,226","1,205",608,"1,316",950,"1,444",963,883,336,914
2020년09월_여_연령구간인구수,"17,976","7,131","2,226","1,205",608,"1,316",950,"1,444",963,883,336,914
2020년09월_여_0~9세,908,496,124,29,18,36,48,58,21,30,8,40
2020년09월_여_10~19세,"1,235",689,143,70,21,63,51,69,37,35,21,36
2020년09월_여_20~29세,"1,276",712,144,63,27,50,36,66,48,43,15,72
2020년09월_여_30~39세,"1,226",673,149,47,24,54,51,86,43,32,16,51
2020년09월_여_40~49세,"1,685",946,217,81,41,77,56,99,38,52,14,64
2020년09월_여_50~59세,"2,637","1,117",336,174,81,161,134,191,132,124,41,146
2020년09월_여_60~69세,"3,084","1,040",337,228,139,273,202,289,177,165,54,180
2020년09월_여_70~79세,"3,008",801,373,256,132,291,173,301,230,194,72,185
2020년09월_여_80~89세,"2,477",559,345,219,100,263,174,238,202,170,82,125
2020년09월_여_90~99세,415,89,56,36,24,43,24,45,34,36,13,15
2020년09월_여_100세 이상,25,9,2,2,1,5,1,2,1,2,0,0
