카테고리,경상남도 진주시,경상남도 진주시 문산읍,경상남도 진주시 내동면,경상남도 진주시 정촌면,경상남도 진주시 금곡면,경상남도 진주시 진성면,경상남도 진주시 일반성면,경상남도 진주시 이반성면,경상남도 진주시 사봉면,경상남도 진주시 지수면,경상남도 진주시 대곡면,경상남도 진주시 금산면,경상남도 진주시 집현면,경상남도 진주시 미천면,경상남도 진주시 명석면,경상남도 진주시 대평면,경상남도 진주시 수곡면,경상남도 진주시 천전동,경상남도 진주시 성북동,경상남도 진주시 중앙동,경상남도 진주시 상봉동,경상남도 진주시 상대동,경상남도 진주시 하대동,경상남도 진주시 상평동,경상남도 진주시 초장동,경상남도 진주시 평거동,경상남도 진주시 신안동,경상남도 진주시 이현동,경상남도 진주시 판문동,경상남도 진주시 가호동,경상남도 진주시 충무공동
2021년06월_계_총인구수,"347,204","8,160","4,038","8,586","2,206","1,898","2,595","1,586","1,482","1,444","3,213","21,067","4,705","1,591","4,008","1,045","2,208","27,644","10,562","10,953","13,939","19,425","24,474","11,661","26,759","27,472","11,695","11,974","21,104","27,253","32,457"
2021년06월_계_연령구간인구수,"347,204","8,160","4,038","8,586","2,206","1,898","2,595","1,586","1,482","1,444","3,213","21,067","4,705","1,591","4,008","1,045","2,208","27,644","10,562","10,953","13,939","19,425","24,474","11,661","26,759","27,472","11,695","11,974","21,104","27,253","32,457"
2021년06월_계_0~9세,"27,481",615,328,971,35,45,98,22,27,39,51,"2,121",223,17,133,23,55,"1,513",424,317,556,935,"1,310",699,"3,255","2,044",634,641,"2,322","2,371","5,657"
2021년06월_계_10~19세,"34,738",635,449,512,105,50,187,44,51,68,134,"2,713",408,53,189,41,99,"2,450",721,645,"1,014","1,551","2,405","1,026","3,997","3,385","1,098","1,244","2,988","2,566","3,910"
2021년06월_계_20~29세,"44,908",790,426,"1,085",133,122,204,70,59,104,205,"2,281",426,75,327,100,133,"4,276","1,430","1,061","1,783","2,879","3,732","1,532","3,325","4,077","1,592","1,528","2,343","5,406","3,404"
2021년06월_계_30~39세,"41,062",896,413,"1,667",124,120,173,65,75,60,148,"2,410",360,57,223,45,107,"2,691","1,131",806,"1,240","1,991","2,485","1,366","3,582","3,010","1,142","1,080","2,408","4,192","6,995"
2021년06월_계_40~49세,"53,685","1,023",646,"1,189",183,141,273,94,147,141,256,"3,709",635,102,425,90,202,"3,895","1,534","1,331","1,841","2,734","3,585","1,685","5,249","4,588","1,586","1,744","4,088","4,095","6,474"
2021년06월_계_50~59세,"56,970","1,382",685,"1,274",370,337,492,265,208,246,572,"3,348",868,288,727,178,390,"4,495","1,736","1,849","2,553","3,533","4,903","2,058","4,084","5,100","2,044","2,298","3,225","3,972","3,490"
2021년06월_계_60~69세,"47,925","1,440",568,"1,102",486,493,519,441,361,314,732,"2,574",850,378,"1,013",259,542,"4,180","1,890","2,428","2,584","3,265","3,725","1,932","1,999","3,028","1,971","1,982","2,271","2,823","1,775"
2021년06월_계_70~79세,"25,754",819,312,481,410,288,357,314,299,247,581,"1,214",542,324,563,154,340,"2,716","1,121","1,682","1,602","1,793","1,592",966,858,"1,373","1,046",998,980,"1,256",526
2021년06월_계_80~89세,"12,795",472,181,254,301,259,263,238,227,187,460,619,336,261,354,129,305,"1,254",491,728,676,673,647,351,358,746,511,396,428,502,188
2021년06월_계_90~99세,"1,809",86,28,47,58,41,27,33,28,37,71,75,57,35,51,24,34,167,78,93,89,70,86,45,46,119,69,59,50,70,36
2021년06월_계_100세 이상,77,2,2,4,1,2,2,0,0,1,3,3,0,1,3,2,1,7,6,13,1,1,4,1,6,2,2,4,1,0,2
