,서울특별시 성동구,서울특별시 성동구 왕십리제2동,서울특별시 성동구 왕십리도선동,서울특별시 성동구 마장동,서울특별시 성동구 사근동,서울특별시 성동구 행당제1동,서울특별시 성동구 행당제2동,서울특별시 성동구 응봉동,서울특별시 성동구 금호1가동,서울특별시 성동구 금호2.3가동,서울특별시 성동구 금호4가동,서울특별시 성동구 옥수동,서울특별시 성동구 성수1가제1동,서울특별시 성동구 성수1가제2동,서울특별시 성동구 성수2가제1동,서울특별시 성동구 성수2가제3동,서울특별시 성동구 송정동,서울특별시 성동구 용답동
2020년09월_계_총인구수,"295,591","17,188","27,270","22,940","11,948","14,243","24,184","15,809","15,813","23,559","14,813","26,783","16,640","13,622","16,762","11,264","10,805","11,948"
2020년09월_계_연령구간인구수,"295,591","17,188","27,270","22,940","11,948","14,243","24,184","15,809","15,813","23,559","14,813","26,783","16,640","13,622","16,762","11,264","10,805","11,948"
2020년09월_계_0~9세,"20,819","1,236","2,396","1,217",423,"1,012","1,851","1,204","1,346","1,777","1,419","2,649","1,051",786,869,581,549,453
2020년09월_계_10~19세,"20,350","1,220","1,636","1,683",855,"1,027","2,156","1,710","1,081","1,508",975,"1,679","1,167",935,913,542,622,641
2020년09월_계_20~29세,"45,320","2,531","4,432","4,422","4,571","2,261","3,040","1,742","1,834","2,978","1,519","3,049","2,555","2,166","2,379","2,051","1,708","2,082"
2020년09월_계_30~39세,"49,399","2,978","4,798","3,259","1,624","2,324","3,719","2,270","2,811","4,222","2,811","5,150","2,937","2,518","2,627","2,000","1,658","1,693"
2020년09월_계_40~49세,"45,564","2,657","4,049","3,088","1,153","2,201","4,156","2,959","2,601","3,769","2,610","4,481","2,452","2,130","2,375","1,496","1,599","1,788"
2020년09월_계_50~59세,"47,501","2,764","4,478","3,730","1,288","2,300","3,931","2,465","2,394","3,709","2,155","3,965","3,027","2,078","3,186","1,843","1,977","2,211"
2020년09월_계_60~69세,"36,213","2,083","3,015","2,984",944,"1,683","2,757","1,684","2,062","2,978","1,767","3,161","2,083","1,703","2,597","1,514","1,586","1,612"
2020년09월_계_70~79세,"20,619","1,200","1,637","1,746",744,969,"1,735","1,199","1,114","1,769","1,056","1,751",939,896,"1,249",830,761,"1,024"
2020년09월_계_80~89세,"8,383",437,698,698,296,388,716,498,498,720,441,735,376,352,484,354,291,401
2020년09월_계_90~99세,"1,179",62,108,96,39,70,101,70,60,101,51,135,45,44,69,43,46,39
2020년09월_계_100세 이상,244,20,23,17,11,8,22,8,12,28,9,28,8,14,14,10,8,4
2020년09월_남_총인구수,"144,444","8,369","13,004","11,324","6,120","6,868","11,364","7,485","7,564","11,232","7,096","12,481","8,316","6,704","8,765","5,706","5,709","6,337"
2020년09월_남_연령구간인구수,"144,444","8,369","13,004","11,324","6,120","6,868","11,364","7,485","7,564","11,232","7,096","12,481","8,316","6,704","8,765","5,706","5,709","6,337"
2020년09월_남_0~9세,"10,664",648,"1,210",621,223,516,914,608,675,926,732,"1,355",566,398,457,300,281,234
2020년09월_남_10~19세,"10,171",619,836,853,369,484,994,834,562,753,513,850,603,472,476,274,345,334
2020년09월_남_20~29세,"22,444","1,223","2,059","2,199","2,507","1,113","1,450",864,919,"1,510",770,"1,374","1,317","1,075","1,266",944,882,972
2020년09월_남_30~39세,"24,304","1,486","2,254","1,686",907,"1,143","1,768","1,108","1,308","2,040","1,315","2,301","1,468","1,228","1,410","1,046",908,928
2020년09월_남_40~49세,"22,832","1,330","2,018","1,558",591,"1,061","2,004","1,399","1,339","1,843","1,305","2,206","1,187","1,039","1,261",776,883,"1,032"
2020년09월_남_50~59세,"23,698","1,337","2,126","1,832",637,"1,106","1,921","1,200","1,149","1,757","1,046","1,851","1,537","1,077","1,734",999,"1,079","1,310"
2020년09월_남_60~69세,"17,623","1,002","1,504","1,468",432,841,"1,258",753,931,"1,365",792,"1,443","1,059",848,"1,378",812,854,883
2020년09월_남_70~79세,"9,176",528,724,803,323,431,753,511,478,755,454,767,419,430,576,395,351,478
2020년09월_남_80~89세,"3,140",173,240,273,115,149,269,188,181,245,151,293,139,120,193,139,114,158
2020년09월_남_90~99세,323,16,27,28,10,22,25,17,20,31,14,33,18,13,13,18,11,7
2020년09월_남_100세 이상,69,7,6,3,6,2,8,3,2,7,4,8,3,4,1,3,1,1
2020년09월_여_총인구수,"151,147","8,819","14,266","11,616","5,828","7,375","12,820","8,324","8,249","12,327","7,717","14,302","8,324","6,918","7,997","5,558","5,096","5,611"
2020년09월_여_연령구간인구수,"151,147","8,819","14,266","11,616","5,828","7,375","12,820","8,324","8,249","12,327","7,717","14,302","8,324","6,918","7,997","5,558","5,096","5,611"
2020년09월_여_0~9세,"10,155",588,"1,186",596,200,496,937,596,671,851,687,"1,294",485,388,412,281,268,219
2020년09월_여_10~19세,"10,179",601,800,830,486,543,"1,162",876,519,755,462,829,564,463,437,268,277,307
2020년09월_여_20~29세,"22,876","1,308","2,373","2,223","2,064","1,148","1,590",878,915,"1,468",749,"1,675","1,238","1,091","1,113","1,107",826,"1,110"
2020년09월_여_30~39세,"25,095","1,492","2,544","1,573",717,"1,181","1,951","1,162","1,503","2,182","1,496","2,849","1,469","1,290","1,217",954,750,765
2020년09월_여_40~49세,"22,732","1,327","2,031","1,530",562,"1,140","2,152","1,560","1,262","1,926","1,305","2,275","1,265","1,091","1,114",720,716,756
2020년09월_여_50~59세,"23,803","1,427","2,352","1,898",651,"1,194","2,010","1,265","1,245","1,952","1,109","2,114","1,490","1,001","1,452",844,898,901
2020년09월_여_60~69세,"18,590","1,081","1,511","1,516",512,842,"1,499",931,"1,131","1,613",975,"1,718","1,024",855,"1,219",702,732,729
2020년09월_여_70~79세,"11,443",672,913,943,421,538,982,688,636,"1,014",602,984,520,466,673,435,410,546
2020년09월_여_80~89세,"5,243",264,458,425,181,239,447,310,317,475,290,442,237,232,291,215,177,243
2020년09월_여_90~99세,856,46,81,68,29,48,76,53,40,70,37,102,27,31,56,25,35,32
2020년09월_여_100세 이상,175,13,17,14,5,6,14,5,10,21,5,20,5,10,13,7,7,3
