,경기도 용인시,경기도 용인시 처인구,경기도 용인시 처인구 포곡읍,경기도 용인시 처인구 모현읍,경기도 용인시 처인구 이동읍,경기도 용인시 처인구 남사읍,경기도 용인시 처인구 원삼면,경기도 용인시 처인구 백암면,경기도 용인시 처인구 양지면,경기도 용인시 처인구 중앙동,경기도 용인시 처인구 역삼동,경기도 용인시 처인구 유림동,경기도 용인시 처인구 동부동,경기도 용인시 기흥구,경기도 용인시 기흥구 신갈동,경기도 용인시 기흥구 영덕1동,경기도 용인시 기흥구 영덕2동,경기도 용인시 기흥구 구갈동,경기도 용인시 기흥구 상갈동,경기도 용인시 기흥구 보라동,경기도 용인시 기흥구 기흥동,경기도 용인시 기흥구 서농동,경기도 용인시 기흥구 구성동,경기도 용인시 기흥구 마북동,경기도 용인시 기흥구 동백1동,경기도 용인시 기흥구 동백2동,경기도 용인시 기흥구 동백3동,경기도 용인시 기흥구 상하동,경기도 용인시 기흥구 보정동,경기도 용인시 수지구,경기도 용인시 수지구 풍덕천1동,경기도 용인시 수지구 풍덕천2동,경기도 용인시 수지구 신봉동,경기도 용인시 수지구 죽전1동,경기도 용인시 수지구 죽전2동,경기도 용인시 수지구 동천동,경기도 용인시 수지구 상현1동,경기도 용인시 수지구 상현2동,경기도 용인시 수지구 성복동
2021년05월_계_총인구수,"1,077,701","260,398","33,516","26,741","20,322","23,718","8,227","8,787","20,112","24,897","44,689","36,326","13,063","439,953","38,517","30,563","17,585","41,917","13,358","33,524","21,680","26,201","39,228","32,304","33,002","27,333","23,443","24,915","36,383","377,350","36,593","41,403","37,911","56,751","18,432","49,638","48,535","33,752","54,335"
2021년05월_계_연령구간인구수,"1,077,701","260,398","33,516","26,741","20,322","23,718","8,227","8,787","20,112","24,897","44,689","36,326","13,063","439,953","38,517","30,563","17,585","41,917","13,358","33,524","21,680","26,201","39,228","32,304","33,002","27,333","23,443","24,915","36,383","377,350","36,593","41,403","37,911","56,751","18,432","49,638","48,535","33,752","54,335"
2021년05월_계_0~9세,"98,357","20,809","2,285","1,910","1,520","3,184",341,243,"1,238","1,550","4,753","3,121",664,"41,382","3,331","3,380","1,847","4,249",927,"2,918","1,813","3,080","3,212","2,604","3,326","2,592","2,910","1,915","3,278","36,166","2,687","4,596","3,393","4,835","1,475","5,683","4,707","3,260","5,530"
2021년05월_계_10~19세,"121,826","25,977","3,727","2,417","1,777","1,973",521,807,"2,699","2,202","4,415","4,321","1,118","50,433","3,545","3,563","1,235","3,325","1,254","4,330","2,178","2,540","4,770","3,062","5,675","4,657","2,987","2,789","4,523","45,416","3,628","5,700","5,289","6,958","1,564","5,388","6,130","4,214","6,545"
2021년05월_계_20~29세,"138,436","34,773","4,789","3,448","2,152","1,878",722,896,"2,474","4,444","7,191","4,938","1,841","56,978","5,046","3,819","2,477","6,628","1,960","4,035","2,578","5,251","4,379","4,108","3,607","3,250","2,214","3,425","4,201","46,685","5,394","4,947","4,080","7,972","2,794","5,543","6,306","3,841","5,808"
2021년05월_계_30~39세,"143,175","33,874","3,936","3,101","2,352","4,117",724,743,"2,431","3,215","7,341","4,506","1,408","58,113","6,109","4,569","3,186","7,671","1,892","3,802","2,769","4,496","4,094","4,031","3,331","2,336","3,015","2,757","4,055","51,188","6,225","6,132","3,960","6,910","3,205","7,761","6,695","4,149","6,151"
2021년05월_계_40~49세,"198,677","43,497","5,949","4,507","3,316","4,263","1,065",990,"3,128","3,854","7,713","6,766","1,946","82,880","6,558","5,940","2,726","7,063","2,346","6,426","3,862","4,474","7,612","5,342","7,803","6,168","4,925","4,364","7,271","72,300","5,995","8,860","7,840","10,671","3,026","9,596","9,305","6,474","10,533"
2021년05월_계_50~59세,"167,731","43,514","5,944","4,752","3,710","3,067","1,575","1,562","3,420","4,207","6,464","6,259","2,554","67,886","6,169","4,922","2,812","6,600","2,274","5,300","3,560","3,222","5,962","5,177","4,833","4,402","2,711","4,513","5,429","56,331","5,438","5,847","5,829","8,894","2,897","7,160","7,120","5,136","8,010"
2021년05월_계_60~69세,"110,211","32,964","3,881","3,783","3,083","2,999","1,763","1,863","2,780","3,142","3,988","3,589","2,093","42,517","4,114","2,666","1,765","3,705","1,347","3,439","2,758","1,921","4,359","3,794","2,203","2,074","2,060","2,805","3,507","34,730","3,759","2,523","3,484","5,340","1,836","4,803","4,191","3,111","5,683"
2021년05월_계_70~79세,"65,839","16,123","1,937","1,854","1,503","1,517",938,938,"1,199","1,471","1,917","1,864",985,"26,383","2,405","1,160",761,"1,874",894,"2,208","1,453",829,"3,209","2,797","1,492","1,217","1,728","1,574","2,782","23,333","2,297","1,743","2,793","3,361","1,044","2,588","2,769","2,427","4,311"
2021년05월_계_80~89세,"29,011","7,635",933,835,777,621,496,657,617,702,775,843,379,"11,604","1,100",455,612,678,421,921,613,345,"1,415","1,210",641,553,801,671,"1,168","9,772","1,030",946,"1,096","1,592",495,951,"1,135",998,"1,529"
2021년05월_계_90~99세,"4,289","1,188",134,132,126,96,80,86,117,103,126,116,72,"1,715",133,86,160,117,43,138,92,42,210,172,89,82,91,97,163,"1,386",132,108,145,210,94,159,170,140,228
2021년05월_계_100세 이상,149,44,1,2,6,3,2,2,9,7,6,3,3,62,7,3,4,7,0,7,4,1,6,7,2,2,1,5,6,43,8,1,2,8,2,6,7,2,7
2021년05월_남_총인구수,"534,842","133,761","17,355","13,982","10,387","11,969","4,274","4,818","10,886","12,590","22,399","18,330","6,771","217,184","19,195","15,182","8,726","20,902","6,910","16,609","10,765","13,464","18,979","15,762","15,855","13,415","11,374","12,184","17,862","183,897","18,272","20,339","18,402","27,359","9,123","24,453","23,385","16,392","26,172"
2021년05월_남_연령구간인구수,"534,842","133,761","17,355","13,982","10,387","11,969","4,274","4,818","10,886","12,590","22,399","18,330","6,771","217,184","19,195","15,182","8,726","20,902","6,910","16,609","10,765","13,464","18,979","15,762","15,855","13,415","11,374","12,184","17,862","183,897","18,272","20,339","18,402","27,359","9,123","24,453","23,385","16,392","26,172"
2021년05월_남_0~9세,"50,304","10,614","1,162","1,007",748,"1,600",168,138,658,782,"2,440","1,571",340,"21,259","1,685","1,707",945,"2,180",504,"1,516",926,"1,529","1,666","1,348","1,639","1,350","1,517","1,017","1,730","18,431","1,402","2,353","1,702","2,429",774,"2,960","2,324","1,666","2,821"
2021년05월_남_10~19세,"62,746","13,761","2,002","1,253",921,987,284,494,"1,606","1,118","2,244","2,232",620,"25,874","1,831","1,846",626,"1,702",622,"2,229","1,135","1,274","2,453","1,595","2,854","2,396","1,530","1,446","2,335","23,111","1,865","2,923","2,725","3,518",807,"2,770","3,091","2,176","3,236"
2021년05월_남_20~29세,"71,900","18,869","2,680","1,904","1,209",998,408,548,"1,418","2,324","3,694","2,663","1,023","29,644","2,519","1,993","1,320","3,268","1,053","2,080","1,376","3,099","2,286","2,111","1,822","1,683","1,095","1,769","2,170","23,387","2,778","2,448","2,103","3,934","1,429","2,791","3,043","1,934","2,927"
2021년05월_남_30~39세,"70,679","17,975","2,132","1,624","1,306","2,043",415,448,"1,389","1,769","3,745","2,304",800,"28,409","3,164","2,257","1,606","3,838","1,046","1,847","1,389","2,256","1,979","1,961","1,493","1,002","1,361","1,327","1,883","24,295","3,311","2,884","1,801","3,258","1,633","3,616","3,159","1,946","2,687"
2021년05월_남_40~49세,"98,009","22,937","3,103","2,434","1,805","2,320",583,606,"1,724","2,016","3,935","3,401","1,010","40,509","3,298","2,930","1,376","3,616","1,206","3,181","1,946","2,308","3,654","2,576","3,666","2,820","2,421","2,090","3,421","34,563","2,931","4,307","3,625","5,078","1,484","4,718","4,427","3,076","4,917"
2021년05월_남_50~59세,"85,253","22,460","3,143","2,557","1,936","1,539",833,875,"1,802","2,108","3,150","3,232","1,285","34,268","3,114","2,491","1,338","3,326","1,230","2,683","1,747","1,562","2,938","2,512","2,562","2,390","1,373","2,218","2,784","28,525","2,744","3,090","3,010","4,404","1,413","3,630","3,589","2,561","4,084"
2021년05월_남_60~69세,"52,818","16,636","1,948","1,960","1,513","1,463",909,"1,008","1,465","1,546","1,977","1,780","1,067","19,969","2,031","1,258",854,"1,805",663,"1,618","1,286",942,"1,924","1,777",950,964,898,"1,346","1,653","16,213","1,752","1,237","1,609","2,520",869,"2,304","1,938","1,419","2,565"
2021년05월_남_70~79세,"29,843","7,453",833,885,668,769,479,453,576,650,874,806,460,"11,820","1,055",533,375,874,392,"1,009",678,360,"1,386","1,261",595,554,766,693,"1,289","10,570","1,023",679,"1,253","1,463",484,"1,219","1,250","1,101","2,098"
2021년05월_남_80~89세,"12,127","2,785",328,335,257,227,178,228,217,252,307,311,145,"4,943",458,151,227,268,185,395,268,127,648,559,243,235,378,255,546,"4,399",425,387,532,688,198,408,524,470,767
2021년05월_남_90~99세,"1,137",262,24,23,23,22,17,20,30,22,31,30,20,477,39,15,58,24,9,49,13,7,44,60,31,20,34,23,51,398,40,31,42,67,32,36,39,43,68
2021년05월_남_100세 이상,26,9,0,0,1,1,0,0,1,3,2,0,1,12,1,1,1,1,0,2,1,0,1,2,0,1,1,0,0,5,1,0,0,0,0,1,1,0,2
2021년05월_여_총인구수,"542,859","126,637","16,161","12,759","9,935","11,749","3,953","3,969","9,226","12,307","22,290","17,996","6,292","222,769","19,322","15,381","8,859","21,015","6,448","16,915","10,915","12,737","20,249","16,542","17,147","13,918","12,069","12,731","18,521","193,453","18,321","21,064","19,509","29,392","9,309","25,185","25,150","17,360","28,163"
2021년05월_여_연령구간인구수,"542,859","126,637","16,161","12,759","9,935","11,749","3,953","3,969","9,226","12,307","22,290","17,996","6,292","222,769","19,322","15,381","8,859","21,015","6,448","16,915","10,915","12,737","20,249","16,542","17,147","13,918","12,069","12,731","18,521","193,453","18,321","21,064","19,509","29,392","9,309","25,185","25,150","17,360","28,163"
2021년05월_여_0~9세,"48,053","10,195","1,123",903,772,"1,584",173,105,580,768,"2,313","1,550",324,"20,123","1,646","1,673",902,"2,069",423,"1,402",887,"1,551","1,546","1,256","1,687","1,242","1,393",898,"1,548","17,735","1,285","2,243","1,691","2,406",701,"2,723","2,383","1,594","2,709"
2021년05월_여_10~19세,"59,080","12,216","1,725","1,164",856,986,237,313,"1,093","1,084","2,171","2,089",498,"24,559","1,714","1,717",609,"1,623",632,"2,101","1,043","1,266","2,317","1,467","2,821","2,261","1,457","1,343","2,188","22,305","1,763","2,777","2,564","3,440",757,"2,618","3,039","2,038","3,309"
2021년05월_여_20~29세,"66,536","15,904","2,109","1,544",943,880,314,348,"1,056","2,120","3,497","2,275",818,"27,334","2,527","1,826","1,157","3,360",907,"1,955","1,202","2,152","2,093","1,997","1,785","1,567","1,119","1,656","2,031","23,298","2,616","2,499","1,977","4,038","1,365","2,752","3,263","1,907","2,881"
2021년05월_여_30~39세,"72,496","15,899","1,804","1,477","1,046","2,074",309,295,"1,042","1,446","3,596","2,202",608,"29,704","2,945","2,312","1,580","3,833",846,"1,955","1,380","2,240","2,115","2,070","1,838","1,334","1,654","1,430","2,172","26,893","2,914","3,248","2,159","3,652","1,572","4,145","3,536","2,203","3,464"
2021년05월_여_40~49세,"100,668","20,560","2,846","2,073","1,511","1,943",482,384,"1,404","1,838","3,778","3,365",936,"42,371","3,260","3,010","1,350","3,447","1,140","3,245","1,916","2,166","3,958","2,766","4,137","3,348","2,504","2,274","3,850","37,737","3,064","4,553","4,215","5,593","1,542","4,878","4,878","3,398","5,616"
2021년05월_여_50~59세,"82,478","21,054","2,801","2,195","1,774","1,528",742,687,"1,618","2,099","3,314","3,027","1,269","33,618","3,055","2,431","1,474","3,274","1,044","2,617","1,813","1,660","3,024","2,665","2,271","2,012","1,338","2,295","2,645","27,806","2,694","2,757","2,819","4,490","1,484","3,530","3,531","2,575","3,926"
2021년05월_여_60~69세,"57,393","16,328","1,933","1,823","1,570","1,536",854,855,"1,315","1,596","2,011","1,809","1,026","22,548","2,083","1,408",911,"1,900",684,"1,821","1,472",979,"2,435","2,017","1,253","1,110","1,162","1,459","1,854","18,517","2,007","1,286","1,875","2,820",967,"2,499","2,253","1,692","3,118"
2021년05월_여_70~79세,"35,996","8,670","1,104",969,835,748,459,485,623,821,"1,043","1,058",525,"14,563","1,350",627,386,"1,000",502,"1,199",775,469,"1,823","1,536",897,663,962,881,"1,493","12,763","1,274","1,064","1,540","1,898",560,"1,369","1,519","1,326","2,213"
2021년05월_여_80~89세,"16,884","4,850",605,500,520,394,318,429,400,450,468,532,234,"6,661",642,304,385,410,236,526,345,218,767,651,398,318,423,416,622,"5,373",605,559,564,904,297,543,611,528,762
2021년05월_여_90~99세,"3,152",926,110,109,103,74,63,66,87,81,95,86,52,"1,238",94,71,102,93,34,89,79,35,166,112,58,62,57,74,112,988,92,77,103,143,62,123,131,97,160
2021년05월_여_100세 이상,123,35,1,2,5,2,2,2,8,4,4,3,2,50,6,2,3,6,0,5,3,1,5,5,2,1,0,5,6,38,7,1,2,8,2,5,6,2,5
