카테고리,전라남도 곡성군,전라남도 곡성군 곡성읍,전라남도 곡성군 오곡면,전라남도 곡성군 삼기면,전라남도 곡성군 석곡면,전라남도 곡성군 목사동면,전라남도 곡성군 죽곡면,전라남도 곡성군 고달면,전라남도 곡성군 옥과면,전라남도 곡성군 입면,전라남도 곡성군 겸면,전라남도 곡성군 오산면
2021년09월_계_총인구수,"27,655","7,782","1,869","1,660","2,302","1,316","1,893","1,163","4,148","2,426","1,673","1,423"
2021년09월_계_연령구간인구수,"27,655","7,782","1,869","1,660","2,302","1,316","1,893","1,163","4,148","2,426","1,673","1,423"
2021년09월_계_0~9세,"1,010",449,53,29,65,20,41,28,191,63,37,34
2021년09월_계_10~19세,"1,882",635,126,81,117,37,85,47,423,194,83,54
2021년09월_계_20~29세,"2,196",731,109,97,138,63,129,80,443,202,95,109
2021년09월_계_30~39세,"1,634",626,95,62,99,62,84,48,311,96,86,65
2021년09월_계_40~49세,"2,909","1,028",165,142,197,92,147,79,501,301,148,109
2021년09월_계_50~59세,"4,803","1,289",297,276,423,235,343,197,723,460,293,267
2021년09월_계_60~69세,"5,222","1,297",399,358,442,286,411,236,684,415,335,359
2021년09월_계_70~79세,"4,135",954,321,298,381,254,352,229,485,337,305,219
2021년09월_계_80~89세,"3,272",656,271,260,375,233,244,192,322,304,243,172
2021년09월_계_90~99세,575,111,32,57,63,31,56,27,64,54,47,33
2021년09월_계_100세 이상,17,6,1,0,2,3,1,0,1,0,1,2
2021년09월_남_총인구수,"13,578","3,764",919,812,"1,085",642,921,584,"2,077","1,224",823,727
2021년09월_남_연령구간인구수,"13,578","3,764",919,812,"1,085",642,921,584,"2,077","1,224",823,727
2021년09월_남_0~9세,521,222,25,13,40,15,26,19,90,29,20,22
2021년09월_남_10~19세,"1,017",341,67,46,67,14,48,21,234,109,43,27
2021년09월_남_20~29세,"1,217",389,65,63,79,36,70,51,233,114,51,66
2021년09월_남_30~39세,857,301,56,37,50,42,43,27,167,56,46,32
2021년09월_남_40~49세,"1,618",536,96,93,100,58,77,55,264,173,103,63
2021년09월_남_50~59세,"2,679",696,170,145,236,134,185,118,397,278,167,153
2021년09월_남_60~69세,"2,743",626,219,200,225,152,220,133,354,227,185,202
2021년09월_남_70~79세,"1,790",422,123,124,168,109,171,94,218,138,120,103
2021년09월_남_80~89세,"1,027",212,91,81,108,77,72,61,103,92,78,52
2021년09월_남_90~99세,106,18,7,10,11,5,9,5,17,8,9,7
2021년09월_남_100세 이상,3,1,0,0,1,0,0,0,0,0,1,0
2021년09월_여_총인구수,"14,077","4,018",950,848,"1,217",674,972,579,"2,071","1,202",850,696
2021년09월_여_연령구간인구수,"14,077","4,018",950,848,"1,217",674,972,579,"2,071","1,202",850,696
2021년09월_여_0~9세,489,227,28,16,25,5,15,9,101,34,17,12
2021년09월_여_10~19세,865,294,59,35,50,23,37,26,189,85,40,27
2021년09월_여_20~29세,979,342,44,34,59,27,59,29,210,88,44,43
2021년09월_여_30~39세,777,325,39,25,49,20,41,21,144,40,40,33
2021년09월_여_40~49세,"1,291",492,69,49,97,34,70,24,237,128,45,46
2021년09월_여_50~59세,"2,124",593,127,131,187,101,158,79,326,182,126,114
2021년09월_여_60~69세,"2,479",671,180,158,217,134,191,103,330,188,150,157
2021년09월_여_70~79세,"2,345",532,198,174,213,145,181,135,267,199,185,116
2021년09월_여_80~89세,"2,245",444,180,179,267,156,172,131,219,212,165,120
2021년09월_여_90~99세,469,93,25,47,52,26,47,22,47,46,38,26
2021년09월_여_100세 이상,14,5,1,0,1,3,1,0,1,0,0,2
