카테고리,전라남도 영암군,전라남도 영암군 영암읍,전라남도 영암군 삼호읍,전라남도 영암군 삼호읍서부출장소,전라남도 영암군 덕진면,전라남도 영암군 금정면,전라남도 영암군 신북면,전라남도 영암군 시종면,전라남도 영암군 도포면,전라남도 영암군 군서면,전라남도 영암군 서호면,전라남도 영암군 학산면,전라남도 영암군 미암면
2021년11월_계_총인구수,"52,964","8,025","15,094","6,417","1,819","2,034","3,658","3,441","2,232","3,161","1,878","2,990","2,215"
2021년11월_계_연령구간인구수,"52,964","8,025","15,094","6,417","1,819","2,034","3,658","3,441","2,232","3,161","1,878","2,990","2,215"
2021년11월_계_0~9세,"3,192",523,"1,446",489,65,44,90,106,61,102,62,137,67
2021년11월_계_10~19세,"4,302",776,"1,801",654,87,59,190,116,99,162,83,181,94
2021년11월_계_20~29세,"4,901",823,"1,635",902,100,111,245,210,174,218,103,249,131
2021년11월_계_30~39세,"4,432",651,"1,770",766,112,87,196,181,121,163,98,149,138
2021년11월_계_40~49세,"7,207","1,014","2,900","1,240",157,163,355,297,187,281,139,276,198
2021년11월_계_50~59세,"9,444","1,397","2,590","1,429",322,391,642,570,409,521,296,503,374
2021년11월_계_60~69세,"8,560","1,297","1,662",562,343,465,827,805,465,634,394,613,493
2021년11월_계_70~79세,"6,143",913,854,237,304,376,635,624,388,592,364,473,383
2021년11월_계_80~89세,"4,188",523,399,115,289,291,431,464,302,425,296,350,303
2021년11월_계_90~99세,583,106,37,23,40,45,47,66,25,61,42,58,33
2021년11월_계_100세 이상,12,2,0,0,0,2,0,2,1,2,1,1,1
2021년11월_남_총인구수,"27,488","3,970","8,090","3,761",908,"1,024","1,835","1,745","1,147","1,530",909,"1,453","1,116"
2021년11월_남_연령구간인구수,"27,488","3,970","8,090","3,761",908,"1,024","1,835","1,745","1,147","1,530",909,"1,453","1,116"
2021년11월_남_0~9세,"1,632",276,703,251,38,18,43,61,44,63,26,76,33
2021년11월_남_10~19세,"2,271",410,941,344,45,37,102,65,64,89,48,80,46
2021년11월_남_20~29세,"2,883",459,908,568,62,71,169,138,106,130,60,134,78
2021년11월_남_30~39세,"2,405",325,888,460,75,45,115,111,79,89,57,76,85
2021년11월_남_40~49세,"4,311",534,"1,736",778,97,94,205,199,118,163,89,164,134
2021년11월_남_50~59세,"5,416",721,"1,505",884,200,234,346,350,230,298,170,273,205
2021년11월_남_60~69세,"4,492",663,892,337,167,272,431,403,243,323,205,307,249
2021년11월_남_70~79세,"2,653",396,388,103,131,164,268,273,168,239,149,208,166
2021년11월_남_80~89세,"1,308",161,124,32,85,80,146,134,90,125,98,120,113
2021년11월_남_90~99세,116,25,5,4,8,9,10,11,5,10,7,15,7
2021년11월_남_100세 이상,1,0,0,0,0,0,0,0,0,1,0,0,0
2021년11월_여_총인구수,"25,476","4,055","7,004","2,656",911,"1,010","1,823","1,696","1,085","1,631",969,"1,537","1,099"
2021년11월_여_연령구간인구수,"25,476","4,055","7,004","2,656",911,"1,010","1,823","1,696","1,085","1,631",969,"1,537","1,099"
2021년11월_여_0~9세,"1,560",247,743,238,27,26,47,45,17,39,36,61,34
2021년11월_여_10~19세,"2,031",366,860,310,42,22,88,51,35,73,35,101,48
2021년11월_여_20~29세,"2,018",364,727,334,38,40,76,72,68,88,43,115,53
2021년11월_여_30~39세,"2,027",326,882,306,37,42,81,70,42,74,41,73,53
2021년11월_여_40~49세,"2,896",480,"1,164",462,60,69,150,98,69,118,50,112,64
2021년11월_여_50~59세,"4,028",676,"1,085",545,122,157,296,220,179,223,126,230,169
2021년11월_여_60~69세,"4,068",634,770,225,176,193,396,402,222,311,189,306,244
2021년11월_여_70~79세,"3,490",517,466,134,173,212,367,351,220,353,215,265,217
2021년11월_여_80~89세,"2,880",362,275,83,204,211,285,330,212,300,198,230,190
2021년11월_여_90~99세,467,81,32,19,32,36,37,55,20,51,35,43,26
2021년11월_여_100세 이상,11,2,0,0,0,2,0,2,1,1,1,1,1
