,전라남도 장성군,전라남도 장성군 장성읍,전라남도 장성군 진원면,전라남도 장성군 남면,전라남도 장성군 동화면,전라남도 장성군 삼서면,전라남도 장성군 삼계면,전라남도 장성군 황룡면,전라남도 장성군 서삼면,전라남도 장성군 북일면,전라남도 장성군 북이면,전라남도 장성군 북하면
2020년05월_계_총인구수,"45,222","13,654","3,654","3,749","1,879","3,568","6,403","4,174","1,559","1,421","2,905","2,256"
2020년05월_계_연령구간인구수,"45,222","13,654","3,654","3,749","1,879","3,568","6,403","4,174","1,559","1,421","2,905","2,256"
2020년05월_계_0~9세,"2,941","1,050",302,170,51,152,775,201,59,34,79,68
2020년05월_계_10~19세,"3,343","1,202",296,185,76,189,678,275,99,66,184,93
2020년05월_계_20~29세,"4,576","1,343",321,380,158,585,770,426,136,114,196,147
2020년05월_계_30~39세,"3,846","1,248",277,332,133,210,863,284,108,85,147,159
2020년05월_계_40~49세,"5,753","1,972",482,421,188,393,961,548,180,110,284,214
2020년05월_계_50~59세,"7,595","2,204",608,716,384,585,849,790,272,249,502,436
2020년05월_계_60~69세,"7,034","1,956",595,668,357,588,608,730,285,272,508,467
2020년05월_계_70~79세,"5,953","1,640",448,516,277,484,550,541,251,293,553,400
2020년05월_계_80~89세,"3,661",914,282,314,221,350,310,321,142,175,411,221
2020년05월_계_90~99세,478,112,37,45,33,31,39,54,24,22,39,42
2020년05월_계_100세 이상,42,13,6,2,1,1,0,4,3,1,2,9
2020년05월_남_총인구수,"23,265","6,779","1,841","1,998",997,"2,040","3,345","2,106",822,711,"1,460","1,166"
2020년05월_남_연령구간인구수,"23,265","6,779","1,841","1,998",997,"2,040","3,345","2,106",822,711,"1,460","1,166"
2020년05월_남_0~9세,"1,480",540,159,85,23,77,377,96,29,14,44,36
2020년05월_남_10~19세,"1,771",623,161,102,42,100,352,136,56,40,106,53
2020년05월_남_20~29세,"2,774",728,170,220,102,510,475,244,73,67,109,76
2020년05월_남_30~39세,"2,044",625,127,203,83,115,466,148,69,45,77,86
2020년05월_남_40~49세,"3,328","1,081",265,273,121,255,540,324,112,62,169,126
2020년05월_남_50~59세,"4,314","1,212",361,401,224,334,492,450,157,142,287,254
2020년05월_남_60~69세,"3,649",948,289,368,205,304,319,378,158,142,277,261
2020년05월_남_70~79세,"2,607",719,206,229,114,215,215,232,116,126,242,193
2020년05월_남_80~89세,"1,180",281,92,103,73,122,98,85,45,67,141,73
2020년05월_남_90~99세,113,21,10,14,10,8,11,13,5,6,8,7
2020년05월_남_100세 이상,5,1,1,0,0,0,0,0,2,0,0,1
2020년05월_여_총인구수,"21,957","6,875","1,813","1,751",882,"1,528","3,058","2,068",737,710,"1,445","1,090"
2020년05월_여_연령구간인구수,"21,957","6,875","1,813","1,751",882,"1,528","3,058","2,068",737,710,"1,445","1,090"
2020년05월_여_0~9세,"1,461",510,143,85,28,75,398,105,30,20,35,32
2020년05월_여_10~19세,"1,572",579,135,83,34,89,326,139,43,26,78,40
2020년05월_여_20~29세,"1,802",615,151,160,56,75,295,182,63,47,87,71
2020년05월_여_30~39세,"1,802",623,150,129,50,95,397,136,39,40,70,73
2020년05월_여_40~49세,"2,425",891,217,148,67,138,421,224,68,48,115,88
2020년05월_여_50~59세,"3,281",992,247,315,160,251,357,340,115,107,215,182
2020년05월_여_60~69세,"3,385","1,008",306,300,152,284,289,352,127,130,231,206
2020년05월_여_70~79세,"3,346",921,242,287,163,269,335,309,135,167,311,207
2020년05월_여_80~89세,"2,481",633,190,211,148,228,212,236,97,108,270,148
2020년05월_여_90~99세,365,91,27,31,23,23,28,41,19,16,31,35
2020년05월_여_100세 이상,37,12,5,2,1,1,0,4,1,1,2,8
