,강원도 태백시,강원도 태백시 황지동,강원도 태백시 황연동,강원도 태백시 삼수동,강원도 태백시 상장동,강원도 태백시 문곡소도동,강원도 태백시 장성동,강원도 태백시 구문소동,강원도 태백시 철암동
2021년06월_계_총인구수,"41,419","6,187","4,303","5,804","13,291","3,837","3,430","2,565","2,002"
2021년06월_계_연령구간인구수,"41,419","6,187","4,303","5,804","13,291","3,837","3,430","2,565","2,002"
2021년06월_계_0~9세,"2,412",449,177,358,"1,054",144,127,65,38
2021년06월_계_10~19세,"3,736",559,304,499,"1,576",263,243,211,81
2021년06월_계_20~29세,"3,561",593,335,405,"1,394",270,285,151,128
2021년06월_계_30~39세,"3,517",573,266,486,"1,409",277,242,142,122
2021년06월_계_40~49세,"6,164",895,585,872,"2,529",478,357,265,183
2021년06월_계_50~59세,"7,085","1,080",758,907,"2,175",710,700,401,354
2021년06월_계_60~69세,"7,724","1,120","1,016","1,078","1,775",916,728,617,474
2021년06월_계_70~79세,"4,798",635,596,781,944,531,458,467,386
2021년06월_계_80~89세,"2,144",251,233,364,384,216,254,228,214
2021년06월_계_90~99세,256,30,33,47,49,27,30,18,22
2021년06월_계_100세 이상,22,2,0,7,2,5,6,0,0
2021년06월_남_총인구수,"21,006","3,098","2,188","2,967","6,736","1,934","1,693","1,348","1,042"
2021년06월_남_연령구간인구수,"21,006","3,098","2,188","2,967","6,736","1,934","1,693","1,348","1,042"
2021년06월_남_0~9세,"1,277",240,88,198,551,74,65,40,21
2021년06월_남_10~19세,"1,945",294,162,257,815,114,112,148,43
2021년06월_남_20~29세,"2,066",359,200,244,798,149,158,84,74
2021년06월_남_30~39세,"1,865",307,147,251,712,150,142,77,79
2021년06월_남_40~49세,"3,280",464,325,498,"1,275",266,194,156,102
2021년06월_남_50~59세,"3,812",533,415,520,"1,158",376,363,243,204
2021년06월_남_60~69세,"3,810",534,517,503,858,463,376,312,247
2021년06월_남_70~79세,"2,117",275,242,344,430,238,199,207,182
2021년06월_남_80~89세,772,85,87,135,131,96,78,77,83
2021년06월_남_90~99세,53,6,5,14,7,6,4,4,7
2021년06월_남_100세 이상,9,1,0,3,1,2,2,0,0
2021년06월_여_총인구수,"20,413","3,089","2,115","2,837","6,555","1,903","1,737","1,217",960
2021년06월_여_연령구간인구수,"20,413","3,089","2,115","2,837","6,555","1,903","1,737","1,217",960
2021년06월_여_0~9세,"1,135",209,89,160,503,70,62,25,17
2021년06월_여_10~19세,"1,791",265,142,242,761,149,131,63,38
2021년06월_여_20~29세,"1,495",234,135,161,596,121,127,67,54
2021년06월_여_30~39세,"1,652",266,119,235,697,127,100,65,43
2021년06월_여_40~49세,"2,884",431,260,374,"1,254",212,163,109,81
2021년06월_여_50~59세,"3,273",547,343,387,"1,017",334,337,158,150
2021년06월_여_60~69세,"3,914",586,499,575,917,453,352,305,227
2021년06월_여_70~79세,"2,681",360,354,437,514,293,259,260,204
2021년06월_여_80~89세,"1,372",166,146,229,253,120,176,151,131
2021년06월_여_90~99세,203,24,28,33,42,21,26,14,15
2021년06월_여_100세 이상,13,1,0,4,1,3,4,0,0
