,충청남도 보령시,충청남도 보령시 웅천읍,충청남도 보령시 주포면,충청남도 보령시 오천면,충청남도 보령시 오천면어항출장소,충청남도 보령시 오천면원산도출장소,충청남도 보령시 천북면,충청남도 보령시 청소면,충청남도 보령시 청라면,충청남도 보령시 남포면,충청남도 보령시 주산면,충청남도 보령시 미산면,충청남도 보령시 성주면,충청남도 보령시 주교면,충청남도 보령시 대천1동,충청남도 보령시 대천2동,충청남도 보령시 대천3동,충청남도 보령시 대천4동,충청남도 보령시 대천5동
2020년04월_계_총인구수,"100,646","6,382","1,633","2,213","1,653","1,145","3,632","2,672","3,966","5,177","2,483","1,787","2,314","5,381","14,763","7,026","16,797","15,029","6,593"
2020년04월_계_연령구간인구수,"100,646","6,382","1,633","2,213","1,653","1,145","3,632","2,672","3,966","5,177","2,483","1,787","2,314","5,381","14,763","7,026","16,797","15,029","6,593"
2020년04월_계_0~9세,"6,414",157,46,50,61,31,129,74,135,146,59,53,79,197,"1,154",529,"1,754","1,482",278
2020년04월_계_10~19세,"8,478",349,95,127,99,70,191,114,224,266,98,62,122,363,"1,544",639,"1,998","1,707",410
2020년04월_계_20~29세,"9,660",464,172,134,141,67,237,151,272,393,118,108,170,486,"1,715",783,"1,990","1,715",544
2020년04월_계_30~39세,"9,786",384,89,134,134,65,233,153,229,312,118,87,169,419,"1,627",773,"2,424","1,845",591
2020년04월_계_40~49세,"14,177",647,181,264,223,118,376,228,383,491,213,149,253,718,"2,370","1,143","3,002","2,630",788
2020년04월_계_50~59세,"17,430","1,167",280,426,330,225,630,420,704,995,368,280,473,"1,010","2,533","1,178","2,620","2,477","1,314"
2020년04월_계_60~69세,"16,461","1,467",372,484,348,250,796,583,862,"1,113",543,410,499,"1,010","2,015",953,"1,694","1,704","1,358"
2020년04월_계_70~79세,"11,081","1,041",247,345,178,178,578,522,662,830,530,370,363,720,"1,199",649,863,954,852
2020년04월_계_80~89세,"6,226",601,127,210,124,123,415,372,441,523,374,229,160,399,539,343,404,443,399
2020년04월_계_90~99세,876,102,24,39,14,17,46,55,50,101,60,38,21,57,58,32,44,62,56
2020년04월_계_100세 이상,57,3,0,0,1,1,1,0,4,7,2,1,5,2,9,4,4,10,3
2020년04월_남_총인구수,"50,931","3,246",853,"1,162",889,613,"1,875","1,320","2,000","2,614","1,212",922,"1,153","2,812","7,434","3,523","8,418","7,450","3,435"
2020년04월_남_연령구간인구수,"50,931","3,246",853,"1,162",889,613,"1,875","1,320","2,000","2,614","1,212",922,"1,153","2,812","7,434","3,523","8,418","7,450","3,435"
2020년04월_남_0~9세,"3,231",77,20,19,34,14,62,44,72,79,42,29,46,101,596,251,873,740,132
2020년04월_남_10~19세,"4,385",182,45,64,54,43,106,69,115,131,48,36,66,186,774,329,"1,030",895,212
2020년04월_남_20~29세,"5,619",293,127,75,89,39,142,86,156,231,73,65,94,304,995,441,"1,125",945,339
2020년04월_남_30~39세,"5,299",235,48,84,76,45,145,92,138,179,67,51,93,254,874,419,"1,216",927,356
2020년04월_남_40~49세,"7,774",381,114,170,145,81,220,134,234,278,129,109,155,432,"1,214",596,"1,557","1,323",502
2020년04월_남_50~59세,"9,258",639,158,267,187,138,355,239,376,561,199,150,265,551,"1,272",625,"1,312","1,267",697
2020년04월_남_60~69세,"8,038",734,193,234,178,127,404,288,439,577,268,218,226,488,959,447,804,798,656
2020년04월_남_70~79세,"4,935",475,108,164,82,81,288,233,304,371,232,173,152,345,533,273,361,394,366
2020년04월_남_80~89세,"2,189",203,36,76,41,42,147,123,157,181,135,83,51,141,199,135,131,146,162
2020년04월_남_90~99세,192,25,4,9,3,3,6,12,9,25,18,8,5,10,16,6,8,12,13
2020년04월_남_100세 이상,11,2,0,0,0,0,0,0,0,1,1,0,0,0,2,1,1,3,0
2020년04월_여_총인구수,"49,715","3,136",780,"1,051",764,532,"1,757","1,352","1,966","2,563","1,271",865,"1,161","2,569","7,329","3,503","8,379","7,579","3,158"
2020년04월_여_연령구간인구수,"49,715","3,136",780,"1,051",764,532,"1,757","1,352","1,966","2,563","1,271",865,"1,161","2,569","7,329","3,503","8,379","7,579","3,158"
2020년04월_여_0~9세,"3,183",80,26,31,27,17,67,30,63,67,17,24,33,96,558,278,881,742,146
2020년04월_여_10~19세,"4,093",167,50,63,45,27,85,45,109,135,50,26,56,177,770,310,968,812,198
2020년04월_여_20~29세,"4,041",171,45,59,52,28,95,65,116,162,45,43,76,182,720,342,865,770,205
2020년04월_여_30~39세,"4,487",149,41,50,58,20,88,61,91,133,51,36,76,165,753,354,"1,208",918,235
2020년04월_여_40~49세,"6,403",266,67,94,78,37,156,94,149,213,84,40,98,286,"1,156",547,"1,445","1,307",286
2020년04월_여_50~59세,"8,172",528,122,159,143,87,275,181,328,434,169,130,208,459,"1,261",553,"1,308","1,210",617
2020년04월_여_60~69세,"8,423",733,179,250,170,123,392,295,423,536,275,192,273,522,"1,056",506,890,906,702
2020년04월_여_70~79세,"6,146",566,139,181,96,97,290,289,358,459,298,197,211,375,666,376,502,560,486
2020년04월_여_80~89세,"4,037",398,91,134,83,81,268,249,284,342,239,146,109,258,340,208,273,297,237
2020년04월_여_90~99세,684,77,20,30,11,14,40,43,41,76,42,30,16,47,42,26,36,50,43
2020년04월_여_100세 이상,46,1,0,0,1,1,1,0,4,6,1,1,5,2,7,3,3,7,3
