카테고리,경기도 안성시,경기도 안성시 공도읍,경기도 안성시 보개면,경기도 안성시 금광면,경기도 안성시 서운면,경기도 안성시 미양면,경기도 안성시 대덕면,경기도 안성시 양성면,경기도 안성시 원곡면,경기도 안성시 일죽면,경기도 안성시 죽산면,경기도 안성시 삼죽면,경기도 안성시 고삼면,경기도 안성시 안성1동,경기도 안성시 안성2동,경기도 안성시 안성3동
2021년11월_계_총인구수,"189,559","60,180","5,362","7,337","3,314","5,887","15,443","5,255","6,506","7,540","6,990","3,666","1,940","12,377","25,276","22,486"
2021년11월_계_연령구간인구수,"189,559","60,180","5,362","7,337","3,314","5,887","15,443","5,255","6,506","7,540","6,990","3,666","1,940","12,377","25,276","22,486"
2021년11월_계_0~9세,"13,193","5,558",164,358,79,192,"1,251",134,374,263,218,72,46,670,"2,066","1,748"
2021년11월_계_10~19세,"17,836","7,522",291,607,138,264,"1,085",264,382,432,461,239,80,"1,006","2,595","2,470"
2021년11월_계_20~29세,"23,178","7,065",496,728,278,553,"2,134",441,777,656,702,462,194,"1,570","3,858","3,264"
2021년11월_계_30~39세,"22,770","8,195",405,610,232,531,"2,472",377,952,590,519,268,136,"1,319","3,504","2,660"
2021년11월_계_40~49세,"30,121","12,031",523,967,338,720,"2,634",544,928,809,755,332,174,"1,681","4,189","3,496"
2021년11월_계_50~59세,"31,942","9,261","1,002","1,334",652,"1,092","2,373","1,016","1,223","1,315","1,403",670,370,"2,219","4,045","3,967"
2021년11월_계_60~69세,"27,686","5,940","1,258","1,496",786,"1,304","2,054","1,272","1,082","1,810","1,547",811,495,"2,078","2,979","2,774"
2021년11월_계_70~79세,"13,832","2,980",693,693,443,703,903,643,493,981,806,472,243,"1,112","1,326","1,341"
2021년11월_계_80~89세,"7,854","1,434",455,472,325,459,472,455,252,584,521,306,170,624,638,687
2021년11월_계_90~99세,"1,114",187,73,70,42,66,64,104,43,95,56,33,30,97,76,78
2021년11월_계_100세 이상,33,7,2,2,1,3,1,5,0,5,2,1,2,1,0,1
2021년11월_남_총인구수,"97,874","30,374","2,839","3,657","1,757","3,228","8,675","2,739","3,658","3,952","3,732","1,889","1,012","6,200","12,853","11,309"
2021년11월_남_연령구간인구수,"97,874","30,374","2,839","3,657","1,757","3,228","8,675","2,739","3,658","3,952","3,732","1,889","1,012","6,200","12,853","11,309"
2021년11월_남_0~9세,"6,808","2,842",88,192,45,96,679,73,212,135,110,33,23,321,"1,074",885
2021년11월_남_10~19세,"9,254","3,872",173,304,74,145,561,127,213,236,242,104,44,506,"1,352","1,301"
2021년11월_남_20~29세,"12,845","3,811",293,406,172,349,"1,227",252,472,372,391,239,114,860,"2,076","1,811"
2021년11월_남_30~39세,"12,471","4,242",246,319,139,342,"1,489",217,584,353,330,172,82,708,"1,859","1,389"
2021년11월_남_40~49세,"16,118","6,134",307,506,206,438,"1,593",322,571,489,442,206,103,886,"2,183","1,732"
2021년11월_남_50~59세,"16,940","4,819",550,704,371,606,"1,385",575,665,715,810,363,196,"1,143","2,053","1,985"
2021년11월_남_60~69세,"14,017","2,816",687,749,409,730,"1,091",688,592,921,830,425,257,"1,013","1,456","1,353"
2021년11월_남_70~79세,"6,362","1,317",321,290,212,339,449,305,247,493,369,227,120,501,579,593
2021년11월_남_80~89세,"2,819",482,161,173,117,168,190,159,86,218,194,115,69,243,202,242
2021년11월_남_90~99세,235,37,13,13,12,14,11,21,16,19,14,5,4,19,19,18
2021년11월_남_100세 이상,5,2,0,1,0,1,0,0,0,1,0,0,0,0,0,0
2021년11월_여_총인구수,"91,685","29,806","2,523","3,680","1,557","2,659","6,768","2,516","2,848","3,588","3,258","1,777",928,"6,177","12,423","11,177"
2021년11월_여_연령구간인구수,"91,685","29,806","2,523","3,680","1,557","2,659","6,768","2,516","2,848","3,588","3,258","1,777",928,"6,177","12,423","11,177"
2021년11월_여_0~9세,"6,385","2,716",76,166,34,96,572,61,162,128,108,39,23,349,992,863
2021년11월_여_10~19세,"8,582","3,650",118,303,64,119,524,137,169,196,219,135,36,500,"1,243","1,169"
2021년11월_여_20~29세,"10,333","3,254",203,322,106,204,907,189,305,284,311,223,80,710,"1,782","1,453"
2021년11월_여_30~39세,"10,299","3,953",159,291,93,189,983,160,368,237,189,96,54,611,"1,645","1,271"
2021년11월_여_40~49세,"14,003","5,897",216,461,132,282,"1,041",222,357,320,313,126,71,795,"2,006","1,764"
2021년11월_여_50~59세,"15,002","4,442",452,630,281,486,988,441,558,600,593,307,174,"1,076","1,992","1,982"
2021년11월_여_60~69세,"13,669","3,124",571,747,377,574,963,584,490,889,717,386,238,"1,065","1,523","1,421"
2021년11월_여_70~79세,"7,470","1,663",372,403,231,364,454,338,246,488,437,245,123,611,747,748
2021년11월_여_80~89세,"5,035",952,294,299,208,291,282,296,166,366,327,191,101,381,436,445
2021년11월_여_90~99세,879,150,60,57,30,52,53,83,27,76,42,28,26,78,57,60
2021년11월_여_100세 이상,28,5,2,1,1,2,1,5,0,4,2,1,2,1,0,1
