,전라남도 목포시,전라남도 목포시 용당1동,전라남도 목포시 용당2동,전라남도 목포시 연동,전라남도 목포시 산정동,전라남도 목포시 연산동,전라남도 목포시 원산동,전라남도 목포시 대성동,전라남도 목포시 목원동,전라남도 목포시 동명동,전라남도 목포시 삼학동,전라남도 목포시 만호동,전라남도 목포시 유달동,전라남도 목포시 죽교동,전라남도 목포시 북항동,전라남도 목포시 용해동,전라남도 목포시 이로동,전라남도 목포시 상동,전라남도 목포시 하당동,전라남도 목포시 신흥동,전라남도 목포시 삼향동,전라남도 목포시 옥암동,전라남도 목포시 부흥동,전라남도 목포시 부주동
2020년04월_계_총인구수,"228,916","11,226","5,462","4,926","9,007","9,976","13,856","5,497","8,009","5,711","6,425","3,133","4,646","3,407","9,794","18,202","10,953","18,143","12,521","17,157","5,153","11,262","10,029","24,421"
2020년04월_계_연령구간인구수,"228,916","11,226","5,462","4,926","9,007","9,976","13,856","5,497","8,009","5,711","6,425","3,133","4,646","3,407","9,794","18,202","10,953","18,143","12,521","17,157","5,153","11,262","10,029","24,421"
2020년04월_계_0~9세,"19,790",540,243,189,687,"1,422","1,115",556,247,229,488,75,154,167,816,"2,087","1,036","1,627",960,"1,419",499,"1,123",946,"3,165"
2020년04월_계_10~19세,"25,442",810,367,315,968,"1,147","1,666",502,460,359,630,153,221,266,"1,068","2,512","1,423","2,107","1,225","2,008",576,"1,629","1,121","3,909"
2020년04월_계_20~29세,"27,666","1,200",583,461,"1,054","1,314","1,856",557,761,561,774,220,567,336,"1,173","1,929","1,167","1,919","2,204","2,660",563,"1,524","1,391","2,892"
2020년04월_계_30~39세,"27,727","1,092",521,418,"1,046","1,792","1,582",852,663,489,706,257,324,293,"1,111","2,416","1,317","2,119","1,837","2,059",663,"1,401","1,370","3,399"
2020년04월_계_40~49세,"38,256","1,503",732,661,"1,379","1,735","2,384",850,"1,047",776,997,444,594,485,"1,586","3,378","1,852","3,036","2,232","2,816",856,"2,071","1,727","5,115"
2020년04월_계_50~59세,"36,885","1,876",921,879,"1,506","1,206","2,401",833,"1,447",941,969,585,778,560,"1,704","2,532","1,682","2,909","2,012","3,187",798,"1,850","1,811","3,498"
2020년04월_계_60~69세,"28,023","2,093","1,068",879,"1,230",772,"1,562",689,"1,526","1,102","1,005",682,860,567,"1,331","1,729","1,353","2,386","1,198","1,840",645,957,969,"1,580"
2020년04월_계_70~79세,"17,299","1,492",760,769,767,403,885,434,"1,275",907,630,505,760,502,703,"1,082",761,"1,377",572,785,370,482,466,612
2020년04월_계_80~89세,"6,823",548,225,314,321,161,356,201,489,316,209,179,345,198,274,464,313,568,241,329,162,201,203,206
2020년04월_계_90~99세,928,67,38,37,46,22,42,19,87,29,17,27,34,28,28,70,46,88,38,52,21,22,25,45
2020년04월_계_100세 이상,77,5,4,4,3,2,7,4,7,2,0,6,9,5,0,3,3,7,2,2,0,2,0,0
2020년04월_남_총인구수,"114,140","5,644","2,768","2,470","4,417","4,926","6,847","2,715","4,089","2,993","3,173","1,666","2,495","1,771","4,897","8,962","5,437","8,860","6,437","8,586","2,590","5,420","4,862","12,115"
2020년04월_남_연령구간인구수,"114,140","5,644","2,768","2,470","4,417","4,926","6,847","2,715","4,089","2,993","3,173","1,666","2,495","1,771","4,897","8,962","5,437","8,860","6,437","8,586","2,590","5,420","4,862","12,115"
2020년04월_남_0~9세,"10,183",285,128,94,330,753,587,290,116,118,254,34,78,78,440,"1,064",559,834,505,724,235,571,476,"1,630"
2020년04월_남_10~19세,"13,058",402,191,149,511,571,840,257,240,185,306,82,114,136,547,"1,284",736,"1,099",683,"1,061",316,796,574,"1,978"
2020년04월_남_20~29세,"14,920",673,335,245,552,663,"1,037",272,419,324,409,116,387,193,633,"1,060",639,"1,043","1,109","1,423",301,790,718,"1,579"
2020년04월_남_30~39세,"14,261",626,296,251,551,884,827,436,385,293,380,163,205,172,587,"1,170",653,"1,079",980,"1,061",332,648,706,"1,576"
