카테고리,충청북도 진천군,충청북도 진천군 진천읍,충청북도 진천군 덕산읍,충청북도 진천군 덕산읍혁신도시출장소,충청북도 진천군 초평면,충청북도 진천군 문백면,충청북도 진천군 백곡면,충청북도 진천군 이월면,충청북도 진천군 광혜원면
2021년02월_계_총인구수,"84,116","30,050","28,711",0,"3,235","3,490","2,092","6,079","10,459"
2021년02월_계_연령구간인구수,"84,116","30,050","28,711",0,"3,235","3,490","2,092","6,079","10,459"
2021년02월_계_0~9세,"7,706","2,203","4,310",0,91,120,52,193,737
2021년02월_계_10~19세,"8,088","3,199","3,018",0,179,145,76,390,"1,081"
2021년02월_계_20~29세,"9,261","3,910","3,067",0,201,261,100,528,"1,194"
2021년02월_계_30~39세,"11,554","3,198","6,089",0,187,255,122,462,"1,241"
2021년02월_계_40~49세,"13,626","4,955","5,318",0,305,353,166,709,"1,820"
2021년02월_계_50~59세,"13,752","5,361","3,368",0,627,741,385,"1,200","2,070"
2021년02월_계_60~69세,"10,579","3,810","2,072",0,750,781,563,"1,311","1,292"
2021년02월_계_70~79세,"5,546","2,084",853,0,465,465,337,715,627
2021년02월_계_80~89세,"3,503","1,172",539,0,387,324,248,487,346
2021년02월_계_90~99세,482,154,73,0,42,43,40,79,51
2021년02월_계_100세 이상,19,4,4,0,1,2,3,5,0
2021년02월_남_총인구수,"44,050","15,433","15,165",0,"1,660","1,813","1,067","3,210","5,702"
2021년02월_남_연령구간인구수,"44,050","15,433","15,165",0,"1,660","1,813","1,067","3,210","5,702"
2021년02월_남_0~9세,"3,994","1,154","2,222",0,46,58,26,105,383
2021년02월_남_10~19세,"4,230","1,686","1,542",0,91,72,41,199,599
2021년02월_남_20~29세,"5,325","2,227","1,717",0,123,151,64,319,724
2021년02월_남_30~39세,"6,342","1,701","3,283",0,115,150,74,287,732
2021년02월_남_40~49세,"7,438","2,581","2,950",0,184,223,99,411,990
2021년02월_남_50~59세,"7,498","2,879","1,804",0,367,406,222,672,"1,148"
2021년02월_남_60~69세,"5,399","1,842","1,037",0,396,417,292,714,701
2021년02월_남_70~79세,"2,536",934,393,0,217,225,151,331,285
2021년02월_남_80~89세,"1,194",397,198,0,114,101,90,160,134
2021년02월_남_90~99세,89,30,19,0,7,9,8,10,6
2021년02월_남_100세 이상,5,2,0,0,0,1,0,2,0
2021년02월_여_총인구수,"40,066","14,617","13,546",0,"1,575","1,677","1,025","2,869","4,757"
2021년02월_여_연령구간인구수,"40,066","14,617","13,546",0,"1,575","1,677","1,025","2,869","4,757"
2021년02월_여_0~9세,"3,712","1,049","2,088",0,45,62,26,88,354
2021년02월_여_10~19세,"3,858","1,513","1,476",0,88,73,35,191,482
2021년02월_여_20~29세,"3,936","1,683","1,350",0,78,110,36,209,470
2021년02월_여_30~39세,"5,212","1,497","2,806",0,72,105,48,175,509
2021년02월_여_40~49세,"6,188","2,374","2,368",0,121,130,67,298,830
2021년02월_여_50~59세,"6,254","2,482","1,564",0,260,335,163,528,922
2021년02월_여_60~69세,"5,180","1,968","1,035",0,354,364,271,597,591
2021년02월_여_70~79세,"3,010","1,150",460,0,248,240,186,384,342
2021년02월_여_80~89세,"2,309",775,341,0,273,223,158,327,212
2021년02월_여_90~99세,393,124,54,0,35,34,32,69,45
2021년02월_여_100세 이상,14,2,4,0,1,1,3,3,0
