카테고리,충청남도 태안군,충청남도 태안군 태안읍,충청남도 태안군 안면읍,충청남도 태안군 고남면,충청남도 태안군 남면,충청남도 태안군 근흥면,충청남도 태안군 소원면,충청남도 태안군 원북면,충청남도 태안군 이원면
2020년06월_계_총인구수,"62,272","29,365","8,670","2,392","4,385","5,377","5,371","4,421","2,291"
2020년06월_계_연령구간인구수,"62,272","29,365","8,670","2,392","4,385","5,377","5,371","4,421","2,291"
2020년06월_계_0~9세,"3,182","2,260",334,67,125,118,114,119,45
2020년06월_계_10~19세,"4,522","2,936",582,131,183,203,201,185,101
2020년06월_계_20~29세,"5,138","2,968",582,108,467,306,262,322,123
2020년06월_계_30~39세,"5,266","3,303",586,133,258,322,260,281,123
2020년06월_계_40~49세,"7,799","4,501","1,054",239,396,492,534,396,187
2020년06월_계_50~59세,"10,846","4,934","1,537",463,769,998,986,779,380
2020년06월_계_60~69세,"11,754","4,155","1,894",528,984,"1,351","1,314",984,544
2020년06월_계_70~79세,"8,690","2,811","1,397",448,738,994,"1,051",807,444
2020년06월_계_80~89세,"4,459","1,324",599,250,411,522,581,471,301
2020년06월_계_90~99세,592,169,94,25,53,68,67,75,41
2020년06월_계_100세 이상,24,4,11,0,1,3,1,2,2
2020년06월_남_총인구수,"31,389","14,824","4,306","1,152","2,260","2,773","2,661","2,260","1,153"
2020년06월_남_연령구간인구수,"31,389","14,824","4,306","1,152","2,260","2,773","2,661","2,260","1,153"
2020년06월_남_0~9세,"1,568","1,129",164,25,54,53,60,59,24
2020년06월_남_10~19세,"2,356","1,514",314,57,101,117,102,96,55
2020년06월_남_20~29세,"3,024","1,705",337,62,325,196,146,189,64
2020년06월_남_30~39세,"2,938","1,770",322,74,148,213,155,180,76
2020년06월_남_40~49세,"4,421","2,387",601,148,246,318,342,249,130
2020년06월_남_50~59세,"5,687","2,529",808,252,395,540,523,422,218
2020년06월_남_60~69세,"5,635","1,984",882,253,486,650,634,481,265
2020년06월_남_70~79세,"4,069","1,318",649,194,348,470,486,397,207
2020년06월_남_80~89세,"1,563",449,208,83,142,200,200,171,110
2020년06월_남_90~99세,124,39,19,4,14,16,13,15,4
2020년06월_남_100세 이상,4,0,2,0,1,0,0,1,0
2020년06월_여_총인구수,"30,883","14,541","4,364","1,240","2,125","2,604","2,710","2,161","1,138"
2020년06월_여_연령구간인구수,"30,883","14,541","4,364","1,240","2,125","2,604","2,710","2,161","1,138"
2020년06월_여_0~9세,"1,614","1,131",170,42,71,65,54,60,21
2020년06월_여_10~19세,"2,166","1,422",268,74,82,86,99,89,46
2020년06월_여_20~29세,"2,114","1,263",245,46,142,110,116,133,59
2020년06월_여_30~39세,"2,328","1,533",264,59,110,109,105,101,47
2020년06월_여_40~49세,"3,378","2,114",453,91,150,174,192,147,57
2020년06월_여_50~59세,"5,159","2,405",729,211,374,458,463,357,162
2020년06월_여_60~69세,"6,119","2,171","1,012",275,498,701,680,503,279
2020년06월_여_70~79세,"4,621","1,493",748,254,390,524,565,410,237
2020년06월_여_80~89세,"2,896",875,391,167,269,322,381,300,191
2020년06월_여_90~99세,468,130,75,21,39,52,54,60,37
2020년06월_여_100세 이상,20,4,9,0,0,3,1,1,2
