카테고리,인천광역시 남동구,인천광역시 남동구 구월1동,인천광역시 남동구 구월2동,인천광역시 남동구 구월3동,인천광역시 남동구 구월4동,인천광역시 남동구 간석1동,인천광역시 남동구 간석2동,인천광역시 남동구 간석3동,인천광역시 남동구 간석4동,인천광역시 남동구 만수1동,인천광역시 남동구 만수2동,인천광역시 남동구 만수3동,인천광역시 남동구 만수4동,인천광역시 남동구 만수5동,인천광역시 남동구 만수6동,인천광역시 남동구 장수서창동,인천광역시 남동구 서창2동,인천광역시 남동구 남촌도림동,인천광역시 남동구 논현1동,인천광역시 남동구 논현2동,인천광역시 남동구 논현고잔동
2021년01월_계_총인구수,"524,800","31,921","35,765","29,167","15,044","22,559","22,249","28,207","29,211","17,461","24,722","17,920","21,521","15,637","24,852","20,375","39,823","21,219","32,292","32,943","41,912"
2021년01월_계_연령구간인구수,"524,800","31,921","35,765","29,167","15,044","22,559","22,249","28,207","29,211","17,461","24,722","17,920","21,521","15,637","24,852","20,375","39,823","21,219","32,292","32,943","41,912"
2021년01월_계_0~9세,"41,363","3,153","3,618","1,601",650,"1,209","1,600","1,603","1,785",861,"1,764","1,320","1,487",643,"1,454","1,640","5,911","1,305","2,845","2,473","4,441"
2021년01월_계_10~19세,"49,762","3,062","4,390","1,741","1,046","1,637","2,125","2,150","2,401","1,122","2,484","1,641","1,930",996,"2,350","2,206","3,689","1,911","3,597","3,365","5,919"
2021년01월_계_20~29세,"70,858","4,231","4,293","6,356","2,131","3,172","2,919","4,062","4,215","2,288","3,281","2,510","2,923","2,169","3,488","2,391","3,919","2,867","4,146","4,644","4,853"
2021년01월_계_30~39세,"72,068","4,706","4,485","5,560","1,669","3,187","2,768","3,687","4,130","2,163","3,004","2,234","2,833","1,841","2,878","2,439","7,605","2,297","4,575","4,579","5,428"
2021년01월_계_40~49세,"88,577","5,597","6,710","4,617","2,279","3,419","3,854","4,324","4,561","2,462","4,131","2,865","3,323","2,123","3,773","3,442","7,464","3,341","5,822","5,658","8,812"
2021년01월_계_50~59세,"90,035","5,113","5,748","4,415","2,993","4,027","3,804","5,291","5,267","3,372","4,350","3,249","3,803","3,105","4,840","3,497","4,976","4,280","5,540","5,618","6,747"
2021년01월_계_60~69세,"66,355","3,720","4,031","2,936","2,345","3,205","2,964","4,118","4,089","2,781","3,478","2,477","3,091","2,711","3,524","2,946","4,051","3,078","3,508","3,701","3,601"
2021년01월_계_70~79세,"30,951","1,586","1,768","1,355","1,291","1,834","1,537","2,022","1,839","1,505","1,571","1,154","1,393","1,452","1,595","1,233","1,605","1,437","1,506","1,884","1,384"
2021년01월_계_80~89세,"12,653",617,603,520,552,742,558,810,791,800,560,396,629,516,789,501,517,601,629,882,640
2021년01월_계_90~99세,"2,038",129,108,65,77,116,117,121,119,104,84,65,107,80,155,79,83,98,120,127,84
2021년01월_계_100세 이상,140,7,11,1,11,11,3,19,14,3,15,9,2,1,6,1,3,4,4,12,3
2021년01월_남_총인구수,"260,654","15,557","17,632","14,509","7,608","11,122","11,130","14,088","14,572","8,511","12,113","9,029","10,495","7,843","12,113","10,172","19,764","10,870","16,251","16,603","20,672"
2021년01월_남_연령구간인구수,"260,654","15,557","17,632","14,509","7,608","11,122","11,130","14,088","14,572","8,511","12,113","9,029","10,495","7,843","12,113","10,172","19,764","10,870","16,251","16,603","20,672"
2021년01월_남_0~9세,"21,268","1,607","1,904",845,341,639,828,790,904,442,900,682,737,333,763,823,"3,052",677,"1,432","1,297","2,272"
2021년01월_남_10~19세,"25,475","1,491","2,276",911,578,838,"1,115","1,081","1,198",585,"1,235",849,"1,017",511,"1,170","1,148","1,934","1,023","1,830","1,750","2,935"
2021년01월_남_20~29세,"36,571","2,096","2,240","2,830","1,116","1,637","1,520","2,095","2,181","1,178","1,713","1,302","1,559","1,142","1,838","1,319","1,944","1,578","2,245","2,504","2,534"
2021년01월_남_30~39세,"37,103","2,291","2,114","3,007",943,"1,714","1,398","1,946","2,186","1,167","1,536","1,207","1,463","1,056","1,512","1,246","3,671","1,213","2,411","2,502","2,520"
2021년01월_남_40~49세,"45,018","2,913","3,223","2,499","1,246","1,781","1,970","2,263","2,315","1,282","2,062","1,475","1,615","1,145","1,789","1,729","3,905","1,745","2,940","2,873","4,248"
2021년01월_남_50~59세,"44,420","2,429","2,876","2,196","1,511","1,941","1,926","2,659","2,606","1,668","2,073","1,592","1,796","1,527","2,322","1,693","2,363","2,177","2,791","2,779","3,495"
2021년01월_남_60~69세,"32,016","1,766","1,913","1,411","1,118","1,504","1,437","1,985","2,022","1,327","1,627","1,230","1,440","1,279","1,757","1,433","1,949","1,575","1,687","1,752","1,804"
2021년01월_남_70~79세,"14,044",737,832,603,558,806,704,936,866,608,744,543,652,637,695,572,778,652,675,814,632
2021년01월_남_80~89세,"4,301",208,227,187,186,248,194,295,267,235,202,134,194,201,238,190,158,210,213,301,213
2021년01월_남_90~99세,406,19,23,20,10,12,37,30,25,19,17,11,22,12,29,19,9,19,26,28,19
2021년01월_남_100세 이상,32,0,4,0,1,2,1,8,2,0,4,4,0,0,0,0,1,1,1,3,0
2021년01월_여_총인구수,"264,146","16,364","18,133","14,658","7,436","11,437","11,119","14,119","14,639","8,950","12,609","8,891","11,026","7,794","12,739","10,203","20,059","10,349","16,041","16,340","21,240"
2021년01월_여_연령구간인구수,"264,146","16,364","18,133","14,658","7,436","11,437","11,119","14,119","14,639","8,950","12,609","8,891","11,026","7,794","12,739","10,203","20,059","10,349","16,041","16,340","21,240"
2021년01월_여_0~9세,"20,095","1,546","1,714",756,309,570,772,813,881,419,864,638,750,310,691,817,"2,859",628,"1,413","1,176","2,169"
2021년01월_여_10~19세,"24,287","1,571","2,114",830,468,799,"1,010","1,069","1,203",537,"1,249",792,913,485,"1,180","1,058","1,755",888,"1,767","1,615","2,984"
2021년01월_여_20~29세,"34,287","2,135","2,053","3,526","1,015","1,535","1,399","1,967","2,034","1,110","1,568","1,208","1,364","1,027","1,650","1,072","1,975","1,289","1,901","2,140","2,319"
2021년01월_여_30~39세,"34,965","2,415","2,371","2,553",726,"1,473","1,370","1,741","1,944",996,"1,468","1,027","1,370",785,"1,366","1,193","3,934","1,084","2,164","2,077","2,908"
2021년01월_여_40~49세,"43,559","2,684","3,487","2,118","1,033","1,638","1,884","2,061","2,246","1,180","2,069","1,390","1,708",978,"1,984","1,713","3,559","1,596","2,882","2,785","4,564"
2021년01월_여_50~59세,"45,615","2,684","2,872","2,219","1,482","2,086","1,878","2,632","2,661","1,704","2,277","1,657","2,007","1,578","2,518","1,804","2,613","2,103","2,749","2,839","3,252"
2021년01월_여_60~69세,"34,339","1,954","2,118","1,525","1,227","1,701","1,527","2,133","2,067","1,454","1,851","1,247","1,651","1,432","1,767","1,513","2,102","1,503","1,821","1,949","1,797"
2021년01월_여_70~79세,"16,907",849,936,752,733,"1,028",833,"1,086",973,897,827,611,741,815,900,661,827,785,831,"1,070",752
2021년01월_여_80~89세,"8,352",409,376,333,366,494,364,515,524,565,358,262,435,315,551,311,359,391,416,581,427
2021년01월_여_90~99세,"1,632",110,85,45,67,104,80,91,94,85,67,54,85,68,126,60,74,79,94,99,65
2021년01월_여_100세 이상,108,7,7,1,10,9,2,11,12,3,11,5,2,1,6,1,2,3,3,9,3
