카테고리,경상남도 김해시,경상남도 김해시 진영읍,경상남도 김해시 주촌면,경상남도 김해시 진례면,경상남도 김해시 한림면,경상남도 김해시 생림면,경상남도 김해시 상동면,경상남도 김해시 대동면,경상남도 김해시 동상동,경상남도 김해시 회현동,경상남도 김해시 부원동,경상남도 김해시 내외동,경상남도 김해시 북부동,경상남도 김해시 칠산서부동,경상남도 김해시 활천동,경상남도 김해시 삼안동,경상남도 김해시 불암동,경상남도 김해시 장유1동,경상남도 김해시 장유2동,경상남도 김해시 장유3동
2020년10월_계_총인구수,"542,376","55,860","18,208","6,630","7,731","3,818","3,230","6,204","9,919","9,432","10,125","74,004","80,471","9,592","40,961","33,833","7,833","56,527","36,566","71,432"
2020년10월_계_연령구간인구수,"542,376","55,860","18,208","6,630","7,731","3,818","3,230","6,204","9,919","9,432","10,125","74,004","80,471","9,592","40,961","33,833","7,833","56,527","36,566","71,432"
2020년10월_계_0~9세,"49,757","6,561","2,810",233,200,75,84,178,571,642,611,"4,852","7,386",550,"2,654","1,636",558,"5,477","3,706","10,973"
2020년10월_계_10~19세,"61,594","6,011","1,263",328,368,124,155,215,691,575,675,"7,874","10,613",720,"3,920","3,195",777,"8,123","5,222","10,745"
2020년10월_계_20~29세,"69,089","5,406","2,220",625,647,320,285,465,"1,327","1,129","1,465","12,392","10,937","1,266","6,216","5,780","1,031","6,885","4,366","6,327"
2020년10월_계_30~39세,"70,112","8,980","4,090",555,590,252,238,441,"1,263","1,231","1,239","8,358","9,550",996,"4,475","3,048",802,"6,981","4,681","12,342"
2020년10월_계_40~49세,"98,787","10,778","2,868",823,749,354,350,585,"1,391","1,272","1,454","12,010","15,537","1,345","6,562","5,141","1,271","12,053","7,824","16,420"
2020년10월_계_50~59세,"96,576","8,310","2,712","1,510","1,641",847,739,"1,149","2,015","1,763","2,116","16,206","14,620","2,021","8,747","7,643","1,552","9,095","5,972","7,918"
2020년10월_계_60~69세,"57,430","5,843","1,470","1,351","1,822",927,801,"1,686","1,586","1,566","1,561","7,513","7,307","1,588","5,180","4,511","1,125","4,543","2,854","4,196"
2020년10월_계_70~79세,"26,216","2,626",467,755,"1,032",594,390,966,728,870,701,"3,151","3,070",749,"2,237","1,916",499,"2,291","1,358","1,816"
2020년10월_계_80~89세,"11,331","1,183",272,381,607,290,150,444,303,335,270,"1,469","1,279",323,866,875,193,968,512,611
2020년10월_계_90~99세,"1,398",151,36,67,74,34,34,73,37,44,27,169,165,33,94,83,20,104,71,82
2020년10월_계_100세 이상,86,11,0,2,1,1,4,2,7,5,6,10,7,1,10,5,5,7,0,2
2020년10월_남_총인구수,"274,251","28,751","9,293","3,606","4,213","2,034","1,774","3,207","5,057","4,757","5,196","36,877","40,306","5,041","20,826","17,322","3,969","28,179","18,310","35,533"
2020년10월_남_연령구간인구수,"274,251","28,751","9,293","3,606","4,213","2,034","1,774","3,207","5,057","4,757","5,196","36,877","40,306","5,041","20,826","17,322","3,969","28,179","18,310","35,533"
2020년10월_남_0~9세,"25,364","3,376","1,410",134,107,49,51,82,293,338,341,"2,542","3,759",277,"1,348",838,295,"2,725","1,851","5,548"
2020년10월_남_10~19세,"32,094","3,143",648,176,221,65,84,119,341,309,356,"4,109","5,602",383,"2,067","1,681",379,"4,178","2,699","5,534"
2020년10월_남_20~29세,"37,479","2,975","1,120",383,414,199,163,289,738,632,796,"6,670","5,915",691,"3,346","3,250",561,"3,687","2,348","3,302"
2020년10월_남_30~39세,"36,090","4,643","2,120",311,378,154,144,259,718,638,685,"4,367","4,780",567,"2,437","1,701",429,"3,482","2,390","5,887"
2020년10월_남_40~49세,"49,055","5,782","1,491",518,483,217,212,335,710,671,746,"5,585","7,364",724,"3,298","2,527",626,"5,851","3,784","8,131"
2020년10월_남_50~59세,"49,688","4,306","1,371",871,944,471,423,611,"1,024",885,"1,060","7,989","7,483","1,092","4,400","3,852",801,"4,777","3,157","4,171"
2020년10월_남_60~69세,"29,277","2,921",828,733,996,501,438,890,811,776,792,"3,943","3,697",858,"2,677","2,381",576,"2,169","1,354","1,936"
2020년10월_남_70~79세,"11,372","1,195",220,330,484,280,199,460,320,371,315,"1,230","1,281",337,973,806,225,969,556,821
2020년10월_남_80~89세,"3,540",380,77,139,175,90,51,144,94,128,100,404,391,109,253,271,69,315,158,192
2020년10월_남_90~99세,267,28,8,10,11,8,8,17,5,8,4,35,34,3,22,14,6,22,13,11
2020년10월_남_100세 이상,25,2,0,1,0,0,1,1,3,1,1,3,0,0,5,1,2,4,0,0
2020년10월_여_총인구수,"268,125","27,109","8,915","3,024","3,518","1,784","1,456","2,997","4,862","4,675","4,929","37,127","40,165","4,551","20,135","16,511","3,864","28,348","18,256","35,899"
2020년10월_여_연령구간인구수,"268,125","27,109","8,915","3,024","3,518","1,784","1,456","2,997","4,862","4,675","4,929","37,127","40,165","4,551","20,135","16,511","3,864","28,348","18,256","35,899"
2020년10월_여_0~9세,"24,393","3,185","1,400",99,93,26,33,96,278,304,270,"2,310","3,627",273,"1,306",798,263,"2,752","1,855","5,425"
2020년10월_여_10~19세,"29,500","2,868",615,152,147,59,71,96,350,266,319,"3,765","5,011",337,"1,853","1,514",398,"3,945","2,523","5,211"
2020년10월_여_20~29세,"31,610","2,431","1,100",242,233,121,122,176,589,497,669,"5,722","5,022",575,"2,870","2,530",470,"3,198","2,018","3,025"
2020년10월_여_30~39세,"34,022","4,337","1,970",244,212,98,94,182,545,593,554,"3,991","4,770",429,"2,038","1,347",373,"3,499","2,291","6,455"
2020년10월_여_40~49세,"49,732","4,996","1,377",305,266,137,138,250,681,601,708,"6,425","8,173",621,"3,264","2,614",645,"6,202","4,040","8,289"
2020년10월_여_50~59세,"46,888","4,004","1,341",639,697,376,316,538,991,878,"1,056","8,217","7,137",929,"4,347","3,791",751,"4,318","2,815","3,747"
2020년10월_여_60~69세,"28,153","2,922",642,618,826,426,363,796,775,790,769,"3,570","3,610",730,"2,503","2,130",549,"2,374","1,500","2,260"
2020년10월_여_70~79세,"14,844","1,431",247,425,548,314,191,506,408,499,386,"1,921","1,789",412,"1,264","1,110",274,"1,322",802,995
2020년10월_여_80~89세,"7,791",803,195,242,432,200,99,300,209,207,170,"1,065",888,214,613,604,124,653,354,419
2020년10월_여_90~99세,"1,131",123,28,57,63,26,26,56,32,36,23,134,131,30,72,69,14,82,58,71
2020년10월_여_100세 이상,61,9,0,1,1,1,3,1,4,4,5,7,7,1,5,4,3,3,0,2
