카테고리,경기도 동두천시,경기도 동두천시 생연1동,경기도 동두천시 생연2동,경기도 동두천시 중앙동,경기도 동두천시 보산동,경기도 동두천시 불현동,경기도 동두천시 송내동,경기도 동두천시 소요동,경기도 동두천시 상패동
2021년12월_계_총인구수,"93,592","6,940","11,901","4,932","2,946","26,866","25,829","8,899","5,279"
2021년12월_계_연령구간인구수,"93,592","6,940","11,901","4,932","2,946","26,866","25,829","8,899","5,279"
2021년12월_계_0~9세,"5,830",438,711,152,127,"1,751","1,984",408,259
2021년12월_계_10~19세,"8,392",578,"1,245",189,195,"2,513","2,865",524,283
2021년12월_계_20~29세,"11,053",752,"1,268",444,326,"3,362","3,462",879,560
2021년12월_계_30~39세,"10,009",762,"1,184",442,282,"2,880","3,068",792,599
2021년12월_계_40~49세,"13,815",893,"1,852",554,348,"3,971","4,386","1,197",614
2021년12월_계_50~59세,"16,452","1,266","2,028",970,559,"4,836","4,242","1,597",954
2021년12월_계_60~69세,"14,139","1,190","1,761","1,108",549,"3,932","2,852","1,740","1,007"
2021년12월_계_70~79세,"8,523",635,"1,126",627,346,"2,259","1,834","1,096",600
2021년12월_계_80~89세,"4,755",388,663,367,192,"1,207","1,001",596,341
2021년12월_계_90~99세,603,37,62,74,22,151,133,64,60
2021년12월_계_100세 이상,21,1,1,5,0,4,2,6,2
2021년12월_남_총인구수,"46,694","3,495","5,827","2,596","1,430","13,185","12,704","4,642","2,815"
2021년12월_남_연령구간인구수,"46,694","3,495","5,827","2,596","1,430","13,185","12,704","4,642","2,815"
2021년12월_남_0~9세,"2,994",234,370,82,56,886,"1,010",214,142
2021년12월_남_10~19세,"4,214",283,640,97,92,"1,236","1,443",278,145
2021년12월_남_20~29세,"5,971",410,695,237,187,"1,803","1,821",506,312
2021년12월_남_30~39세,"5,248",404,585,270,145,"1,463","1,582",440,359
2021년12월_남_40~49세,"7,117",476,938,335,185,"1,952","2,192",684,355
2021년12월_남_50~59세,"8,676",661,"1,062",568,283,"2,456","2,210",883,553
2021년12월_남_60~69세,"6,964",600,811,592,273,"1,976","1,295",882,535
2021년12월_남_70~79세,"3,605",273,458,272,143,925,729,530,275
2021년12월_남_80~89세,"1,742",139,251,119,61,446,393,209,124
2021년12월_남_90~99세,159,15,17,23,5,41,28,16,14
2021년12월_남_100세 이상,4,0,0,1,0,1,1,0,1
2021년12월_여_총인구수,"46,898","3,445","6,074","2,336","1,516","13,681","13,125","4,257","2,464"
2021년12월_여_연령구간인구수,"46,898","3,445","6,074","2,336","1,516","13,681","13,125","4,257","2,464"
2021년12월_여_0~9세,"2,836",204,341,70,71,865,974,194,117
2021년12월_여_10~19세,"4,178",295,605,92,103,"1,277","1,422",246,138
2021년12월_여_20~29세,"5,082",342,573,207,139,"1,559","1,641",373,248
2021년12월_여_30~39세,"4,761",358,599,172,137,"1,417","1,486",352,240
2021년12월_여_40~49세,"6,698",417,914,219,163,"2,019","2,194",513,259
2021년12월_여_50~59세,"7,776",605,966,402,276,"2,380","2,032",714,401
2021년12월_여_60~69세,"7,175",590,950,516,276,"1,956","1,557",858,472
2021년12월_여_70~79세,"4,918",362,668,355,203,"1,334","1,105",566,325
2021년12월_여_80~89세,"3,013",249,412,248,131,761,608,387,217
2021년12월_여_90~99세,444,22,45,51,17,110,105,48,46
2021년12월_여_100세 이상,17,1,1,4,0,3,1,6,1
