,인천광역시 강화군,인천광역시 강화군 강화읍,인천광역시 강화군 선원면,인천광역시 강화군 불은면,인천광역시 강화군 길상면,인천광역시 강화군 화도면,인천광역시 강화군 양도면,인천광역시 강화군 내가면,인천광역시 강화군 하점면,인천광역시 강화군 양사면,인천광역시 강화군 송해면,인천광역시 강화군 교동면,인천광역시 강화군 삼산면,인천광역시 강화군 서도면,인천광역시 강화군 서도면볼음출장소
2020년06월_계_총인구수,"69,060","22,726","7,766","4,884","6,957","4,515","4,205","3,096","4,079","1,847","3,183","2,911","2,241",382,268
2020년06월_계_연령구간인구수,"69,060","22,726","7,766","4,884","6,957","4,515","4,205","3,096","4,079","1,847","3,183","2,911","2,241",382,268
2020년06월_계_0~9세,"3,293","1,456",520,183,312,160,160,66,118,54,124,69,59,5,7
2020년06월_계_10~19세,"4,669","2,205",658,215,406,205,234,128,157,76,137,121,112,12,3
2020년06월_계_20~29세,"5,496","2,329",714,318,526,279,257,201,249,90,215,173,116,21,8
2020년06월_계_30~39세,"5,400","2,190",682,332,611,320,242,187,227,81,211,163,127,19,8
2020년06월_계_40~49세,"7,858","3,257","1,061",441,746,396,437,287,365,152,283,200,197,22,14
2020년06월_계_50~59세,"12,094","3,826","1,358",870,"1,365",793,745,538,642,339,539,547,404,74,54
2020년06월_계_60~69세,"13,815","3,522","1,364","1,208","1,537","1,127",939,738,932,425,665,627,548,106,77
2020년06월_계_70~79세,"10,082","2,501",849,775,944,762,703,612,818,373,595,616,406,66,62
2020년06월_계_80~89세,"5,538","1,252",477,461,435,405,422,308,508,231,374,342,239,53,31
2020년06월_계_90~99세,777,174,82,78,72,66,63,30,59,26,36,51,32,4,4
2020년06월_계_100세 이상,38,14,1,3,3,2,3,1,4,0,4,2,1,0,0
2020년06월_남_총인구수,"34,617","11,242","3,885","2,467","3,522","2,287","2,086","1,530","2,077",927,"1,584","1,507","1,166",193,144
2020년06월_남_연령구간인구수,"34,617","11,242","3,885","2,467","3,522","2,287","2,086","1,530","2,077",927,"1,584","1,507","1,166",193,144
2020년06월_남_0~9세,"1,713",760,261,80,163,73,85,44,62,33,64,42,38,4,4
2020년06월_남_10~19세,"2,401","1,109",337,113,212,120,122,65,84,35,66,60,71,6,1
2020년06월_남_20~29세,"3,178","1,329",424,188,311,154,150,113,152,52,114,110,66,10,5
2020년06월_남_30~39세,"2,841","1,138",327,176,311,190,129,103,120,47,121,90,76,9,4
2020년06월_남_40~49세,"4,274","1,655",551,250,423,232,244,163,218,83,182,135,113,15,10
2020년06월_남_50~59세,"6,220","1,934",694,441,692,382,381,261,350,196,294,298,223,42,32
2020년06월_남_60~69세,"6,857","1,705",683,617,752,573,466,363,479,207,314,323,281,51,43
2020년06월_남_70~79세,"4,754","1,105",408,393,476,373,326,286,383,172,284,288,194,37,29
2020년06월_남_80~89세,"2,175",458,178,191,166,169,167,122,220,97,135,144,97,16,15
2020년06월_남_90~99세,195,45,22,18,14,21,15,9,9,5,10,16,7,3,1
2020년06월_남_100세 이상,9,4,0,0,2,0,1,1,0,0,0,1,0,0,0
2020년06월_여_총인구수,"34,443","11,484","3,881","2,417","3,435","2,228","2,119","1,566","2,002",920,"1,599","1,404","1,075",189,124
2020년06월_여_연령구간인구수,"34,443","11,484","3,881","2,417","3,435","2,228","2,119","1,566","2,002",920,"1,599","1,404","1,075",189,124
2020년06월_여_0~9세,"1,580",696,259,103,149,87,75,22,56,21,60,27,21,1,3
2020년06월_여_10~19세,"2,268","1,096",321,102,194,85,112,63,73,41,71,61,41,6,2
2020년06월_여_20~29세,"2,318","1,000",290,130,215,125,107,88,97,38,101,63,50,11,3
2020년06월_여_30~39세,"2,559","1,052",355,156,300,130,113,84,107,34,90,73,51,10,4
2020년06월_여_40~49세,"3,584","1,602",510,191,323,164,193,124,147,69,101,65,84,7,4
2020년06월_여_50~59세,"5,874","1,892",664,429,673,411,364,277,292,143,245,249,181,32,22
2020년06월_여_60~69세,"6,958","1,817",681,591,785,554,473,375,453,218,351,304,267,55,34
2020년06월_여_70~79세,"5,328","1,396",441,382,468,389,377,326,435,201,311,328,212,29,33
2020년06월_여_80~89세,"3,363",794,299,270,269,236,255,186,288,134,239,198,142,37,16
2020년06월_여_90~99세,582,129,60,60,58,45,48,21,50,21,26,35,25,1,3
2020년06월_여_100세 이상,29,10,1,3,1,2,2,0,4,0,4,1,1,0,0
