,세종특별자치시,세종특별자치시 세종특별자치시
2020년05월_계_총인구수,"345,373","345,373"
2020년05월_계_연령구간인구수,"345,373","345,373"
2020년05월_계_0~9세,"47,239","47,239"
2020년05월_계_10~19세,"40,970","40,970"
2020년05월_계_20~29세,"36,245","36,245"
2020년05월_계_30~39세,"61,103","61,103"
2020년05월_계_40~49세,"66,258","66,258"
2020년05월_계_50~59세,"43,404","43,404"
2020년05월_계_60~69세,"28,280","28,280"
2020년05월_계_70~79세,"13,762","13,762"
2020년05월_계_80~89세,"6,924","6,924"
2020년05월_계_90~99세,"1,132","1,132"
2020년05월_계_100세 이상,56,56
2020년05월_남_총인구수,"172,269","172,269"
2020년05월_남_연령구간인구수,"172,269","172,269"
2020년05월_남_0~9세,"24,226","24,226"
2020년05월_남_10~19세,"20,581","20,581"
2020년05월_남_20~29세,"18,322","18,322"
2020년05월_남_30~39세,"29,740","29,740"
2020년05월_남_40~49세,"33,977","33,977"
2020년05월_남_50~59세,"22,525","22,525"
2020년05월_남_60~69세,"14,032","14,032"
2020년05월_남_70~79세,"6,284","6,284"
2020년05월_남_80~89세,"2,313","2,313"
2020년05월_남_90~99세,259,259
2020년05월_남_100세 이상,10,10
2020년05월_여_총인구수,"173,104","173,104"
2020년05월_여_연령구간인구수,"173,104","173,104"
2020년05월_여_0~9세,"23,013","23,013"
2020년05월_여_10~19세,"20,389","20,389"
2020년05월_여_20~29세,"17,923","17,923"
2020년05월_여_30~39세,"31,363","31,363"
2020년05월_여_40~49세,"32,281","32,281"
2020년05월_여_50~59세,"20,879","20,879"
2020년05월_여_60~69세,"14,248","14,248"
2020년05월_여_70~79세,"7,478","7,478"
2020년05월_여_80~89세,"4,611","4,611"
2020년05월_여_90~99세,873,873
2020년05월_여_100세 이상,46,46
