카테고리,경기도 하남시,경기도 하남시 천현동,경기도 하남시 신장1동,경기도 하남시 신장2동,경기도 하남시 덕풍1동,경기도 하남시 덕풍2동,경기도 하남시 덕풍3동,경기도 하남시 풍산동,경기도 하남시 감북동,경기도 하남시 감일동,경기도 하남시 위례동,경기도 하남시 춘궁동,경기도 하남시 초이동,경기도 하남시 미사1동,경기도 하남시 미사2동
2021년04월_계_총인구수,"301,801","7,641","6,652","44,963","16,001","19,376","25,755","29,969","2,778","21,726","20,670","3,993","3,636","50,651","47,990"
2021년04월_계_연령구간인구수,"301,801","7,641","6,652","44,963","16,001","19,376","25,755","29,969","2,778","21,726","20,670","3,993","3,636","50,651","47,990"
2021년04월_계_0~9세,"30,550",343,304,"3,720",990,"1,113","2,116","4,423",81,"3,000","2,639",128,160,"4,906","6,627"
2021년04월_계_10~19세,"26,183",412,402,"3,780","1,073","1,146","2,529","2,977",144,"1,998","2,105",201,176,"3,974","5,266"
2021년04월_계_20~29세,"37,539",949,981,"5,139","2,130","2,549","3,144","3,294",343,"2,614","2,295",486,477,"9,105","4,033"
2021년04월_계_30~39세,"50,942","1,019","1,014","6,544","2,291","2,965","3,357","5,374",374,"4,233","3,453",434,472,"11,825","7,587"
2021년04월_계_40~49세,"53,384","1,013",929,"7,111","2,210","2,560","4,448","5,985",382,"3,776","4,095",532,450,"9,339","10,554"
2021년04월_계_50~59세,"43,182","1,439","1,207","7,023","2,825","3,421","4,184","3,855",577,"2,876","3,053",783,731,"5,353","5,855"
2021년04월_계_60~69세,"36,509","1,539","1,059","6,861","2,728","3,438","3,490","2,599",507,"2,004","2,135",784,718,"3,787","4,860"
2021년04월_계_70~79세,"16,511",606,522,"3,407","1,247","1,511","1,739",967,244,833,666,403,297,"1,723","2,346"
2021년04월_계_80~89세,"5,905",257,202,"1,192",446,575,640,381,108,319,192,206,141,525,721
2021년04월_계_90~99세,"1,036",56,30,177,57,94,104,106,17,66,36,33,13,111,136
2021년04월_계_100세 이상,60,8,2,9,4,4,4,8,1,7,1,3,1,3,5
2021년04월_남_총인구수,"151,429","4,228","3,421","22,266","8,107","9,749","12,810","14,901","1,545","10,923","10,117","2,246","2,071","25,410","23,635"
2021년04월_남_연령구간인구수,"151,429","4,228","3,421","22,266","8,107","9,749","12,810","14,901","1,545","10,923","10,117","2,246","2,071","25,410","23,635"
2021년04월_남_0~9세,"15,665",169,153,"1,917",502,564,"1,131","2,223",45,"1,574","1,317",67,77,"2,551","3,375"
2021년04월_남_10~19세,"13,263",222,214,"1,952",576,589,"1,276","1,500",74,"1,014","1,031",111,91,"1,945","2,668"
2021년04월_남_20~29세,"19,015",550,518,"2,652","1,180","1,394","1,683","1,663",207,"1,316","1,143",273,274,"4,123","2,039"
2021년04월_남_30~39세,"25,794",606,595,"3,352","1,239","1,614","1,718","2,529",232,"2,050","1,565",263,297,"6,263","3,471"
2021년04월_남_40~49세,"27,944",623,519,"3,610","1,154","1,333","2,216","3,136",224,"1,957","2,086",320,285,"4,971","5,510"
2021년04월_남_50~59세,"21,554",822,615,"3,364","1,337","1,680","2,057","1,905",315,"1,457","1,448",490,429,"2,730","2,905"
2021년04월_남_60~69세,"17,627",823,506,"3,237","1,303","1,658","1,633","1,271",281,"1,009","1,083",433,404,"1,736","2,250"
2021년04월_남_70~79세,"8,238",301,228,"1,678",621,721,832,519,121,433,368,195,157,891,"1,173"
2021년04월_남_80~89세,"2,087",97,68,457,181,183,241,130,39,95,65,89,53,175,214
2021년04월_남_90~99세,228,12,5,44,12,11,23,23,7,17,11,4,4,25,30
2021년04월_남_100세 이상,14,3,0,3,2,2,0,2,0,1,0,1,0,0,0
2021년04월_여_총인구수,"150,372","3,413","3,231","22,697","7,894","9,627","12,945","15,068","1,233","10,803","10,553","1,747","1,565","25,241","24,355"
2021년04월_여_연령구간인구수,"150,372","3,413","3,231","22,697","7,894","9,627","12,945","15,068","1,233","10,803","10,553","1,747","1,565","25,241","24,355"
2021년04월_여_0~9세,"14,885",174,151,"1,803",488,549,985,"2,200",36,"1,426","1,322",61,83,"2,355","3,252"
2021년04월_여_10~19세,"12,920",190,188,"1,828",497,557,"1,253","1,477",70,984,"1,074",90,85,"2,029","2,598"
2021년04월_여_20~29세,"18,524",399,463,"2,487",950,"1,155","1,461","1,631",136,"1,298","1,152",213,203,"4,982","1,994"
2021년04월_여_30~39세,"25,148",413,419,"3,192","1,052","1,351","1,639","2,845",142,"2,183","1,888",171,175,"5,562","4,116"
2021년04월_여_40~49세,"25,440",390,410,"3,501","1,056","1,227","2,232","2,849",158,"1,819","2,009",212,165,"4,368","5,044"
2021년04월_여_50~59세,"21,628",617,592,"3,659","1,488","1,741","2,127","1,950",262,"1,419","1,605",293,302,"2,623","2,950"
2021년04월_여_60~69세,"18,882",716,553,"3,624","1,425","1,780","1,857","1,328",226,995,"1,052",351,314,"2,051","2,610"
2021년04월_여_70~79세,"8,273",305,294,"1,729",626,790,907,448,123,400,298,208,140,832,"1,173"
2021년04월_여_80~89세,"3,818",160,134,735,265,392,399,251,69,224,127,117,88,350,507
2021년04월_여_90~99세,808,44,25,133,45,83,81,83,10,49,25,29,9,86,106
2021년04월_여_100세 이상,46,5,2,6,2,2,4,6,1,6,1,2,1,3,5
