카테고리,서울특별시 강남구,서울특별시 강남구 신사동,서울특별시 강남구 논현1동,서울특별시 강남구 논현2동,서울특별시 강남구 압구정동,서울특별시 강남구 청담동,서울특별시 강남구 삼성1동,서울특별시 강남구 삼성2동,서울특별시 강남구 대치1동,서울특별시 강남구 대치2동,서울특별시 강남구 대치4동,서울특별시 강남구 역삼1동,서울특별시 강남구 역삼2동,서울특별시 강남구 도곡1동,서울특별시 강남구 도곡2동,서울특별시 강남구 개포1동,서울특별시 강남구 개포2동,서울특별시 강남구 개포4동,서울특별시 강남구 세곡동,서울특별시 강남구 일원본동,서울특별시 강남구 일원1동,서울특별시 강남구 일원2동,서울특별시 강남구 수서동
2020년06월_계_총인구수,"541,233","17,003","23,220","21,551","27,636","27,357","14,684","30,281","25,103","38,167","20,460","35,976","37,244","22,363","34,270","6,829","22,480","18,050","44,800","24,175","16,020","17,947","15,617"
2020년06월_계_연령구간인구수,"541,233","17,003","23,220","21,551","27,636","27,357","14,684","30,281","25,103","38,167","20,460","35,976","37,244","22,363","34,270","6,829","22,480","18,050","44,800","24,175","16,020","17,947","15,617"
2020년06월_계_0~9세,"37,764","1,005",735,"1,158","2,280","2,246",920,"2,508","2,053","2,036",804,"1,098","3,094","1,866","2,974",401,"1,681","1,117","4,753","2,326",772,"1,264",673
2020년06월_계_10~19세,"59,345","1,723",938,"1,312","2,861","2,308","1,430","3,478","5,576","6,506","2,551","1,448","5,530","2,322","4,803",597,"2,619","1,636","4,561","3,398","1,260","1,852",636
2020년06월_계_20~29세,"75,092","2,371","4,725","3,533","3,261","3,910","2,147","3,931","2,513","5,117","3,465","7,616","4,759","3,074","4,075",801,"3,008","2,667","5,467","2,637","2,311","2,000","1,704"
2020년06월_계_30~39세,"83,871","2,474","5,925","4,635","3,565","4,532","2,176","5,139","1,658","3,426","3,373","10,225","5,432","3,376","3,759",725,"2,909","2,838","7,150","3,142","2,318","2,653","2,441"
2020년06월_계_40~49세,"99,535","3,052","3,859","3,711","5,001","4,824","2,382","6,494","6,195","7,530","4,109","5,991","8,664","3,886","6,652",975,"3,747","2,974","7,788","4,622","2,222","3,137","1,720"
2020년06월_계_50~59세,"79,987","2,506","2,808","2,925","4,012","4,041","2,424","4,049","3,756","6,762","3,242","4,260","4,773","3,518","5,484","1,134","3,878","3,067","6,038","3,687","2,605","2,635","2,383"
2020년06월_계_60~69세,"58,290","1,786","2,302","2,219","3,135","2,995","1,800","2,423","1,923","4,057","1,531","3,009","2,576","2,521","3,542","1,199","2,932","2,313","4,886","2,805","2,526","2,486","3,324"
2020년06월_계_70~79세,"33,507","1,403","1,358","1,501","2,424","1,768","1,027","1,668","1,021","2,024","1,039","1,673","1,750","1,251","2,103",707,"1,264","1,038","2,686","1,069","1,395","1,443","1,895"
