,울산광역시 남구,울산광역시 남구 신정1동,울산광역시 남구 신정2동,울산광역시 남구 신정3동,울산광역시 남구 신정4동,울산광역시 남구 신정5동,울산광역시 남구 달동,울산광역시 남구 삼산동,울산광역시 남구 삼호동,울산광역시 남구 무거동,울산광역시 남구 옥동,울산광역시 남구 대현동,울산광역시 남구 수암동,울산광역시 남구 선암동,울산광역시 남구 야음장생포동
2020년08월_계_총인구수,"321,955","19,226","24,961","16,404","21,891","8,870","27,524","48,819","21,309","32,457","26,868","30,770","17,012","14,780","11,064"
2020년08월_계_연령구간인구수,"321,955","19,226","24,961","16,404","21,891","8,870","27,524","48,819","21,309","32,457","26,868","30,770","17,012","14,780","11,064"
2020년08월_계_0~9세,"24,394",866,"2,052","1,340","1,872",478,"1,680","3,645","1,238","2,237","2,086","3,544","1,582","1,228",546
2020년08월_계_10~19세,"31,034","1,147","3,154","1,219","2,375",599,"2,181","4,463","1,811","3,641","3,339","3,301","1,872","1,326",606
2020년08월_계_20~29세,"46,135","2,684","3,333","2,151","2,966","1,395","4,181","7,788","3,305","5,773","3,783","3,491","2,311","1,861","1,113"
2020년08월_계_30~39세,"42,934","2,297","2,926","2,093","2,861","1,250","3,965","7,814","2,319","3,663","3,177","4,766","2,383","2,040","1,380"
2020년08월_계_40~49세,"52,181","2,540","4,409","2,501","3,741","1,380","4,192","8,474","3,149","5,393","4,325","5,516","2,675","2,420","1,466"
2020년08월_계_50~59세,"62,213","3,869","4,766","3,288","3,851","1,765","5,411","9,304","4,772","6,651","5,498","4,933","3,280","2,752","2,073"
2020년08월_계_60~69세,"40,596","3,558","2,710","2,381","2,676","1,245","3,826","5,183","2,954","3,260","3,204","3,328","2,012","2,059","2,200"
2020년08월_계_70~79세,"16,256","1,676","1,194","1,018","1,139",573,"1,430","1,588","1,230","1,287","1,063","1,404",644,782,"1,228"
2020년08월_계_80~89세,"5,510",526,355,354,358,163,591,486,476,488,355,443,225,281,409
2020년08월_계_90~99세,668,57,61,56,49,21,62,70,55,63,38,41,28,28,39
2020년08월_계_100세 이상,34,6,1,3,3,1,5,4,0,1,0,3,0,3,4
2020년08월_남_총인구수,"164,160","9,783","12,802","8,345","11,090","4,712","13,889","25,202","10,871","16,623","13,457","15,375","8,538","7,592","5,881"
2020년08월_남_연령구간인구수,"164,160","9,783","12,802","8,345","11,090","4,712","13,889","25,202","10,871","16,623","13,457","15,375","8,538","7,592","5,881"
2020년08월_남_0~9세,"12,546",440,"1,090",693,972,248,875,"1,849",694,"1,155","1,058","1,769",797,637,269
2020년08월_남_10~19세,"16,385",580,"1,718",658,"1,229",311,"1,159","2,308",958,"1,898","1,824","1,710","1,001",695,336
2020년08월_남_20~29세,"25,747","1,535","1,882","1,176","1,648",821,"2,320","4,270","1,853","3,303","2,180","1,852","1,246","1,010",651
2020년08월_남_30~39세,"22,767","1,315","1,511","1,090","1,495",707,"2,142","4,239","1,273","1,975","1,572","2,345","1,206","1,085",812
2020년08월_남_40~49세,"25,448","1,347","2,033","1,278","1,806",739,"2,090","4,136","1,536","2,483","1,877","2,761","1,236","1,247",879
2020년08월_남_50~59세,"31,347","1,921","2,476","1,671","1,960",913,"2,593","4,721","2,389","3,355","2,681","2,483","1,642","1,384","1,158"
2020년08월_남_60~69세,"20,157","1,684","1,358","1,140","1,310",626,"1,852","2,665","1,459","1,670","1,631","1,620","1,028","1,048","1,066"
2020년08월_남_70~79세,"7,763",768,599,486,525,283,657,840,547,609,518,670,311,386,564
2020년08월_남_80~89세,"1,873",185,126,140,132,61,188,159,151,165,110,156,68,93,139
2020년08월_남_90~99세,118,7,9,11,12,3,12,14,11,10,6,9,3,4,7
2020년08월_남_100세 이상,9,1,0,2,1,0,1,1,0,0,0,0,0,3,0
2020년08월_여_총인구수,"157,795","9,443","12,159","8,059","10,801","4,158","13,635","23,617","10,438","15,834","13,411","15,395","8,474","7,188","5,183"
2020년08월_여_연령구간인구수,"157,795","9,443","12,159","8,059","10,801","4,158","13,635","23,617","10,438","15,834","13,411","15,395","8,474","7,188","5,183"
2020년08월_여_0~9세,"11,848",426,962,647,900,230,805,"1,796",544,"1,082","1,028","1,775",785,591,277
2020년08월_여_10~19세,"14,649",567,"1,436",561,"1,146",288,"1,022","2,155",853,"1,743","1,515","1,591",871,631,270
2020년08월_여_20~29세,"20,388","1,149","1,451",975,"1,318",574,"1,861","3,518","1,452","2,470","1,603","1,639","1,065",851,462
2020년08월_여_30~39세,"20,167",982,"1,415","1,003","1,366",543,"1,823","3,575","1,046","1,688","1,605","2,421","1,177",955,568
2020년08월_여_40~49세,"26,733","1,193","2,376","1,223","1,935",641,"2,102","4,338","1,613","2,910","2,448","2,755","1,439","1,173",587
2020년08월_여_50~59세,"30,866","1,948","2,290","1,617","1,891",852,"2,818","4,583","2,383","3,296","2,817","2,450","1,638","1,368",915
2020년08월_여_60~69세,"20,439","1,874","1,352","1,241","1,366",619,"1,974","2,518","1,495","1,590","1,573","1,708",984,"1,011","1,134"
2020년08월_여_70~79세,"8,493",908,595,532,614,290,773,748,683,678,545,734,333,396,664
2020년08월_여_80~89세,"3,637",341,229,214,226,102,403,327,325,323,245,287,157,188,270
2020년08월_여_90~99세,550,50,52,45,37,18,50,56,44,53,32,32,25,24,32
2020년08월_여_100세 이상,25,5,1,1,2,1,4,3,0,1,0,3,0,0,4
