,경기도,경기도 수원시,경기도 수원시 장안구,경기도 수원시 권선구,경기도 수원시 팔달구,경기도 수원시 영통구,경기도 성남시,경기도 성남시 수정구,경기도 성남시 중원구,경기도 성남시 분당구,경기도 의정부시,경기도 안양시,경기도 안양시 만안구,경기도 안양시 동안구,경기도 부천시,경기도 광명시,경기도 평택시,경기도 동두천시,경기도 안산시,경기도 안산시 상록구,경기도 안산시 단원구,경기도 고양시,경기도 고양시 덕양구,경기도 고양시 일산동구,경기도 고양시 일산서구,경기도 과천시,경기도 구리시,경기도 남양주시,경기도 오산시,경기도 시흥시,경기도 군포시,경기도 의왕시,경기도 하남시,경기도 용인시,경기도 용인시 처인구,경기도 용인시 기흥구,경기도 용인시 수지구,경기도 파주시,경기도 이천시,경기도 안성시,경기도 김포시,경기도 화성시,경기도 광주시,경기도 양주시,경기도 포천시,경기도 여주시,경기도 연천군,경기도 가평군,경기도 양평군
2020년08월_계_총인구수,"13,370,714","1,190,074","274,984","370,337","175,063","369,690","940,668","239,043","216,969","484,656","456,660","554,857","240,946","313,911","822,865","308,678","527,166","93,968","653,733","348,898","304,835","1,076,406","473,689","299,138","303,579","61,902","197,889","709,881","228,768","489,077","275,508","162,751","285,693","1,075,659","258,291","441,109","376,259","459,158","219,537","186,104","458,505","842,864","379,480","229,052","147,854","111,438","43,542","62,605","118,372"
2020년08월_계_연령구간인구수,"13,370,714","1,190,074","274,984","370,337","175,063","369,690","940,668","239,043","216,969","484,656","456,660","554,857","240,946","313,911","822,865","308,678","527,166","93,968","653,733","348,898","304,835","1,076,406","473,689","299,138","303,579","61,902","197,889","709,881","228,768","489,077","275,508","162,751","285,693","1,075,659","258,291","441,109","376,259","459,158","219,537","186,104","458,505","842,864","379,480","229,052","147,854","111,438","43,542","62,605","118,372"
2020년08월_계_0~9세,"1,161,588","99,782","18,887","33,405","9,762","37,728","70,014","15,887","13,557","40,570","34,502","40,464","15,954","24,510","58,859","24,396","48,636","6,477","45,303","23,734","21,569","83,365","38,824","21,202","23,339","5,006","15,600","66,081","24,291","47,612","21,403","13,334","30,131","102,947","21,519","43,937","37,491","44,530","19,254","14,378","53,693","105,676","35,633","20,127","8,817","7,581","2,819","3,467","7,410"
2020년08월_계_10~19세,"1,338,833","119,718","29,034","33,806","14,132","42,746","88,614","17,655","16,881","54,078","42,696","53,331","19,216","34,115","71,836","31,505","52,815","8,660","65,242","34,667","30,575","106,177","41,773","30,011","34,393","6,307","18,372","77,676","24,888","49,714","27,097","14,802","24,418","124,029","27,210","51,217","45,602","48,444","23,815","18,579","46,500","95,459","33,854","24,167","12,599","9,634","3,204","4,754","9,927"
2020년08월_계_20~29세,"1,795,440","186,891","44,070","54,840","28,758","59,223","132,374","34,748","31,239","66,387","63,593","78,686","34,898","43,788","118,205","39,788","71,770","11,218","106,040","57,565","48,475","150,724","62,750","44,929","43,045","8,562","27,331","84,304","30,983","68,002","38,475","22,945","34,691","136,766","34,327","56,051","46,388","56,017","29,894","22,190","50,039","101,796","44,828","27,138","17,907","12,116","5,363","6,231","10,573"
2020년08월_계_30~39세,"1,912,042","181,054","33,184","59,220","24,711","63,939","137,587","35,609","31,189","70,789","59,722","77,768","33,368","44,400","117,685","43,173","78,801","10,250","85,882","43,986","41,896","142,424","67,123","38,369","36,932","8,540","26,757","90,335","39,348","75,635","39,082","22,485","48,985","147,568","34,126","60,889","52,553","66,798","30,719","23,175","73,392","150,901","58,456","28,147","14,731","11,679","4,257","5,822","10,884"
2020년08월_계_40~49세,"2,297,528","204,192","46,090","61,834","27,569","68,699","158,394","37,401","33,469","87,524","74,508","89,152","35,604","53,548","130,764","53,270","92,099","14,429","109,360","58,216","51,144","183,665","78,761","51,786","53,118","9,484","33,028","129,872","43,015","88,844","45,110","24,810","50,045","200,620","43,424","84,333","72,863","79,704","34,858","30,131","85,274","161,212","66,101","39,411","20,792","16,027","5,017","7,974","16,366"
2020년08월_계_50~59세,"2,223,814","196,509","49,329","62,455","30,698","54,027","155,885","40,964","38,775","76,146","79,676","98,420","43,938","54,482","148,861","51,410","85,691","16,366","127,324","68,249","59,075","193,998","82,366","55,720","55,912","10,881","35,840","115,751","32,915","85,774","48,395","29,585","41,252","163,261","42,992","65,728","54,541","71,454","35,197","31,200","65,406","113,082","62,852","37,802","29,357","20,091","7,200","11,454","20,925"
2020년08월_계_60~69세,"1,486,778","117,078","30,027","38,847","21,961","26,243","111,153","32,526","30,111","48,516","55,323","69,324","33,732","35,592","107,827","37,943","53,105","12,896","68,805","36,448","32,357","117,199","55,091","31,648","30,460","7,194","23,798","80,814","19,293","44,596","32,315","20,882","33,836","103,834","30,258","40,427","33,149","47,668","25,150","24,443","47,306","66,942","46,646","28,113","23,777","18,069","7,406","11,876","22,167"
2020년08월_계_70~79세,"759,138","56,151","15,685","17,317","11,864","11,285","57,561","16,917","15,110","25,534","30,936","31,482","16,342","15,140","46,068","18,288","28,329","8,784","29,440","16,669","12,771","61,659","30,210","15,484","15,965","3,666","11,627","44,216","9,600","18,909","14,991","9,018","15,675","65,414","15,935","26,155","23,324","28,560","13,010","13,520","25,225","31,572","21,703","16,192","12,495","10,184","5,054","6,860","12,949"
