,서울특별시 강남구,서울특별시 강남구 신사동,서울특별시 강남구 논현1동,서울특별시 강남구 논현2동,서울특별시 강남구 압구정동,서울특별시 강남구 청담동,서울특별시 강남구 삼성1동,서울특별시 강남구 삼성2동,서울특별시 강남구 대치1동,서울특별시 강남구 대치2동,서울특별시 강남구 대치4동,서울특별시 강남구 역삼1동,서울특별시 강남구 역삼2동,서울특별시 강남구 도곡1동,서울특별시 강남구 도곡2동,서울특별시 강남구 개포1동,서울특별시 강남구 개포2동,서울특별시 강남구 개포4동,서울특별시 강남구 세곡동,서울특별시 강남구 일원본동,서울특별시 강남구 일원1동,서울특별시 강남구 일원2동,서울특별시 강남구 수서동
2020년09월_계_총인구수,"539,235","16,890","23,108","21,772","27,443","27,127","13,795","30,236","25,102","38,053","20,592","36,168","37,175","22,212","34,239","6,762","22,405","18,231","44,686","24,053","15,886","17,854","15,446"
2020년09월_계_연령구간인구수,"539,235","16,890","23,108","21,772","27,443","27,127","13,795","30,236","25,102","38,053","20,592","36,168","37,175","22,212","34,239","6,762","22,405","18,231","44,686","24,053","15,886","17,854","15,446"
2020년09월_계_0~9세,"37,109",986,711,"1,148","2,194","2,200",872,"2,478","2,027","1,992",767,"1,084","3,019","1,805","2,997",390,"1,674","1,128","4,652","2,295",772,"1,260",658
2020년09월_계_10~19세,"59,356","1,716",914,"1,337","2,835","2,276","1,339","3,490","5,577","6,551","2,636","1,573","5,575","2,321","4,765",612,"2,588","1,639","4,574","3,374","1,237","1,820",607
2020년09월_계_20~29세,"74,411","2,318","4,694","3,580","3,222","3,833","1,985","3,905","2,502","5,081","3,507","7,617","4,706","3,017","4,052",766,"2,961","2,678","5,467","2,623","2,259","1,972","1,666"
2020년09월_계_30~39세,"82,606","2,435","5,872","4,602","3,468","4,505","2,022","5,043","1,621","3,329","3,353","10,194","5,351","3,318","3,710",702,"2,866","2,840","7,031","3,059","2,271","2,623","2,391"
2020년09월_계_40~49세,"99,286","3,031","3,818","3,785","4,950","4,811","2,258","6,507","6,199","7,474","4,139","6,056","8,698","3,873","6,612",975,"3,720","2,995","7,787","4,575","2,223","3,102","1,698"
2020년09월_계_50~59세,"79,904","2,509","2,832","2,968","4,089","3,998","2,240","4,088","3,792","6,758","3,230","4,262","4,800","3,526","5,505","1,115","3,861","3,099","6,026","3,712","2,550","2,619","2,325"
2020년09월_계_60~69세,"58,719","1,799","2,327","2,245","3,139","2,981","1,702","2,445","1,927","4,102","1,561","3,042","2,584","2,549","3,563","1,199","2,995","2,384","4,947","2,839","2,544","2,497","3,348"
2020년09월_계_70~79세,"33,781","1,401","1,350","1,539","2,422","1,781","1,004","1,674","1,041","2,051","1,056","1,668","1,758","1,245","2,139",707,"1,300","1,056","2,724","1,082","1,400","1,462","1,921"
2020년09월_계_80~89세,"11,553",595,501,458,942,590,299,508,339,581,296,550,565,455,742,235,347,340,"1,214",384,517,423,672
2020년09월_계_90~99세,"2,221",91,69,90,163,125,65,85,63,111,38,98,99,95,139,49,84,65,252,106,107,72,155
2020년09월_계_100세 이상,289,9,20,20,19,27,9,13,14,23,9,24,20,8,15,12,9,7,12,4,6,4,5
2020년09월_남_총인구수,"257,961","7,841","10,821","10,107","12,638","12,690","6,819","14,376","12,601","19,341","9,709","17,540","17,442","10,518","15,898","3,268","10,820","8,948","21,260","11,844","7,798","8,643","7,039"
2020년09월_남_연령구간인구수,"257,961","7,841","10,821","10,107","12,638","12,690","6,819","14,376","12,601","19,341","9,709","17,540","17,442","10,518","15,898","3,268","10,820","8,948","21,260","11,844","7,798","8,643","7,039"
2020년09월_남_0~9세,"19,279",522,357,593,"1,048","1,189",469,"1,343","1,103","1,082",384,554,"1,558",876,"1,543",201,844,593,"2,332","1,265",401,672,350
2020년09월_남_10~19세,"30,915",862,433,696,"1,357","1,205",765,"1,906","3,133","3,894","1,417",779,"2,656","1,067","2,085",301,"1,260",850,"2,239","1,911",698,"1,108",293
2020년09월_남_20~29세,"35,626","1,065","2,115","1,585","1,506","1,746","1,077","1,851","1,263","2,742","1,679","3,306","2,045","1,407","1,864",390,"1,516","1,365","2,630","1,378","1,182","1,063",851
2020년09월_남_30~39세,"37,859","1,075","2,765","2,050","1,500","1,956",942,"2,100",622,"1,541","1,492","5,088","2,296","1,512","1,513",324,"1,354","1,426","3,255","1,406","1,185","1,252","1,205"
2020년09월_남_40~49세,"46,165","1,338","1,846","1,816","2,245","2,202","1,040","2,986","2,740","3,182","1,789","3,064","4,028","1,839","2,976",466,"1,703","1,429","3,844","2,114","1,137","1,490",891
2020년09월_남_50~59세,"39,902","1,235","1,405","1,448","2,018","1,876","1,075","2,080","2,113","3,558","1,625","2,225","2,604","1,706","2,754",555,"1,868","1,515","2,938","1,792","1,210","1,263","1,039"
2020년09월_남_60~69세,"26,833",826,"1,011",964,"1,359","1,372",793,"1,102",921,"2,029",707,"1,440","1,157","1,254","1,687",555,"1,432","1,114","2,218","1,304","1,147","1,054","1,387"
2020년09월_남_70~79세,"15,957",606,651,722,"1,115",845,496,743,530,"1,053",468,804,799,633,"1,085",357,690,490,"1,312",528,653,597,780
2020년09월_남_80~89세,"4,847",284,216,206,445,262,140,243,159,238,139,252,265,190,353,107,139,151,431,129,160,130,208
2020년09월_남_90~99세,522,27,19,21,43,31,20,20,14,19,7,23,32,31,36,11,13,14,56,16,24,14,31
2020년09월_남_100세 이상,56,1,3,6,2,6,2,2,3,3,2,5,2,3,2,1,1,1,5,1,1,0,4
2020년09월_여_총인구수,"281,274","9,049","12,287","11,665","14,805","14,437","6,976","15,860","12,501","18,712","10,883","18,628","19,733","11,694","18,341","3,494","11,585","9,283","23,426","12,209","8,088","9,211","8,407"
2020년09월_여_연령구간인구수,"281,274","9,049","12,287","11,665","14,805","14,437","6,976","15,860","12,501","18,712","10,883","18,628","19,733","11,694","18,341","3,494","11,585","9,283","23,426","12,209","8,088","9,211","8,407"
2020년09월_여_0~9세,"17,830",464,354,555,"1,146","1,011",403,"1,135",924,910,383,530,"1,461",929,"1,454",189,830,535,"2,320","1,030",371,588,308
2020년09월_여_10~19세,"28,441",854,481,641,"1,478","1,071",574,"1,584","2,444","2,657","1,219",794,"2,919","1,254","2,680",311,"1,328",789,"2,335","1,463",539,712,314
2020년09월_여_20~29세,"38,785","1,253","2,579","1,995","1,716","2,087",908,"2,054","1,239","2,339","1,828","4,311","2,661","1,610","2,188",376,"1,445","1,313","2,837","1,245","1,077",909,815
2020년09월_여_30~39세,"44,747","1,360","3,107","2,552","1,968","2,549","1,080","2,943",999,"1,788","1,861","5,106","3,055","1,806","2,197",378,"1,512","1,414","3,776","1,653","1,086","1,371","1,186"
2020년09월_여_40~49세,"53,121","1,693","1,972","1,969","2,705","2,609","1,218","3,521","3,459","4,292","2,350","2,992","4,670","2,034","3,636",509,"2,017","1,566","3,943","2,461","1,086","1,612",807
2020년09월_여_50~59세,"40,002","1,274","1,427","1,520","2,071","2,122","1,165","2,008","1,679","3,200","1,605","2,037","2,196","1,820","2,751",560,"1,993","1,584","3,088","1,920","1,340","1,356","1,286"
2020년09월_여_60~69세,"31,886",973,"1,316","1,281","1,780","1,609",909,"1,343","1,006","2,073",854,"1,602","1,427","1,295","1,876",644,"1,563","1,270","2,729","1,535","1,397","1,443","1,961"
2020년09월_여_70~79세,"17,824",795,699,817,"1,307",936,508,931,511,998,588,864,959,612,"1,054",350,610,566,"1,412",554,747,865,"1,141"
