,서울특별시 서대문구,서울특별시 서대문구 천연동,서울특별시 서대문구 북아현동,서울특별시 서대문구 충현동,서울특별시 서대문구 신촌동,서울특별시 서대문구 연희동,서울특별시 서대문구 홍제제1동,서울특별시 서대문구 홍제제3동,서울특별시 서대문구 홍제제2동,서울특별시 서대문구 홍은제1동,서울특별시 서대문구 홍은제2동,서울특별시 서대문구 남가좌제1동,서울특별시 서대문구 남가좌제2동,서울특별시 서대문구 북가좌제1동,서울특별시 서대문구 북가좌제2동
2020년08월_계_총인구수,"312,632","18,032","16,853","18,913","19,056","37,508","24,501","15,906","14,377","22,891","27,182","15,993","29,969","18,590","32,861"
2020년08월_계_연령구간인구수,"312,632","18,032","16,853","18,913","19,056","37,508","24,501","15,906","14,377","22,891","27,182","15,993","29,969","18,590","32,861"
2020년08월_계_0~9세,"20,389","1,298","1,465",932,780,"1,751","1,606",805,861,"1,474","1,338","2,163","2,705","1,475","1,736"
2020년08월_계_10~19세,"24,072","1,525","1,116","1,263",932,"2,600","1,956","1,159","1,121","1,826","2,224","1,440","2,450","1,970","2,490"
2020년08월_계_20~29세,"50,313","2,286","2,424","3,264","7,197","7,839","3,184","2,118","1,877","2,928","4,240","1,606","4,307","2,186","4,857"
2020년08월_계_30~39세,"45,164","2,466","2,944","2,791","3,171","5,764","3,511","2,019","1,943","2,913","3,542","2,558","4,623","2,479","4,440"
2020년08월_계_40~49세,"47,845","2,888","2,724","2,746","1,999","5,350","3,852","2,240","2,124","3,446","4,086","3,052","4,941","3,325","5,072"
2020년08월_계_50~59세,"49,484","3,026","2,807","3,140","1,999","5,436","4,083","2,719","2,590","4,013","4,591","2,178","4,400","2,996","5,506"
2020년08월_계_60~69세,"38,019","2,165","1,799","2,496","1,380","4,231","3,245","2,305","1,951","3,213","3,710","1,541","3,265","2,171","4,547"
2020년08월_계_70~79세,"24,436","1,466","1,035","1,419","1,006","2,956","2,017","1,631","1,260","1,993","2,231",959,"2,172","1,344","2,947"
2020년08월_계_80~89세,"11,009",773,432,693,482,"1,348",908,803,561,925,"1,053",425,938,557,"1,111"
2020년08월_계_90~99세,"1,617",110,79,131,86,202,127,87,85,142,145,55,145,78,145
2020년08월_계_100세 이상,284,29,28,38,24,31,12,20,4,18,22,16,23,9,10
2020년08월_남_총인구수,"149,803","8,561","8,057","9,098","8,515","18,106","11,508","7,743","6,839","11,089","13,159","7,720","14,445","8,972","15,991"
2020년08월_남_연령구간인구수,"149,803","8,561","8,057","9,098","8,515","18,106","11,508","7,743","6,839","11,089","13,159","7,720","14,445","8,972","15,991"
2020년08월_남_0~9세,"10,444",661,760,468,432,895,811,420,454,741,684,"1,087","1,361",767,903
2020년08월_남_10~19세,"12,042",743,543,623,427,"1,318",950,617,558,932,"1,125",682,"1,209","1,039","1,276"
2020년08월_남_20~29세,"24,185","1,122","1,105","1,565","2,828","4,016","1,566","1,052",935,"1,460","2,145",790,"2,097","1,053","2,451"
2020년08월_남_30~39세,"22,451","1,206","1,443","1,389","1,567","2,910","1,694","1,068",967,"1,496","1,851","1,144","2,260","1,162","2,294"
2020년08월_남_40~49세,"23,634","1,414","1,358","1,389",979,"2,553","1,847","1,127","1,013","1,685","2,012","1,617","2,497","1,656","2,487"
2020년08월_남_50~59세,"23,986","1,493","1,393","1,554",991,"2,592","1,895","1,360","1,242","1,974","2,198","1,070","2,150","1,431","2,643"
2020년08월_남_60~69세,"17,885","1,032",852,"1,185",635,"1,966","1,501","1,080",932,"1,552","1,699",708,"1,536","1,038","2,169"
2020년08월_남_70~79세,"10,416",586,424,612,428,"1,245",857,674,507,861,994,419,929,586,"1,294"
2020년08월_남_80~89세,"4,223",262,151,271,194,527,349,307,206,339,413,184,365,221,434
2020년08월_남_90~99세,461,34,25,29,27,75,37,29,23,44,35,15,36,17,35
2020년08월_남_100세 이상,76,8,3,13,7,9,1,9,2,5,3,4,5,2,5
2020년08월_여_총인구수,"162,829","9,471","8,796","9,815","10,541","19,402","12,993","8,163","7,538","11,802","14,023","8,273","15,524","9,618","16,870"
2020년08월_여_연령구간인구수,"162,829","9,471","8,796","9,815","10,541","19,402","12,993","8,163","7,538","11,802","14,023","8,273","15,524","9,618","16,870"
2020년08월_여_0~9세,"9,945",637,705,464,348,856,795,385,407,733,654,"1,076","1,344",708,833
2020년08월_여_10~19세,"12,030",782,573,640,505,"1,282","1,006",542,563,894,"1,099",758,"1,241",931,"1,214"
2020년08월_여_20~29세,"26,128","1,164","1,319","1,699","4,369","3,823","1,618","1,066",942,"1,468","2,095",816,"2,210","1,133","2,406"
2020년08월_여_30~39세,"22,713","1,260","1,501","1,402","1,604","2,854","1,817",951,976,"1,417","1,691","1,414","2,363","1,317","2,146"
2020년08월_여_40~49세,"24,211","1,474","1,366","1,357","1,020","2,797","2,005","1,113","1,111","1,761","2,074","1,435","2,444","1,669","2,585"
2020년08월_여_50~59세,"25,498","1,533","1,414","1,586","1,008","2,844","2,188","1,359","1,348","2,039","2,393","1,108","2,250","1,565","2,863"
2020년08월_여_60~69세,"20,134","1,133",947,"1,311",745,"2,265","1,744","1,225","1,019","1,661","2,011",833,"1,729","1,133","2,378"
2020년08월_여_70~79세,"14,020",880,611,807,578,"1,711","1,160",957,753,"1,132","1,237",540,"1,243",758,"1,653"
2020년08월_여_80~89세,"6,786",511,281,422,288,821,559,496,355,586,640,241,573,336,677
2020년08월_여_90~99세,"1,156",76,54,102,59,127,90,58,62,98,110,40,109,61,110
2020년08월_여_100세 이상,208,21,25,25,17,22,11,11,2,13,19,12,18,7,5
