,인천광역시 부평구,인천광역시 부평구 부평1동,인천광역시 부평구 부평2동,인천광역시 부평구 부평3동,인천광역시 부평구 부평4동,인천광역시 부평구 부평5동,인천광역시 부평구 부평6동,인천광역시 부평구 산곡1동,인천광역시 부평구 산곡2동,인천광역시 부평구 산곡3동,인천광역시 부평구 산곡4동,인천광역시 부평구 청천1동,인천광역시 부평구 청천2동,인천광역시 부평구 갈산1동,인천광역시 부평구 갈산2동,인천광역시 부평구 삼산1동,인천광역시 부평구 삼산2동,인천광역시 부평구 부개1동,인천광역시 부평구 부개2동,인천광역시 부평구 부개3동,인천광역시 부평구 일신동,인천광역시 부평구 십정1동,인천광역시 부평구 십정2동
2020년07월_계_총인구수,"501,128","37,780","17,850","13,296","36,999","33,711","14,179","13,151","32,286","22,750","18,282","7,100","34,991","16,892","19,686","34,955","29,800","17,018","17,685","32,552","13,152","13,083","23,930"
2020년07월_계_연령구간인구수,"501,128","37,780","17,850","13,296","36,999","33,711","14,179","13,151","32,286","22,750","18,282","7,100","34,991","16,892","19,686","34,955","29,800","17,018","17,685","32,552","13,152","13,083","23,930"
2020년07월_계_0~9세,"34,451","2,526","1,011",685,"2,697","2,673",972,591,"2,837","1,313","1,254",352,"2,801",934,"1,291","2,598","2,601",933,"1,204","2,033","1,133",767,"1,245"
2020년07월_계_10~19세,"44,363","2,980","1,365",880,"2,456","2,426",837,"1,025","3,839","2,081","1,825",544,"3,078","1,365","1,536","3,727","4,339","1,188","1,621","3,479","1,087","1,053","1,632"
2020년07월_계_20~29세,"71,391","6,214","2,499","1,742","5,869","5,201","2,084","1,744","4,246","2,963","2,720",904,"4,947","2,600","2,625","4,899","3,824","2,202","2,505","5,014","1,709","1,688","3,192"
2020년07월_계_30~39세,"69,330","6,184","2,594","1,751","6,692","6,308","2,204","1,411","3,942","2,500","2,222",841,"5,183","2,254","2,910","4,133","3,154","2,166","2,284","4,160","1,914","1,503","3,020"
2020년07월_계_40~49세,"78,798","5,816","2,732","1,930","5,698","5,421","2,101","1,823","5,617","3,256","2,862","1,107","5,320","2,484","2,595","5,872","6,017","2,459","2,769","5,446","1,915","1,980","3,578"
2020년07월_계_50~59세,"91,388","6,145","3,205","2,443","6,184","5,446","2,450","2,637","5,799","4,180","3,456","1,501","6,489","3,386","3,670","6,624","5,287","3,079","3,270","6,409","2,251","2,566","4,911"
2020년07월_계_60~69세,"64,231","4,516","2,441","2,073","4,262","3,604","1,993","2,207","3,635","3,427","2,323","1,104","4,320","2,314","2,987","4,035","2,716","2,803","2,311","3,526","1,930","1,986","3,718"
2020년07월_계_70~79세,"31,287","2,191","1,417","1,186","2,150","1,743",988,"1,121","1,608","1,872",997,520,"1,922","1,053","1,336","1,894","1,199","1,547","1,184","1,644",840,"1,058","1,817"
