,전라남도 완도군,전라남도 완도군 완도읍,전라남도 완도군 금일읍,전라남도 완도군 노화읍,전라남도 완도군 노화읍넙도출장소,전라남도 완도군 군외면,전라남도 완도군 신지면,전라남도 완도군 고금면,전라남도 완도군 약산면,전라남도 완도군 청산면,전라남도 완도군 청산면모도출장소,전라남도 완도군 소안면,전라남도 완도군 금당면,전라남도 완도군 보길면,전라남도 완도군 생일면
2020년03월_계_총인구수,"50,431","18,382","3,789","4,477",795,"3,331","3,486","4,327","2,397","2,114",226,"2,576","1,003","2,696",832
2020년03월_계_연령구간인구수,"50,431","18,382","3,789","4,477",795,"3,331","3,486","4,327","2,397","2,114",226,"2,576","1,003","2,696",832
2020년03월_계_0~9세,"3,288","1,505",220,357,48,109,133,208,127,70,10,149,40,272,40
2020년03월_계_10~19세,"3,747","1,799",191,377,54,146,225,273,102,106,8,158,56,216,36
2020년03월_계_20~29세,"3,836","1,837",245,293,42,198,221,279,137,132,10,163,68,154,57
2020년03월_계_30~39세,"4,298","1,894",304,429,84,204,211,282,140,149,7,184,63,282,65
2020년03월_계_40~49세,"6,329","2,750",443,573,118,352,422,426,226,180,29,292,99,325,94
2020년03월_계_50~59세,"8,311","3,176",606,695,131,550,602,626,398,375,31,364,174,429,154
2020년03월_계_60~69세,"8,309","2,659",730,609,153,709,619,725,481,397,36,455,163,439,134
2020년03월_계_70~79세,"7,502","1,808",636,655,124,648,615,909,491,387,49,487,188,349,156
2020년03월_계_80~89세,"4,266",842,362,436,36,368,392,530,263,281,40,294,133,207,82
2020년03월_계_90~99세,522,103,50,52,3,46,45,66,32,36,5,29,19,23,13
2020년03월_계_100세 이상,23,9,2,1,2,1,1,3,0,1,1,1,0,0,1
2020년03월_남_총인구수,"25,346","9,276","1,929","2,239",431,"1,657","1,775","2,101","1,216","1,045",116,"1,268",499,"1,362",432
2020년03월_남_연령구간인구수,"25,346","9,276","1,929","2,239",431,"1,657","1,775","2,101","1,216","1,045",116,"1,268",499,"1,362",432
2020년03월_남_0~9세,"1,690",800,109,171,22,61,61,104,81,29,8,69,19,137,19
2020년03월_남_10~19세,"1,931",921,97,202,29,73,118,136,45,55,4,78,35,114,24
2020년03월_남_20~29세,"2,252","1,057",142,174,31,106,141,165,82,90,9,99,43,85,28
2020년03월_남_30~39세,"2,359",958,185,241,52,136,115,153,82,101,3,106,36,149,42
2020년03월_남_40~49세,"3,717","1,459",296,345,80,212,270,249,148,105,21,196,62,203,71
2020년03월_남_50~59세,"4,533","1,660",341,378,73,302,350,355,231,214,17,204,99,227,82
2020년03월_남_60~69세,"4,120","1,295",378,313,71,341,305,358,236,203,21,216,81,235,67
2020년03월_남_70~79세,"3,288",831,269,270,62,312,268,378,215,153,22,202,82,153,71
2020년03월_남_80~89세,"1,364",279,103,137,11,108,137,191,88,88,11,91,38,55,27
2020년03월_남_90~99세,89,15,9,8,0,6,10,12,8,6,0,6,4,4,1
2020년03월_남_100세 이상,3,1,0,0,0,0,0,0,0,1,0,1,0,0,0
2020년03월_여_총인구수,"25,085","9,106","1,860","2,238",364,"1,674","1,711","2,226","1,181","1,069",110,"1,308",504,"1,334",400
2020년03월_여_연령구간인구수,"25,085","9,106","1,860","2,238",364,"1,674","1,711","2,226","1,181","1,069",110,"1,308",504,"1,334",400
2020년03월_여_0~9세,"1,598",705,111,186,26,48,72,104,46,41,2,80,21,135,21
2020년03월_여_10~19세,"1,816",878,94,175,25,73,107,137,57,51,4,80,21,102,12
2020년03월_여_20~29세,"1,584",780,103,119,11,92,80,114,55,42,1,64,25,69,29
2020년03월_여_30~39세,"1,939",936,119,188,32,68,96,129,58,48,4,78,27,133,23
2020년03월_여_40~49세,"2,612","1,291",147,228,38,140,152,177,78,75,8,96,37,122,23
2020년03월_여_50~59세,"3,778","1,516",265,317,58,248,252,271,167,161,14,160,75,202,72
2020년03월_여_60~69세,"4,189","1,364",352,296,82,368,314,367,245,194,15,239,82,204,67
2020년03월_여_70~79세,"4,214",977,367,385,62,336,347,531,276,234,27,285,106,196,85
2020년03월_여_80~89세,"2,902",563,259,299,25,260,255,339,175,193,29,203,95,152,55
2020년03월_여_90~99세,433,88,41,44,3,40,35,54,24,30,5,23,15,19,12
2020년03월_여_100세 이상,20,8,2,1,2,1,1,3,0,0,1,0,0,0,1
