,서울특별시 구로구,서울특별시 구로구 신도림동,서울특별시 구로구 구로제1동,서울특별시 구로구 구로제2동,서울특별시 구로구 구로제3동,서울특별시 구로구 구로제4동,서울특별시 구로구 구로제5동,서울특별시 구로구 가리봉동,서울특별시 구로구 고척제1동,서울특별시 구로구 고척제2동,서울특별시 구로구 개봉제1동,서울특별시 구로구 개봉제2동,서울특별시 구로구 개봉제3동,서울특별시 구로구 오류제1동,서울특별시 구로구 오류제2동,서울특별시 구로구 수궁동,서울특별시 구로구 항동
2021년01월_계_총인구수,"403,518","36,121","21,231","24,544","23,861","20,313","29,287","9,274","23,060","27,268","34,351","31,657","20,727","22,693","38,930","23,914","16,287"
2021년01월_계_연령구간인구수,"403,518","36,121","21,231","24,544","23,861","20,313","29,287","9,274","23,060","27,268","34,351","31,657","20,727","22,693","38,930","23,914","16,287"
2021년01월_계_0~9세,"27,854","3,595","1,872",887,"1,343",811,"1,828",232,"1,316","1,809","2,185","2,154","1,175","1,213","3,224","1,464","2,746"
2021년01월_계_10~19세,"29,970","3,508","1,963","1,439","1,418","1,115","1,591",286,"1,937","2,231","2,446","2,302","1,454","1,216","3,891","1,993","1,180"
2021년01월_계_20~29세,"55,259","4,300","2,821","3,233","4,132","2,826","5,027","1,507","3,293","3,585","4,638","3,852","2,583","4,050","4,644","3,078","1,690"
2021년01월_계_30~39세,"62,904","6,223","3,881","2,926","5,012","2,916","5,431","1,253","2,870","3,295","5,104","4,546","2,759","4,343","5,146","3,301","3,898"
2021년01월_계_40~49세,"62,999","6,526","3,631","3,474","4,028","2,962","4,115","1,170","3,496","4,271","4,949","4,827","3,198","3,180","6,665","3,824","2,683"
2021년01월_계_50~59세,"63,156","5,108","3,010","4,697","3,057","3,513","4,554","1,863","3,920","4,760","5,847","4,972","3,464","3,045","5,680","3,910","1,756"
2021년01월_계_60~69세,"56,252","4,044","2,642","4,049","2,582","3,110","3,779","1,643","3,545","3,988","5,148","5,057","3,489","3,014","5,072","3,621","1,469"
2021년01월_계_70~79세,"31,864","1,992",980,"2,681","1,590","2,125","2,086",870,"1,939","2,343","2,857","2,900","1,813","1,858","3,261","1,958",611
2021년01월_계_80~89세,"11,545",720,361,"1,003",602,826,788,367,647,875,"1,031",915,702,675,"1,165",660,208
2021년01월_계_90~99세,"1,534",95,64,125,76,92,86,60,91,103,137,121,79,94,173,93,45
2021년01월_계_100세 이상,181,10,6,30,21,17,2,23,6,8,9,11,11,5,9,12,1
2021년01월_남_총인구수,"199,243","17,671","10,406","12,381","12,180","9,859","14,227","5,024","11,498","13,493","17,184","15,443","10,130","11,117","18,786","11,810","8,034"
2021년01월_남_연령구간인구수,"199,243","17,671","10,406","12,381","12,180","9,859","14,227","5,024","11,498","13,493","17,184","15,443","10,130","11,117","18,786","11,810","8,034"
