카테고리,강원도 양양군,강원도 양양군 양양읍,강원도 양양군 서면,강원도 양양군 손양면,강원도 양양군 현북면,강원도 양양군 현남면,강원도 양양군 강현면
2021년03월_계_총인구수,"27,956","12,632","2,864","2,310","2,570","3,009","4,571"
2021년03월_계_연령구간인구수,"27,956","12,632","2,864","2,310","2,570","3,009","4,571"
2021년03월_계_0~9세,"1,334",847,63,69,79,96,180
2021년03월_계_10~19세,"1,815","1,142",164,87,93,114,215
2021년03월_계_20~29세,"2,387","1,244",216,196,154,157,420
2021년03월_계_30~39세,"2,315","1,265",157,144,194,215,340
2021년03월_계_40~49세,"3,537","1,944",309,238,238,315,493
2021년03월_계_50~59세,"5,017","2,169",530,446,473,502,897
2021년03월_계_60~69세,"5,676","2,058",668,495,649,734,"1,072"
2021년03월_계_70~79세,"3,618","1,223",471,373,423,508,620
2021년03월_계_80~89세,"1,915",621,243,232,231,308,280
2021년03월_계_90~99세,328,115,42,28,34,57,52
2021년03월_계_100세 이상,14,4,1,2,2,3,2
2021년03월_남_총인구수,"14,233","6,393","1,474","1,171","1,321","1,558","2,316"
2021년03월_남_연령구간인구수,"14,233","6,393","1,474","1,171","1,321","1,558","2,316"
2021년03월_남_0~9세,676,424,36,35,38,51,92
2021년03월_남_10~19세,974,621,91,37,53,59,113
2021년03월_남_20~29세,"1,414",737,129,117,97,98,236
2021년03월_남_30~39세,"1,254",650,95,74,118,123,194
2021년03월_남_40~49세,"1,927",976,173,148,147,203,280
2021년03월_남_50~59세,"2,693","1,144",302,246,229,289,483
2021년03월_남_60~69세,"2,843","1,010",326,253,342,384,528
2021년03월_남_70~79세,"1,678",575,213,165,196,241,288
2021년03월_남_80~89세,705,229,103,89,92,105,87
2021년03월_남_90~99세,68,26,6,7,9,5,15
2021년03월_남_100세 이상,1,1,0,0,0,0,0
2021년03월_여_총인구수,"13,723","6,239","1,390","1,139","1,249","1,451","2,255"
2021년03월_여_연령구간인구수,"13,723","6,239","1,390","1,139","1,249","1,451","2,255"
2021년03월_여_0~9세,658,423,27,34,41,45,88
2021년03월_여_10~19세,841,521,73,50,40,55,102
2021년03월_여_20~29세,973,507,87,79,57,59,184
2021년03월_여_30~39세,"1,061",615,62,70,76,92,146
2021년03월_여_40~49세,"1,610",968,136,90,91,112,213
2021년03월_여_50~59세,"2,324","1,025",228,200,244,213,414
2021년03월_여_60~69세,"2,833","1,048",342,242,307,350,544
2021년03월_여_70~79세,"1,940",648,258,208,227,267,332
2021년03월_여_80~89세,"1,210",392,140,143,139,203,193
2021년03월_여_90~99세,260,89,36,21,25,52,37
2021년03월_여_100세 이상,13,3,1,2,2,3,2
