카테고리,서울특별시 구로구,서울특별시 구로구 신도림동,서울특별시 구로구 구로제1동,서울특별시 구로구 구로제2동,서울특별시 구로구 구로제3동,서울특별시 구로구 구로제4동,서울특별시 구로구 구로제5동,서울특별시 구로구 가리봉동,서울특별시 구로구 고척제1동,서울특별시 구로구 고척제2동,서울특별시 구로구 개봉제1동,서울특별시 구로구 개봉제2동,서울특별시 구로구 개봉제3동,서울특별시 구로구 오류제1동,서울특별시 구로구 오류제2동,서울특별시 구로구 수궁동,서울특별시 구로구 항동
2021년04월_계_총인구수,"400,399","35,820","21,062","24,167","23,691","20,018","29,389","9,071","22,755","27,035","34,197","31,271","20,455","22,767","38,584","23,767","16,350"
2021년04월_계_연령구간인구수,"400,399","35,820","21,062","24,167","23,691","20,018","29,389","9,071","22,755","27,035","34,197","31,271","20,455","22,767","38,584","23,767","16,350"
2021년04월_계_0~9세,"27,064","3,520","1,811",843,"1,266",782,"1,787",238,"1,273","1,750","2,168","2,083","1,136","1,199","3,065","1,415","2,728"
2021년04월_계_10~19세,"29,669","3,507","1,957","1,423","1,386","1,084","1,575",274,"1,897","2,200","2,378","2,267","1,413","1,217","3,880","1,975","1,236"
2021년04월_계_20~29세,"55,115","4,195","2,804","3,199","4,233","2,843","5,131","1,537","3,229","3,530","4,608","3,810","2,560","4,093","4,607","3,089","1,647"
2021년04월_계_30~39세,"62,080","6,139","3,771","2,885","4,947","2,878","5,482","1,252","2,821","3,225","5,078","4,392","2,669","4,406","5,116","3,236","3,783"
2021년04월_계_40~49세,"62,311","6,483","3,617","3,383","3,987","2,892","4,095","1,113","3,424","4,233","4,930","4,762","3,127","3,174","6,546","3,765","2,780"
2021년04월_계_50~59세,"62,668","5,094","2,996","4,628","3,042","3,455","4,549","1,808","3,881","4,688","5,815","4,885","3,449","3,025","5,653","3,923","1,777"
2021년04월_계_60~69세,"56,530","4,072","2,671","4,054","2,591","3,068","3,802","1,608","3,544","4,051","5,178","5,102","3,496","3,021","5,094","3,658","1,520"
2021년04월_계_70~79세,"31,716","1,975",984,"2,627","1,567","2,083","2,088",834,"1,928","2,333","2,876","2,923","1,815","1,837","3,280","1,949",617
2021년04월_계_80~89세,"11,713",735,381,"1,001",605,844,792,356,664,919,"1,028",924,706,702,"1,178",661,217
2021년04월_계_90~99세,"1,479",95,66,120,66,89,85,48,92,102,134,117,79,90,162,92,42
2021년04월_계_100세 이상,54,5,4,4,1,0,3,3,2,4,4,6,5,3,3,4,3
2021년04월_남_총인구수,"197,653","17,506","10,333","12,247","12,116","9,707","14,261","4,937","11,318","13,371","17,106","15,257","9,995","11,150","18,591","11,720","8,038"
2021년04월_남_연령구간인구수,"197,653","17,506","10,333","12,247","12,116","9,707","14,261","4,937","11,318","13,371","17,106","15,257","9,995","11,150","18,591","11,720","8,038"
2021년04월_남_0~9세,"13,797","1,760",934,436,666,410,917,128,651,872,"1,068","1,081",549,590,"1,571",731,"1,433"
