카테고리,경상북도 영양군,경상북도 영양군 영양읍,경상북도 영양군 입암면,경상북도 영양군 청기면,경상북도 영양군 일월면,경상북도 영양군 수비면,경상북도 영양군 석보면
2021년12월_계_총인구수,"16,320","7,125","2,085","1,692","1,764","1,663","1,991"
2021년12월_계_연령구간인구수,"16,320","7,125","2,085","1,692","1,764","1,663","1,991"
2021년12월_계_0~9세,675,410,68,49,36,59,53
2021년12월_계_10~19세,892,526,73,43,77,100,73
2021년12월_계_20~29세,"1,065",607,91,74,107,90,96
2021년12월_계_30~39세,993,606,107,58,73,64,85
2021년12월_계_40~49세,"1,602",895,174,119,121,148,145
2021년12월_계_50~59세,"2,846","1,218",338,267,344,298,381
2021년12월_계_60~69세,"3,611","1,329",521,451,415,390,505
2021년12월_계_70~79세,"2,583",886,395,357,295,277,373
2021년12월_계_80~89세,"1,772",538,276,240,261,210,247
2021년12월_계_90~99세,268,109,41,31,33,26,28
2021년12월_계_100세 이상,13,1,1,3,2,1,5
2021년12월_남_총인구수,"8,144","3,546","1,006",860,873,844,"1,015"
2021년12월_남_연령구간인구수,"8,144","3,546","1,006",860,873,844,"1,015"
2021년12월_남_0~9세,350,224,31,25,15,33,22
2021년12월_남_10~19세,462,265,40,22,42,50,43
2021년12월_남_20~29세,609,351,48,41,57,57,55
2021년12월_남_30~39세,547,329,57,34,44,33,50
2021년12월_남_40~49세,949,498,117,83,67,91,93
2021년12월_남_50~59세,"1,606",658,187,170,190,177,224
2021년12월_남_60~69세,"1,837",651,266,222,222,201,275
2021년12월_남_70~79세,"1,127",375,163,175,135,118,161
2021년12월_남_80~89세,592,175,88,82,89,74,84
2021년12월_남_90~99세,63,20,8,6,11,10,8
2021년12월_남_100세 이상,2,0,1,0,1,0,0
2021년12월_여_총인구수,"8,176","3,579","1,079",832,891,819,976
2021년12월_여_연령구간인구수,"8,176","3,579","1,079",832,891,819,976
2021년12월_여_0~9세,325,186,37,24,21,26,31
2021년12월_여_10~19세,430,261,33,21,35,50,30
2021년12월_여_20~29세,456,256,43,33,50,33,41
2021년12월_여_30~39세,446,277,50,24,29,31,35
2021년12월_여_40~49세,653,397,57,36,54,57,52
2021년12월_여_50~59세,"1,240",560,151,97,154,121,157
2021년12월_여_60~69세,"1,774",678,255,229,193,189,230
2021년12월_여_70~79세,"1,456",511,232,182,160,159,212
2021년12월_여_80~89세,"1,180",363,188,158,172,136,163
2021년12월_여_90~99세,205,89,33,25,22,16,20
2021년12월_여_100세 이상,11,1,0,3,1,1,5
