카테고리,서울특별시 서대문구,서울특별시 서대문구 천연동,서울특별시 서대문구 북아현동,서울특별시 서대문구 충현동,서울특별시 서대문구 신촌동,서울특별시 서대문구 연희동,서울특별시 서대문구 홍제제1동,서울특별시 서대문구 홍제제3동,서울특별시 서대문구 홍제제2동,서울특별시 서대문구 홍은제1동,서울특별시 서대문구 홍은제2동,서울특별시 서대문구 남가좌제1동,서울특별시 서대문구 남가좌제2동,서울특별시 서대문구 북가좌제1동,서울특별시 서대문구 북가좌제2동
2020년09월_계_총인구수,"313,212","17,968","16,747","20,169","19,184","37,101","24,456","15,882","14,325","22,840","27,148","15,981","30,016","18,568","32,827"
2020년09월_계_연령구간인구수,"313,212","17,968","16,747","20,169","19,184","37,101","24,456","15,882","14,325","22,840","27,148","15,981","30,016","18,568","32,827"
2020년09월_계_0~9세,"20,518","1,296","1,457","1,162",772,"1,733","1,593",799,855,"1,464","1,331","2,164","2,692","1,469","1,731"
2020년09월_계_10~19세,"23,946","1,510","1,092","1,346",917,"2,549","1,924","1,148","1,092","1,813","2,207","1,448","2,444","1,975","2,481"
2020년09월_계_20~29세,"50,508","2,284","2,412","3,381","7,324","7,804","3,193","2,119","1,883","2,909","4,243","1,598","4,322","2,181","4,855"
2020년09월_계_30~39세,"45,239","2,448","2,920","3,093","3,191","5,682","3,489","1,999","1,941","2,895","3,541","2,531","4,640","2,447","4,422"
2020년09월_계_40~49세,"47,815","2,877","2,683","2,952","1,993","5,266","3,848","2,229","2,100","3,443","4,048","3,080","4,909","3,323","5,064"
2020년09월_계_50~59세,"49,583","3,018","2,816","3,284","2,001","5,396","4,073","2,727","2,581","4,015","4,600","2,158","4,430","3,008","5,476"
2020년09월_계_60~69세,"38,237","2,162","1,799","2,621","1,389","4,205","3,276","2,305","1,958","3,223","3,721","1,542","3,288","2,169","4,579"
2020년09월_계_70~79세,"24,390","1,461","1,032","1,446","1,002","2,900","2,004","1,635","1,262","1,995","2,235",963,"2,172","1,339","2,944"
2020년09월_계_80~89세,"11,057",774,427,706,486,"1,332",917,815,563,926,"1,053",424,948,569,"1,117"
2020년09월_계_90~99세,"1,635",109,81,140,86,203,127,86,86,139,147,57,147,79,148
2020년09월_계_100세 이상,284,29,28,38,23,31,12,20,4,18,22,16,24,9,10
2020년09월_남_총인구수,"149,993","8,526","8,006","9,703","8,543","17,912","11,490","7,711","6,811","11,068","13,114","7,699","14,479","8,958","15,973"
2020년09월_남_연령구간인구수,"149,993","8,526","8,006","9,703","8,543","17,912","11,490","7,711","6,811","11,068","13,114","7,699","14,479","8,958","15,973"
2020년09월_남_0~9세,"10,476",658,757,576,426,877,799,408,451,737,679,"1,084","1,355",768,901
2020년09월_남_10~19세,"11,978",739,537,663,426,"1,290",940,615,548,923,"1,110",684,"1,201","1,033","1,269"
2020년09월_남_20~29세,"24,258","1,120","1,093","1,629","2,855","4,003","1,574","1,047",932,"1,453","2,145",785,"2,104","1,058","2,460"
2020년09월_남_30~39세,"22,446","1,190","1,429","1,525","1,584","2,863","1,680","1,051",967,"1,484","1,843","1,121","2,275","1,142","2,292"
2020년09월_남_40~49세,"23,632","1,409","1,342","1,491",973,"2,524","1,841","1,123","1,000","1,692","1,991","1,634","2,484","1,651","2,477"
2020년09월_남_50~59세,"24,046","1,489","1,393","1,630",994,"2,566","1,898","1,371","1,234","1,973","2,198","1,061","2,166","1,441","2,632"
2020년09월_남_60~69세,"17,973","1,030",851,"1,248",632,"1,959","1,513","1,078",935,"1,556","1,706",710,"1,550","1,035","2,170"
2020년09월_남_70~79세,"10,407",583,428,626,427,"1,220",858,672,513,859,993,421,934,582,"1,291"
2020년09월_남_80~89세,"4,234",266,146,271,194,527,350,308,205,344,411,178,368,228,438
2020년09월_남_90~99세,467,34,27,31,25,74,36,29,24,42,35,17,37,18,38
2020년09월_남_100세 이상,76,8,3,13,7,9,1,9,2,5,3,4,5,2,5
2020년09월_여_총인구수,"163,219","9,442","8,741","10,466","10,641","19,189","12,966","8,171","7,514","11,772","14,034","8,282","15,537","9,610","16,854"
2020년09월_여_연령구간인구수,"163,219","9,442","8,741","10,466","10,641","19,189","12,966","8,171","7,514","11,772","14,034","8,282","15,537","9,610","16,854"
2020년09월_여_0~9세,"10,042",638,700,586,346,856,794,391,404,727,652,"1,080","1,337",701,830
2020년09월_여_10~19세,"11,968",771,555,683,491,"1,259",984,533,544,890,"1,097",764,"1,243",942,"1,212"
2020년09월_여_20~29세,"26,250","1,164","1,319","1,752","4,469","3,801","1,619","1,072",951,"1,456","2,098",813,"2,218","1,123","2,395"
2020년09월_여_30~39세,"22,793","1,258","1,491","1,568","1,607","2,819","1,809",948,974,"1,411","1,698","1,410","2,365","1,305","2,130"
2020년09월_여_40~49세,"24,183","1,468","1,341","1,461","1,020","2,742","2,007","1,106","1,100","1,751","2,057","1,446","2,425","1,672","2,587"
2020년09월_여_50~59세,"25,537","1,529","1,423","1,654","1,007","2,830","2,175","1,356","1,347","2,042","2,402","1,097","2,264","1,567","2,844"
2020년09월_여_60~69세,"20,264","1,132",948,"1,373",757,"2,246","1,763","1,227","1,023","1,667","2,015",832,"1,738","1,134","2,409"
2020년09월_여_70~79세,"13,983",878,604,820,575,"1,680","1,146",963,749,"1,136","1,242",542,"1,238",757,"1,653"
2020년09월_여_80~89세,"6,823",508,281,435,292,805,567,507,358,582,642,246,580,341,679
2020년09월_여_90~99세,"1,168",75,54,109,61,129,91,57,62,97,112,40,110,61,110
2020년09월_여_100세 이상,208,21,25,25,16,22,11,11,2,13,19,12,19,7,5
