,전라남도 영광군,전라남도 영광군 영광읍,전라남도 영광군 백수읍,전라남도 영광군 홍농읍,전라남도 영광군 대마면,전라남도 영광군 묘량면,전라남도 영광군 불갑면,전라남도 영광군 군서면,전라남도 영광군 군남면,전라남도 영광군 염산면,전라남도 영광군 법성면,전라남도 영광군 낙월면,전라남도 영광군 낙월면안마출장소
2021년05월_계_총인구수,"52,571","21,684","4,638","6,825","1,753","1,763","1,372","2,318","2,381","4,015","5,254",379,189
2021년05월_계_연령구간인구수,"52,571","21,684","4,638","6,825","1,753","1,763","1,372","2,318","2,381","4,015","5,254",379,189
2021년05월_계_0~9세,"3,703","2,032",182,632,82,90,64,88,80,155,273,14,11
2021년05월_계_10~19세,"4,121","2,366",236,534,101,77,60,165,84,155,329,9,5
2021년05월_계_20~29세,"4,867","2,373",328,811,152,122,84,173,120,221,449,27,7
2021년05월_계_30~39세,"4,750","2,251",271,889,147,114,113,122,125,252,439,18,9
2021년05월_계_40~49세,"6,365","3,291",428,859,144,146,109,231,183,351,537,56,30
2021년05월_계_50~59세,"8,487","3,426",795,"1,111",285,287,220,382,338,655,872,86,30
2021년05월_계_60~69세,"8,533","2,905",857,881,327,338,301,412,467,926,966,101,52
2021년05월_계_70~79세,"7,056","1,934",884,716,285,304,250,417,522,836,830,45,33
2021년05월_계_80~89세,"4,114",963,579,348,192,252,149,286,412,408,494,20,11
2021년05월_계_90~99세,551,134,75,42,36,33,22,38,50,56,61,3,1
2021년05월_계_100세 이상,24,9,3,2,2,0,0,4,0,0,4,0,0
2021년05월_남_총인구수,"26,288","10,693","2,315","3,593",931,865,683,"1,164","1,138","1,967","2,593",233,113
2021년05월_남_연령구간인구수,"26,288","10,693","2,315","3,593",931,865,683,"1,164","1,138","1,967","2,593",233,113
2021년05월_남_0~9세,"1,886","1,035",93,339,39,48,28,39,43,72,137,6,7
2021년05월_남_10~19세,"2,160","1,234",130,261,73,38,26,91,50,77,172,5,3
2021년05월_남_20~29세,"2,750","1,270",200,491,85,63,48,102,68,137,263,18,5
2021년05월_남_30~39세,"2,447","1,098",158,487,85,50,58,69,64,137,225,12,4
2021년05월_남_40~49세,"3,581","1,656",277,487,94,99,71,149,112,241,330,43,22
2021년05월_남_50~59세,"4,716","1,774",477,636,173,159,127,247,210,364,468,61,20
2021년05월_남_60~69세,"4,332","1,396",434,468,192,187,157,207,239,458,506,59,29
2021년05월_남_70~79세,"3,031",882,352,305,126,134,116,162,206,369,336,24,19
2021년05월_남_80~89세,"1,275",320,179,112,55,78,47,90,137,101,147,5,4
2021년05월_남_90~99세,110,28,15,7,9,9,5,8,9,11,9,0,0
2021년05월_남_100세 이상,0,0,0,0,0,0,0,0,0,0,0,0,0
2021년05월_여_총인구수,"26,283","10,991","2,323","3,232",822,898,689,"1,154","1,243","2,048","2,661",146,76
2021년05월_여_연령구간인구수,"26,283","10,991","2,323","3,232",822,898,689,"1,154","1,243","2,048","2,661",146,76
2021년05월_여_0~9세,"1,817",997,89,293,43,42,36,49,37,83,136,8,4
2021년05월_여_10~19세,"1,961","1,132",106,273,28,39,34,74,34,78,157,4,2
2021년05월_여_20~29세,"2,117","1,103",128,320,67,59,36,71,52,84,186,9,2
2021년05월_여_30~39세,"2,303","1,153",113,402,62,64,55,53,61,115,214,6,5
2021년05월_여_40~49세,"2,784","1,635",151,372,50,47,38,82,71,110,207,13,8
2021년05월_여_50~59세,"3,771","1,652",318,475,112,128,93,135,128,291,404,25,10
2021년05월_여_60~69세,"4,201","1,509",423,413,135,151,144,205,228,468,460,42,23
2021년05월_여_70~79세,"4,025","1,052",532,411,159,170,134,255,316,467,494,21,14
2021년05월_여_80~89세,"2,839",643,400,236,137,174,102,196,275,307,347,15,7
2021년05월_여_90~99세,441,106,60,35,27,24,17,30,41,45,52,3,1
2021년05월_여_100세 이상,24,9,3,2,2,0,0,4,0,0,4,0,0
