,강원도 화천군,강원도 화천군 화천읍,강원도 화천군 간동면,강원도 화천군 하남면,강원도 화천군 상서면,강원도 화천군 사내면
2021년07월_계_총인구수,"24,369","8,324","2,715","2,847","4,147","6,336"
2021년07월_계_연령구간인구수,"24,369","8,324","2,715","2,847","4,147","6,336"
2021년07월_계_0~9세,"1,745",671,52,141,280,601
2021년07월_계_10~19세,"1,724",740,140,255,154,435
2021년07월_계_20~29세,"3,715","1,163",270,254,"1,081",947
2021년07월_계_30~39세,"2,791",983,129,239,518,922
2021년07월_계_40~49세,"2,614","1,111",211,357,304,631
2021년07월_계_50~59세,"3,781","1,279",589,518,494,901
2021년07월_계_60~69세,"4,055","1,164",658,547,650,"1,036"
2021년07월_계_70~79세,"2,265",714,383,299,362,507
2021년07월_계_80~89세,"1,446",441,233,204,262,306
2021년07월_계_90~99세,222,54,49,30,41,48
2021년07월_계_100세 이상,11,4,1,3,1,2
2021년07월_남_총인구수,"13,246","4,354","1,449","1,493","2,507","3,443"
2021년07월_남_연령구간인구수,"13,246","4,354","1,449","1,493","2,507","3,443"
2021년07월_남_0~9세,892,352,26,75,128,311
2021년07월_남_10~19세,866,375,66,132,77,216
2021년07월_남_20~29세,"2,579",709,196,141,880,653
2021년07월_남_30~39세,"1,651",558,77,121,353,542
2021년07월_남_40~49세,"1,442",590,110,203,188,351
2021년07월_남_50~59세,"2,044",685,337,291,266,465
2021년07월_남_60~69세,"2,198",627,365,302,359,545
2021년07월_남_70~79세,"1,010",296,176,146,157,235
2021년07월_남_80~89세,506,149,82,74,91,110
2021년07월_남_90~99세,53,12,13,6,8,14
2021년07월_남_100세 이상,5,1,1,2,0,1
2021년07월_여_총인구수,"11,123","3,970","1,266","1,354","1,640","2,893"
2021년07월_여_연령구간인구수,"11,123","3,970","1,266","1,354","1,640","2,893"
2021년07월_여_0~9세,853,319,26,66,152,290
2021년07월_여_10~19세,858,365,74,123,77,219
2021년07월_여_20~29세,"1,136",454,74,113,201,294
2021년07월_여_30~39세,"1,140",425,52,118,165,380
2021년07월_여_40~49세,"1,172",521,101,154,116,280
2021년07월_여_50~59세,"1,737",594,252,227,228,436
2021년07월_여_60~69세,"1,857",537,293,245,291,491
2021년07월_여_70~79세,"1,255",418,207,153,205,272
2021년07월_여_80~89세,940,292,151,130,171,196
2021년07월_여_90~99세,169,42,36,24,33,34
2021년07월_여_100세 이상,6,3,0,1,1,1
