카테고리,충청남도 홍성군,충청남도 홍성군 홍성읍,충청남도 홍성군 광천읍,충청남도 홍성군 홍북읍,충청남도 홍성군 금마면,충청남도 홍성군 홍동면,충청남도 홍성군 장곡면,충청남도 홍성군 은하면,충청남도 홍성군 결성면,충청남도 홍성군 서부면,충청남도 홍성군 갈산면,충청남도 홍성군 구항면
2021년03월_계_총인구수,"99,756","38,034","8,459","28,807","3,502","3,434","2,915","2,279","2,088","3,243","3,537","3,458"
2021년03월_계_연령구간인구수,"99,756","38,034","8,459","28,807","3,502","3,434","2,915","2,279","2,088","3,243","3,537","3,458"
2021년03월_계_0~9세,"7,614","2,430",282,"4,323",91,128,72,39,21,74,74,80
2021년03월_계_10~19세,"9,546","4,277",508,"3,721",121,215,114,61,63,139,150,177
2021년03월_계_20~29세,"9,459","4,764",566,"2,705",228,229,143,121,108,204,198,193
2021년03월_계_30~39세,"10,343","3,548",466,"5,082",203,189,141,87,94,140,198,195
2021년03월_계_40~49세,"14,410","6,038",794,"5,477",327,355,226,175,121,282,274,341
2021년03월_계_50~59세,"15,800","6,755","1,429","3,512",639,564,452,364,356,539,566,624
2021년03월_계_60~69세,"15,114","5,289","1,864","2,194",804,736,652,548,523,809,858,837
2021년03월_계_70~79세,"10,082","3,118","1,558","1,061",586,530,562,460,422,598,627,560
2021년03월_계_80~89세,"6,466","1,588",867,641,436,440,506,351,333,393,510,401
2021년03월_계_90~99세,891,218,119,90,67,46,47,73,45,61,76,49
2021년03월_계_100세 이상,31,9,6,1,0,2,0,0,2,4,6,1
2021년03월_남_총인구수,"49,649","18,858","4,139","14,439","1,788","1,729","1,402","1,151","1,025","1,593","1,775","1,750"
2021년03월_남_연령구간인구수,"49,649","18,858","4,139","14,439","1,788","1,729","1,402","1,151","1,025","1,593","1,775","1,750"
2021년03월_남_0~9세,"3,973","1,252",148,"2,258",51,74,38,20,9,34,45,44
2021년03월_남_10~19세,"4,890","2,190",288,"1,890",69,108,56,30,27,65,80,87
2021년03월_남_20~29세,"5,207","2,628",331,"1,364",136,153,86,79,74,122,118,116
2021년03월_남_30~39세,"5,361","1,854",262,"2,505",131,101,84,55,65,80,122,102
2021년03월_남_40~49세,"7,530","2,955",457,"2,792",202,197,140,118,82,185,188,214
2021년03월_남_50~59세,"8,276","3,472",727,"1,846",358,310,250,205,186,280,298,344
2021년03월_남_60~69세,"7,422","2,510",903,"1,057",417,387,319,280,257,405,442,445
2021년03월_남_70~79세,"4,492","1,388",677,492,252,244,236,218,192,265,271,257
2021년03월_남_80~89세,"2,269",548,311,218,154,146,180,130,125,140,185,132
2021년03월_남_90~99세,224,59,35,17,18,9,13,16,8,16,24,9
2021년03월_남_100세 이상,5,2,0,0,0,0,0,0,0,1,2,0
2021년03월_여_총인구수,"50,107","19,176","4,320","14,368","1,714","1,705","1,513","1,128","1,063","1,650","1,762","1,708"
2021년03월_여_연령구간인구수,"50,107","19,176","4,320","14,368","1,714","1,705","1,513","1,128","1,063","1,650","1,762","1,708"
2021년03월_여_0~9세,"3,641","1,178",134,"2,065",40,54,34,19,12,40,29,36
2021년03월_여_10~19세,"4,656","2,087",220,"1,831",52,107,58,31,36,74,70,90
2021년03월_여_20~29세,"4,252","2,136",235,"1,341",92,76,57,42,34,82,80,77
2021년03월_여_30~39세,"4,982","1,694",204,"2,577",72,88,57,32,29,60,76,93
2021년03월_여_40~49세,"6,880","3,083",337,"2,685",125,158,86,57,39,97,86,127
2021년03월_여_50~59세,"7,524","3,283",702,"1,666",281,254,202,159,170,259,268,280
2021년03월_여_60~69세,"7,692","2,779",961,"1,137",387,349,333,268,266,404,416,392
2021년03월_여_70~79세,"5,590","1,730",881,569,334,286,326,242,230,333,356,303
2021년03월_여_80~89세,"4,197","1,040",556,423,282,294,326,221,208,253,325,269
2021년03월_여_90~99세,667,159,84,73,49,37,34,57,37,45,52,40
2021년03월_여_100세 이상,26,7,6,1,0,2,0,0,2,3,4,1
