카테고리,경상남도 통영시,경상남도 통영시 산양읍,경상남도 통영시 용남면,경상남도 통영시 도산면,경상남도 통영시 광도면,경상남도 통영시 욕지면,경상남도 통영시 한산면,경상남도 통영시 사량면,경상남도 통영시 도천동,경상남도 통영시 명정동,경상남도 통영시 중앙동,경상남도 통영시 정량동,경상남도 통영시 북신동,경상남도 통영시 미수동,경상남도 통영시 봉평동,경상남도 통영시 무전동
2021년08월_계_총인구수,"126,141","4,614","12,428","2,857","30,982","1,982","1,974","1,450","8,797","2,858","3,875","8,823","10,508","11,089","10,176","13,728"
2021년08월_계_연령구간인구수,"126,141","4,614","12,428","2,857","30,982","1,982","1,974","1,450","8,797","2,858","3,875","8,823","10,508","11,089","10,176","13,728"
2021년08월_계_0~9세,"8,899",105,"1,124",64,"3,617",44,29,18,388,92,108,428,670,777,439,996
2021년08월_계_10~19세,"12,678",210,"1,441",110,"4,075",93,54,27,791,161,207,641,957,"1,372",950,"1,589"
2021년08월_계_20~29세,"10,773",290,"1,025",162,"2,686",111,78,59,861,202,261,654,929,997,911,"1,547"
2021년08월_계_30~39세,"12,793",297,"1,323",142,"4,432",98,74,66,661,160,254,795,"1,032","1,034",903,"1,522"
2021년08월_계_40~49세,"20,926",521,"2,227",265,"6,584",253,163,106,"1,240",342,491,"1,276","1,552","1,890","1,477","2,539"
2021년08월_계_50~59세,"21,915",910,"2,110",496,"4,530",411,327,288,"1,621",524,757,"1,775","1,754","2,008","1,952","2,452"
2021년08월_계_60~69세,"21,273","1,078","1,711",756,"3,149",484,487,403,"1,718",678,944,"1,855","2,115","1,921","1,971","2,003"
2021년08월_계_70~79세,"11,245",709,932,522,"1,303",291,432,258,"1,053",472,574,995,"1,067",762,"1,063",812
2021년08월_계_80~89세,"4,967",434,463,305,527,180,300,192,410,196,260,362,368,293,444,233
2021년08월_계_90~99세,654,57,71,35,79,17,29,32,54,29,19,39,60,34,66,33
2021년08월_계_100세 이상,18,3,1,0,0,0,1,1,0,2,0,3,4,1,0,2
2021년08월_남_총인구수,"63,327","2,429","6,221","1,463","15,663","1,104","1,022",715,"4,372","1,389","1,913","4,479","5,033","5,448","5,228","6,848"
2021년08월_남_연령구간인구수,"63,327","2,429","6,221","1,463","15,663","1,104","1,022",715,"4,372","1,389","1,913","4,479","5,033","5,448","5,228","6,848"
2021년08월_남_0~9세,"4,476",42,536,37,"1,840",24,16,8,185,40,48,214,341,404,202,539
2021년08월_남_10~19세,"6,543",115,731,60,"2,117",55,26,14,378,74,99,329,497,716,502,830
2021년08월_남_20~29세,"6,002",171,561,100,"1,424",65,50,35,505,116,158,371,525,547,541,833
2021년08월_남_30~39세,"6,565",177,643,84,"2,147",63,43,47,356,89,143,449,542,491,502,789
2021년08월_남_40~49세,"11,227",336,"1,172",169,"3,468",170,105,63,688,201,304,752,783,959,816,"1,241"
2021년08월_남_50~59세,"11,352",534,"1,111",291,"2,363",244,215,169,837,288,389,913,783,979,"1,045","1,191"
2021년08월_남_60~69세,"10,347",589,871,371,"1,536",257,269,216,825,321,442,851,912,948,983,956
2021년08월_남_70~79세,"5,116",334,416,253,596,152,200,108,456,184,244,468,507,332,474,392
2021년08월_남_80~89세,"1,574",124,163,94,157,72,92,50,137,69,80,125,128,67,143,73
2021년08월_남_90~99세,122,7,17,4,15,2,6,5,5,7,6,7,12,5,20,4
2021년08월_남_100세 이상,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
2021년08월_여_총인구수,"62,814","2,185","6,207","1,394","15,319",878,952,735,"4,425","1,469","1,962","4,344","5,475","5,641","4,948","6,880"
2021년08월_여_연령구간인구수,"62,814","2,185","6,207","1,394","15,319",878,952,735,"4,425","1,469","1,962","4,344","5,475","5,641","4,948","6,880"
2021년08월_여_0~9세,"4,423",63,588,27,"1,777",20,13,10,203,52,60,214,329,373,237,457
2021년08월_여_10~19세,"6,135",95,710,50,"1,958",38,28,13,413,87,108,312,460,656,448,759
2021년08월_여_20~29세,"4,771",119,464,62,"1,262",46,28,24,356,86,103,283,404,450,370,714
2021년08월_여_30~39세,"6,228",120,680,58,"2,285",35,31,19,305,71,111,346,490,543,401,733
2021년08월_여_40~49세,"9,699",185,"1,055",96,"3,116",83,58,43,552,141,187,524,769,931,661,"1,298"
2021년08월_여_50~59세,"10,563",376,999,205,"2,167",167,112,119,784,236,368,862,971,"1,029",907,"1,261"
2021년08월_여_60~69세,"10,926",489,840,385,"1,613",227,218,187,893,357,502,"1,004","1,203",973,988,"1,047"
2021년08월_여_70~79세,"6,129",375,516,269,707,139,232,150,597,288,330,527,560,430,589,420
2021년08월_여_80~89세,"3,393",310,300,211,370,108,208,142,273,127,180,237,240,226,301,160
2021년08월_여_90~99세,532,50,54,31,64,15,23,27,49,22,13,32,48,29,46,29
2021년08월_여_100세 이상,15,3,1,0,0,0,1,1,0,2,0,3,1,1,0,2
