카테고리,충청북도 음성군,충청북도 음성군 음성읍,충청북도 음성군 금왕읍,충청북도 음성군 소이면,충청북도 음성군 원남면,충청북도 음성군 맹동면,충청북도 음성군 대소면,충청북도 음성군 삼성면,충청북도 음성군 생극면,충청북도 음성군 감곡면
2020년03월_계_총인구수,"94,709","17,230","20,573","2,973","3,100","13,154","15,715","7,139","4,625","10,200"
2020년03월_계_연령구간인구수,"94,709","17,230","20,573","2,973","3,100","13,154","15,715","7,139","4,625","10,200"
2020년03월_계_0~9세,"6,461",981,"1,483",54,77,"1,665","1,199",278,188,536
2020년03월_계_10~19세,"7,973","1,464","2,141",124,132,980,"1,627",457,232,816
2020년03월_계_20~29세,"9,831","1,785","2,324",181,198,"1,469","1,786",663,372,"1,053"
2020년03월_계_30~39세,"10,259","1,610","2,206",176,177,"2,430","1,779",635,334,912
2020년03월_계_40~49세,"14,208","2,421","3,446",249,236,"2,213","2,875",930,505,"1,333"
2020년03월_계_50~59세,"17,924","3,307","3,942",558,571,"1,817","3,147","1,597",963,"2,022"
2020년03월_계_60~69세,"14,506","2,926","2,697",679,766,"1,409","1,851","1,351","1,002","1,825"
2020년03월_계_70~79세,"8,258","1,734","1,440",534,554,734,894,731,593,"1,044"
2020년03월_계_80~89세,"4,558",869,774,371,333,355,481,431,376,568
2020년03월_계_90~99세,679,127,105,45,54,66,76,62,56,88
2020년03월_계_100세 이상,52,6,15,2,2,16,0,4,4,3
2020년03월_남_총인구수,"50,139","8,793","10,929","1,535","1,613","7,045","8,560","3,945","2,522","5,197"
2020년03월_남_연령구간인구수,"50,139","8,793","10,929","1,535","1,613","7,045","8,560","3,945","2,522","5,197"
2020년03월_남_0~9세,"3,357",497,777,30,38,877,614,164,100,260
2020년03월_남_10~19세,"4,166",741,"1,175",69,81,500,850,247,111,392
2020년03월_남_20~29세,"5,693","1,006","1,386",112,112,770,"1,060",403,245,599
2020년03월_남_30~39세,"5,721",894,"1,207",109,106,"1,294","1,028",393,201,489
2020년03월_남_40~49세,"8,007","1,294","1,883",164,155,"1,257","1,586",600,319,749
2020년03월_남_50~59세,"9,937","1,771","2,191",303,314,"1,000","1,832",909,557,"1,060"
2020년03월_남_60~69세,"7,653","1,470","1,376",361,421,810,994,730,551,940
2020년03월_남_70~79세,"3,865",795,636,238,265,367,415,340,296,513
2020년03월_남_80~89세,"1,547",283,272,141,105,141,161,143,125,176
2020년03월_남_90~99세,168,39,23,8,15,15,20,14,15,19
2020년03월_남_100세 이상,25,3,3,0,1,14,0,2,2,0
2020년03월_여_총인구수,"44,570","8,437","9,644","1,438","1,487","6,109","7,155","3,194","2,103","5,003"
2020년03월_여_연령구간인구수,"44,570","8,437","9,644","1,438","1,487","6,109","7,155","3,194","2,103","5,003"
2020년03월_여_0~9세,"3,104",484,706,24,39,788,585,114,88,276
2020년03월_여_10~19세,"3,807",723,966,55,51,480,777,210,121,424
2020년03월_여_20~29세,"4,138",779,938,69,86,699,726,260,127,454
2020년03월_여_30~39세,"4,538",716,999,67,71,"1,136",751,242,133,423
2020년03월_여_40~49세,"6,201","1,127","1,563",85,81,956,"1,289",330,186,584
2020년03월_여_50~59세,"7,987","1,536","1,751",255,257,817,"1,315",688,406,962
2020년03월_여_60~69세,"6,853","1,456","1,321",318,345,599,857,621,451,885
2020년03월_여_70~79세,"4,393",939,804,296,289,367,479,391,297,531
2020년03월_여_80~89세,"3,011",586,502,230,228,214,320,288,251,392
2020년03월_여_90~99세,511,88,82,37,39,51,56,48,41,69
2020년03월_여_100세 이상,27,3,12,2,1,2,0,2,2,3
