카테고리,경상북도 구미시,경상북도 구미시 선산읍,경상북도 구미시 고아읍,경상북도 구미시 무을면,경상북도 구미시 옥성면,경상북도 구미시 도개면,경상북도 구미시 해평면,경상북도 구미시 산동면,경상북도 구미시 장천면,경상북도 구미시 송정동,경상북도 구미시 원평1동,경상북도 구미시 원평2동,경상북도 구미시 도량동,경상북도 구미시 지산동,경상북도 구미시 선주원남동,경상북도 구미시 형곡1동,경상북도 구미시 형곡2동,경상북도 구미시 신평1동,경상북도 구미시 신평2동,경상북도 구미시 비산동,경상북도 구미시 공단1동,경상북도 구미시 공단2동,경상북도 구미시 광평동,경상북도 구미시 상모사곡동,경상북도 구미시 임오동,경상북도 구미시 인동동,경상북도 구미시 진미동,경상북도 구미시 양포동
2020년07월_계_총인구수,"417,098","15,156","36,759","1,883","1,750","2,236","4,153","26,395","3,196","24,487","3,871","3,312","30,366","2,291","39,745","15,053","17,481","3,327","3,279","6,356","6,866","4,530","4,503","28,825","19,738","49,001","16,058","46,481"
2020년07월_계_연령구간인구수,"417,098","15,156","36,759","1,883","1,750","2,236","4,153","26,395","3,196","24,487","3,871","3,312","30,366","2,291","39,745","15,053","17,481","3,327","3,279","6,356","6,866","4,530","4,503","28,825","19,738","49,001","16,058","46,481"
2020년07월_계_0~9세,"42,342",926,"3,370",41,18,40,66,"5,592",80,"1,843",70,81,"2,494",80,"4,055","1,127",933,137,292,716,959,656,365,"2,643","2,358","5,199",975,"7,226"
2020년07월_계_10~19세,"45,516","1,186","3,915",63,63,136,162,"2,111",206,"2,557",112,154,"3,629",136,"5,158","1,755","2,080",203,228,478,654,200,358,"3,660","2,665","6,049","1,136","6,462"
2020년07월_계_20~29세,"56,928","1,542","4,769",107,101,146,305,"2,737",265,"3,471",535,346,"4,091",241,"5,241","2,075","2,823",596,433,"1,000",938,716,679,"4,271","2,552","7,118","4,149","5,681"
2020년07월_계_30~39세,"66,706","1,360","4,510",93,77,101,218,"8,126",188,"3,373",544,277,"3,685",170,"5,289","1,746","1,749",504,559,"1,364","1,469","1,157",737,"3,928","3,180","9,018","4,164","9,120"
2020년07월_계_40~49세,"73,391","1,995","5,836",138,149,204,454,"4,103",382,"4,010",725,365,"5,168",299,"7,600","2,572","2,913",462,452,978,"1,153",695,775,"5,823","4,029","9,533","2,654","9,924"
2020년07월_계_50~59세,"69,448","3,044","7,717",364,334,397,828,"2,046",651,"4,534",846,701,"6,107",494,"7,099","3,060","3,954",640,642,"1,143","1,067",669,808,"5,460","3,212","6,848","1,715","5,068"
2020년07월_계_60~69세,"37,766","2,569","3,914",471,420,489,894,955,620,"3,185",633,755,"3,449",509,"3,536","1,772","2,119",460,390,441,460,337,469,"1,916","1,149","3,246",822,"1,786"
2020년07월_계_70~79세,"15,918","1,437","1,636",308,297,406,677,410,461,"1,116",287,440,"1,151",240,"1,195",655,643,239,179,167,118,78,228,752,384,"1,334",293,787
