카테고리,강원도 속초시,강원도 속초시 영랑동,강원도 속초시 동명동,강원도 속초시 금호동,강원도 속초시 교동,강원도 속초시 노학동,강원도 속초시 조양동,강원도 속초시 청호동,강원도 속초시 대포동
2020년02월_계_총인구수,"81,744","4,764","3,976","6,362","9,920","21,661","27,367","4,466","3,228"
2020년02월_계_연령구간인구수,"81,744","4,764","3,976","6,362","9,920","21,661","27,367","4,466","3,228"
2020년02월_계_0~9세,"5,946",200,265,240,610,"1,452","2,857",237,85
2020년02월_계_10~19세,"7,673",299,278,479,958,"2,405","2,858",253,143
2020년02월_계_20~29세,"8,897",448,355,674,"1,089","2,449","3,220",393,269
2020년02월_계_30~39세,"9,269",454,407,462,"1,018","2,306","3,876",506,240
2020년02월_계_40~49세,"12,612",595,526,839,"1,481","3,628","4,651",516,376
2020년02월_계_50~59세,"15,158",970,812,"1,345","1,855","3,997","4,608",886,685
2020년02월_계_60~69세,"11,848",979,663,"1,158","1,612","2,955","2,936",821,724
2020년02월_계_70~79세,"6,693",529,449,728,847,"1,583","1,595",500,462
2020년02월_계_80~89세,"3,035",243,184,349,370,738,661,284,206
2020년02월_계_90~99세,579,45,34,84,76,141,99,65,35
2020년02월_계_100세 이상,34,2,3,4,4,7,6,5,3
2020년02월_남_총인구수,"40,412","2,482","1,998","3,088","4,850","10,697","13,398","2,242","1,657"
2020년02월_남_연령구간인구수,"40,412","2,482","1,998","3,088","4,850","10,697","13,398","2,242","1,657"
2020년02월_남_0~9세,"3,005",100,141,128,306,720,"1,443",126,41
2020년02월_남_10~19세,"3,989",166,145,244,505,"1,233","1,467",144,85
2020년02월_남_20~29세,"4,999",272,185,396,611,"1,367","1,798",215,155
2020년02월_남_30~39세,"4,921",267,213,263,561,"1,222","1,965",286,144
2020년02월_남_40~49세,"6,262",330,297,422,720,"1,753","2,249",285,206
2020년02월_남_50~59세,"7,447",504,416,639,895,"1,968","2,185",470,370
2020년02월_남_60~69세,"5,742",502,323,557,768,"1,483","1,352",409,348
2020년02월_남_70~79세,"2,901",245,211,304,347,686,685,205,218
2020년02월_남_80~89세,"1,003",87,58,120,117,231,226,84,80
2020년02월_남_90~99세,129,7,8,13,18,34,25,15,9
2020년02월_남_100세 이상,14,2,1,2,2,0,3,3,1
2020년02월_여_총인구수,"41,332","2,282","1,978","3,274","5,070","10,964","13,969","2,224","1,571"
2020년02월_여_연령구간인구수,"41,332","2,282","1,978","3,274","5,070","10,964","13,969","2,224","1,571"
2020년02월_여_0~9세,"2,941",100,124,112,304,732,"1,414",111,44
2020년02월_여_10~19세,"3,684",133,133,235,453,"1,172","1,391",109,58
2020년02월_여_20~29세,"3,898",176,170,278,478,"1,082","1,422",178,114
2020년02월_여_30~39세,"4,348",187,194,199,457,"1,084","1,911",220,96
2020년02월_여_40~49세,"6,350",265,229,417,761,"1,875","2,402",231,170
2020년02월_여_50~59세,"7,711",466,396,706,960,"2,029","2,423",416,315
2020년02월_여_60~69세,"6,106",477,340,601,844,"1,472","1,584",412,376
2020년02월_여_70~79세,"3,792",284,238,424,500,897,910,295,244
2020년02월_여_80~89세,"2,032",156,126,229,253,507,435,200,126
2020년02월_여_90~99세,450,38,26,71,58,107,74,50,26
2020년02월_여_100세 이상,20,0,2,2,2,7,3,2,2
