카테고리,경기도 평택시,경기도 평택시 팽성읍,경기도 평택시 안중읍,경기도 평택시 포승읍,경기도 평택시 청북읍,경기도 평택시 진위면,경기도 평택시 서탄면,경기도 평택시 고덕면,경기도 평택시 오성면,경기도 평택시 현덕면,경기도 평택시 중앙동,경기도 평택시 서정동,경기도 평택시 송탄동,경기도 평택시 지산동,경기도 평택시 송북동,경기도 평택시 신장1동,경기도 평택시 신장2동,경기도 평택시 신평동,경기도 평택시 원평동,경기도 평택시 통복동,경기도 평택시 비전1동,경기도 평택시 비전2동,경기도 평택시 용이동,경기도 평택시 세교동
2020년09월_계_총인구수,"529,140","27,568","43,824","24,088","26,292","11,336","3,659","21,064","6,747","5,333","44,008","25,582","19,722","12,478","22,141","7,470","5,784","22,806","10,714","4,128","79,763","53,432","24,832","26,369"
2020년09월_계_연령구간인구수,"529,140","27,568","43,824","24,088","26,292","11,336","3,659","21,064","6,747","5,333","44,008","25,582","19,722","12,478","22,141","7,470","5,784","22,806","10,714","4,128","79,763","53,432","24,832","26,369"
2020년09월_계_0~9세,"48,674","1,565","4,141","2,015","4,101",505,115,"2,457",334,156,"3,008","1,355","2,356",725,"1,682",593,171,"1,115",565,121,"10,207","5,717","3,438","2,232"
2020년09월_계_10~19세,"52,896","1,724","5,898","1,992","3,078",820,212,"1,747",494,292,"5,018","2,371","1,839",942,"2,230",502,301,"1,774",685,216,"8,831","6,191","3,037","2,702"
2020년09월_계_20~29세,"72,024","2,927","5,731","3,020","2,259","1,492",361,"3,045",720,458,"7,079","3,673","2,592","2,344","2,962","1,048",716,"3,904","1,590",614,"10,728","7,412","3,300","4,049"
2020년09월_계_30~39세,"79,058","2,960","5,732","3,937","4,894","1,319",353,"3,961",618,356,"5,391","3,088","3,387","2,215","2,661","1,272",638,"2,893","1,524",414,"15,174","8,073","4,631","3,567"
2020년09월_계_40~49세,"92,522","3,953","8,705","4,664","5,207","1,716",468,"3,365",898,618,"7,723","4,221","3,584","2,080","3,734","1,226",789,"3,487","1,592",529,"15,247","9,406","5,048","4,262"
2020년09월_계_50~59세,"85,941","5,143","6,875","3,883","2,912","2,139",690,"3,103","1,318","1,022","8,058","4,863","3,188","1,933","4,120","1,126","1,032","4,293","1,905",825,"10,836","8,552","3,173","4,952"
2020년09월_계_60~69세,"53,626","4,630","3,666","2,534","2,101","1,771",719,"1,856","1,130","1,120","4,364","3,196","1,647","1,209","2,631",878,991,"2,941","1,490",740,"5,299","4,704","1,404","2,605"
2020년09월_계_70~79세,"28,367","2,875","1,955","1,310","1,088","1,023",453,947,728,785,"2,201","1,832",721,688,"1,374",524,712,"1,571",876,452,"2,268","2,163",534,"1,287"
2020년09월_계_80~89세,"13,819","1,534",967,626,535,485,262,499,432,446,"1,023",849,350,290,636,243,353,733,414,187,"1,026","1,065",236,628
2020년09월_계_90~99세,"1,976",206,145,103,111,61,24,78,73,77,125,117,53,47,98,47,58,84,58,26,138,136,31,80
2020년09월_계_100세 이상,237,51,9,4,6,5,2,6,2,3,18,17,5,5,13,11,23,11,15,4,9,13,0,5
2020년09월_남_총인구수,"273,077","14,074","22,485","14,368","13,892","6,200","2,010","11,085","3,590","2,802","22,528","12,969","10,281","6,656","11,028","3,706","2,926","11,708","5,534","2,172","40,440","26,502","12,906","13,215"
2020년09월_남_연령구간인구수,"273,077","14,074","22,485","14,368","13,892","6,200","2,010","11,085","3,590","2,802","22,528","12,969","10,281","6,656","11,028","3,706","2,926","11,708","5,534","2,172","40,440","26,502","12,906","13,215"
2020년09월_남_0~9세,"24,820",815,"2,043","1,011","2,137",257,53,"1,216",180,81,"1,561",684,"1,204",351,845,294,95,585,277,62,"5,254","2,899","1,781","1,135"
2020년09월_남_10~19세,"27,268",894,"2,997","1,058","1,575",444,123,866,250,154,"2,576","1,234",912,451,"1,128",264,161,925,360,125,"4,548","3,281","1,556","1,386"
2020년09월_남_20~29세,"39,449","1,697","3,090","1,936","1,270",898,224,"1,784",418,266,"3,948","2,009","1,389","1,331","1,604",577,396,"2,131",890,350,"5,520","3,833","1,761","2,127"
2020년09월_남_30~39세,"42,843","1,650","3,085","2,615","2,525",831,216,"2,142",375,209,"2,976","1,739","1,787","1,313","1,354",689,381,"1,631",878,257,"7,817","4,072","2,409","1,892"
2020년09월_남_40~49세,"49,076","2,208","4,446","3,028","2,952",997,296,"1,878",535,383,"3,886","2,244","1,967","1,160","1,914",664,479,"1,827",826,288,"7,790","4,499","2,673","2,136"
2020년09월_남_50~59세,"45,190","2,801","3,757","2,433","1,640","1,180",395,"1,602",764,591,"4,122","2,460","1,655","1,046","2,087",578,544,"2,192","1,018",449,"5,512","4,211","1,692","2,461"
2020년09월_남_60~69세,"26,596","2,159","1,864","1,400","1,056",927,393,957,569,566,"2,140","1,492",897,601,"1,289",370,455,"1,432",727,352,"2,615","2,330",713,"1,292"
2020년09월_남_70~79세,"12,399","1,219",840,647,538,485,216,449,334,380,954,762,334,279,547,171,270,680,392,211,"1,007",914,240,530
2020년09월_남_80~89세,"4,853",567,329,216,170,167,88,176,140,155,327,294,120,113,226,81,119,276,148,69,343,421,75,233
2020년09월_남_90~99세,509,48,34,24,28,13,5,12,25,17,31,42,14,10,28,13,17,26,14,8,32,40,6,22
2020년09월_남_100세 이상,74,16,0,0,1,1,1,3,0,0,7,9,2,1,6,5,9,3,4,1,2,2,0,1
2020년09월_여_총인구수,"256,063","13,494","21,339","9,720","12,400","5,136","1,649","9,979","3,157","2,531","21,480","12,613","9,441","5,822","11,113","3,764","2,858","11,098","5,180","1,956","39,323","26,930","11,926","13,154"
2020년09월_여_연령구간인구수,"256,063","13,494","21,339","9,720","12,400","5,136","1,649","9,979","3,157","2,531","21,480","12,613","9,441","5,822","11,113","3,764","2,858","11,098","5,180","1,956","39,323","26,930","11,926","13,154"
2020년09월_여_0~9세,"23,854",750,"2,098","1,004","1,964",248,62,"1,241",154,75,"1,447",671,"1,152",374,837,299,76,530,288,59,"4,953","2,818","1,657","1,097"
