카테고리,경기도 연천군,경기도 연천군 연천읍,경기도 연천군 전곡읍,경기도 연천군 군남면,경기도 연천군 청산면,경기도 연천군 백학면,경기도 연천군 미산면,경기도 연천군 왕징면,경기도 연천군 신서면,경기도 연천군 중면,경기도 연천군 장남면
2020년03월_계_총인구수,"43,552","7,953","19,135","3,282","3,955","2,666","1,773","1,030","2,836",195,727
2020년03월_계_연령구간인구수,"43,552","7,953","19,135","3,282","3,955","2,666","1,773","1,030","2,836",195,727
2020년03월_계_0~9세,"2,866",728,"1,636",105,134,90,49,23,64,9,28
2020년03월_계_10~19세,"3,252",480,"1,927",190,196,159,73,53,128,10,36
2020년03월_계_20~29세,"5,397","1,248","2,441",323,450,246,157,84,350,42,56
2020년03월_계_30~39세,"4,280","1,025","2,180",214,289,186,109,60,162,11,44
2020년03월_계_40~49세,"5,042",837,"2,665",294,424,252,147,87,252,18,66
2020년03월_계_50~59세,"7,304","1,100","3,183",617,740,536,354,158,440,31,145
2020년03월_계_60~69세,"7,202","1,066","2,581",687,823,521,447,234,658,35,150
2020년03월_계_70~79세,"5,067",886,"1,529",502,570,440,270,226,500,24,120
2020년03월_계_80~89세,"2,696",503,821,314,273,216,146,93,245,13,72
2020년03월_계_90~99세,400,75,151,31,49,18,19,11,35,1,10
2020년03월_계_100세 이상,46,5,21,5,7,2,2,1,2,1,0
2020년03월_남_총인구수,"22,858","4,303","9,777","1,734","2,099","1,436",945,548,"1,539",113,364
2020년03월_남_연령구간인구수,"22,858","4,303","9,777","1,734","2,099","1,436",945,548,"1,539",113,364
2020년03월_남_0~9세,"1,474",375,847,49,66,43,27,15,32,4,16
2020년03월_남_10~19세,"1,741",269,"1,004",103,117,92,41,31,61,4,19
2020년03월_남_20~29세,"3,436",850,"1,376",226,317,157,101,54,285,36,34
2020년03월_남_30~39세,"2,430",600,"1,181",123,177,118,62,35,102,7,25
2020년03월_남_40~49세,"2,761",474,"1,371",178,246,142,88,55,158,8,41
2020년03월_남_50~59세,"3,923",615,"1,666",336,393,299,185,95,248,18,68
2020년03월_남_60~69세,"3,703",534,"1,314",369,421,280,256,114,319,20,76
2020년03월_남_70~79세,"2,278",376,699,226,243,205,119,107,235,11,57
2020년03월_남_80~89세,986,187,270,114,103,93,57,39,90,5,28
2020년03월_남_90~99세,111,23,41,8,15,6,8,2,8,0,0
2020년03월_남_100세 이상,15,0,8,2,1,1,1,1,1,0,0
2020년03월_여_총인구수,"20,694","3,650","9,358","1,548","1,856","1,230",828,482,"1,297",82,363
2020년03월_여_연령구간인구수,"20,694","3,650","9,358","1,548","1,856","1,230",828,482,"1,297",82,363
2020년03월_여_0~9세,"1,392",353,789,56,68,47,22,8,32,5,12
2020년03월_여_10~19세,"1,511",211,923,87,79,67,32,22,67,6,17
2020년03월_여_20~29세,"1,961",398,"1,065",97,133,89,56,30,65,6,22
2020년03월_여_30~39세,"1,850",425,999,91,112,68,47,25,60,4,19
2020년03월_여_40~49세,"2,281",363,"1,294",116,178,110,59,32,94,10,25
2020년03월_여_50~59세,"3,381",485,"1,517",281,347,237,169,63,192,13,77
2020년03월_여_60~69세,"3,499",532,"1,267",318,402,241,191,120,339,15,74
2020년03월_여_70~79세,"2,789",510,830,276,327,235,151,119,265,13,63
2020년03월_여_80~89세,"1,710",316,551,200,170,123,89,54,155,8,44
2020년03월_여_90~99세,289,52,110,23,34,12,11,9,27,1,10
2020년03월_여_100세 이상,31,5,13,3,6,1,1,0,1,1,0
