,서울특별시 서초구,서울특별시 서초구 서초1동,서울특별시 서초구 서초2동,서울특별시 서초구 서초3동,서울특별시 서초구 서초4동,서울특별시 서초구 잠원동,서울특별시 서초구 반포본동,서울특별시 서초구 반포1동,서울특별시 서초구 반포2동,서울특별시 서초구 반포3동,서울특별시 서초구 반포4동,서울특별시 서초구 방배본동,서울특별시 서초구 방배1동,서울특별시 서초구 방배2동,서울특별시 서초구 방배3동,서울특별시 서초구 방배4동,서울특별시 서초구 양재1동,서울특별시 서초구 양재2동,서울특별시 서초구 내곡동
2020년09월_계_총인구수,"426,009","21,067","18,921","31,364","31,619","30,583","12,013","32,495","16,152","22,256","19,442","21,235","17,413","20,381","21,664","23,757","44,878","22,528","18,241"
2020년09월_계_연령구간인구수,"426,009","21,067","18,921","31,364","31,619","30,583","12,013","32,495","16,152","22,256","19,442","21,235","17,413","20,381","21,664","23,757","44,878","22,528","18,241"
2020년09월_계_0~9세,"34,382","1,551","1,508","1,726","3,055","2,319",602,"3,116","1,898","2,007","1,723","1,524","1,199","1,185","1,384","1,693","4,269","1,496","2,127"
2020년09월_계_10~19세,"45,213","1,997","1,672","2,755","4,201","3,648","1,920","3,526","2,751","2,940","2,178","2,791","1,346","1,650","2,021","2,627","4,277","1,632","1,281"
2020년09월_계_20~29세,"55,525","2,824","2,775","5,241","3,608","4,028","1,510","4,286","1,384","2,481","2,338","2,714","2,558","2,899","2,839","3,218","5,474","3,383","1,965"
2020년09월_계_30~39세,"64,086","3,632","3,852","5,202","3,872","4,347",900,"5,642","1,590","2,683","2,707","2,463","3,027","3,203","3,018","3,661","6,938","4,531","2,818"
2020년09월_계_40~49세,"77,507","3,822","3,354","4,973","6,405","5,906","2,305","6,657","3,735","4,595","3,601","3,978","2,835","3,091","3,303","4,331","7,783","3,810","3,023"
2020년09월_계_50~59세,"62,985","2,944","2,506","4,813","4,743","4,969","2,130","4,103","2,126","3,434","2,839","3,449","2,471","3,208","3,569","3,511","6,304","3,340","2,526"
2020년09월_계_60~69세,"47,362","2,386","1,817","3,595","3,054","3,052","1,254","2,950","1,326","2,220","2,309","2,259","2,114","2,845","3,181","2,376","5,606","2,585","2,433"
2020년09월_계_70~79세,"27,275","1,345","1,039","2,135","1,855","1,532","1,004","1,611",929,"1,284","1,217","1,321","1,323","1,664","1,651","1,626","2,986","1,293","1,460"
2020년09월_계_80~89세,"9,649",468,310,779,685,630,337,491,325,502,426,623,452,533,583,616,"1,013",364,512
2020년09월_계_90~99세,"1,802",95,70,129,122,132,39,94,61,96,99,106,75,91,113,86,223,87,84
2020년09월_계_100세 이상,223,3,18,16,19,20,12,19,27,14,5,7,13,12,2,12,5,7,12
2020년09월_남_총인구수,"203,686","10,134","8,966","15,242","15,387","14,611","5,686","15,706","7,713","10,533","9,187","9,841","8,141","9,569","10,455","10,862","21,463","11,320","8,870"
2020년09월_남_연령구간인구수,"203,686","10,134","8,966","15,242","15,387","14,611","5,686","15,706","7,713","10,533","9,187","9,841","8,141","9,569","10,455","10,862","21,463","11,320","8,870"
2020년09월_남_0~9세,"17,806",817,736,904,"1,609","1,221",319,"1,549","1,016","1,049",914,770,602,592,724,862,"2,216",830,"1,076"
2020년09월_남_10~19세,"22,999","1,033",887,"1,575","2,183","1,854",975,"1,800","1,352","1,482","1,131","1,302",720,857,"1,018","1,191","2,171",819,649
2020년09월_남_20~29세,"26,664","1,353","1,211","2,458","1,740","1,932",734,"1,972",678,"1,235","1,114","1,275","1,211","1,426","1,487","1,414","2,684","1,712","1,028"
2020년09월_남_30~39세,"29,482","1,654","1,786","2,471","1,667","1,997",406,"2,553",632,"1,164","1,189","1,085","1,358","1,482","1,441","1,621","3,306","2,363","1,307"
2020년09월_남_40~49세,"36,460","1,837","1,608","2,354","3,009","2,701",952,"3,349","1,698","2,069","1,633","1,744","1,305","1,450","1,517","1,932","3,801","1,962","1,539"
2020년09월_남_50~59세,"30,932","1,438","1,246","2,371","2,464","2,456","1,087","2,128","1,144","1,740","1,366","1,719","1,156","1,456","1,665","1,697","2,999","1,628","1,172"
2020년09월_남_60~69세,"21,839","1,125",834,"1,671","1,444","1,452",593,"1,388",609,"1,000","1,042","1,071",946,"1,253","1,496","1,097","2,463","1,213","1,142"
2020년09월_남_70~79세,"12,799",657,481,"1,031",902,694,442,737,411,564,579,584,615,787,826,734,"1,406",616,733
2020년09월_남_80~89세,"4,160",188,153,363,325,259,166,202,150,205,185,258,197,238,250,294,374,156,197
2020년09월_남_90~99세,486,31,22,39,38,35,10,24,14,24,32,33,25,27,31,18,42,17,24
2020년09월_남_100세 이상,59,1,2,5,6,10,2,4,9,1,2,0,6,1,0,2,1,4,3
2020년09월_여_총인구수,"222,323","10,933","9,955","16,122","16,232","15,972","6,327","16,789","8,439","11,723","10,255","11,394","9,272","10,812","11,209","12,895","23,415","11,208","9,371"
2020년09월_여_연령구간인구수,"222,323","10,933","9,955","16,122","16,232","15,972","6,327","16,789","8,439","11,723","10,255","11,394","9,272","10,812","11,209","12,895","23,415","11,208","9,371"
2020년09월_여_0~9세,"16,576",734,772,822,"1,446","1,098",283,"1,567",882,958,809,754,597,593,660,831,"2,053",666,"1,051"
2020년09월_여_10~19세,"22,214",964,785,"1,180","2,018","1,794",945,"1,726","1,399","1,458","1,047","1,489",626,793,"1,003","1,436","2,106",813,632
2020년09월_여_20~29세,"28,861","1,471","1,564","2,783","1,868","2,096",776,"2,314",706,"1,246","1,224","1,439","1,347","1,473","1,352","1,804","2,790","1,671",937
2020년09월_여_30~39세,"34,604","1,978","2,066","2,731","2,205","2,350",494,"3,089",958,"1,519","1,518","1,378","1,669","1,721","1,577","2,040","3,632","2,168","1,511"
2020년09월_여_40~49세,"41,047","1,985","1,746","2,619","3,396","3,205","1,353","3,308","2,037","2,526","1,968","2,234","1,530","1,641","1,786","2,399","3,982","1,848","1,484"
2020년09월_여_50~59세,"32,053","1,506","1,260","2,442","2,279","2,513","1,043","1,975",982,"1,694","1,473","1,730","1,315","1,752","1,904","1,814","3,305","1,712","1,354"
2020년09월_여_60~69세,"25,523","1,261",983,"1,924","1,610","1,600",661,"1,562",717,"1,220","1,267","1,188","1,168","1,592","1,685","1,279","3,143","1,372","1,291"
2020년09월_여_70~79세,"14,476",688,558,"1,104",953,838,562,874,518,720,638,737,708,877,825,892,"1,580",677,727
2020년09월_여_80~89세,"5,489",280,157,416,360,371,171,289,175,297,241,365,255,295,333,322,639,208,315
2020년09월_여_90~99세,"1,316",64,48,90,84,97,29,70,47,72,67,73,50,64,82,68,181,70,60
2020년09월_여_100세 이상,164,2,16,11,13,10,10,15,18,13,3,7,7,11,2,10,4,3,9
