카테고리,경상남도 남해군,경상남도 남해군 남해읍,경상남도 남해군 이동면,경상남도 남해군 상주면,경상남도 남해군 삼동면,경상남도 남해군 미조면,경상남도 남해군 남면,경상남도 남해군 서면,경상남도 남해군 고현면,경상남도 남해군 설천면,경상남도 남해군 창선면
2020년03월_계_총인구수,"43,351","13,251","3,802","1,638","3,941","2,400","3,641","2,651","3,496","2,906","5,625"
2020년03월_계_연령구간인구수,"43,351","13,251","3,802","1,638","3,941","2,400","3,641","2,651","3,496","2,906","5,625"
2020년03월_계_0~9세,"1,656",911,79,37,127,96,81,53,80,55,137
2020년03월_계_10~19세,"3,107","1,505",194,108,194,184,238,91,171,121,301
2020년03월_계_20~29세,"3,281","1,482",252,94,209,190,205,136,224,166,323
2020년03월_계_30~39세,"2,620","1,190",174,75,217,145,165,111,160,121,262
2020년03월_계_40~49세,"4,752","1,968",357,143,405,265,342,221,323,225,503
2020년03월_계_50~59세,"7,485","2,227",670,316,668,505,589,430,581,492,"1,007"
2020년03월_계_60~69세,"7,994","1,859",745,308,823,488,708,536,663,643,"1,221"
2020년03월_계_70~79세,"6,816","1,250",717,280,703,317,705,529,667,554,"1,094"
2020년03월_계_80~89세,"4,800",725,527,247,495,177,520,475,524,434,676
2020년03월_계_90~99세,822,133,86,30,97,32,84,68,101,92,99
2020년03월_계_100세 이상,18,1,1,0,3,1,4,1,2,3,2
2020년03월_남_총인구수,"20,851","6,488","1,813",793,"1,897","1,231","1,702","1,258","1,632","1,377","2,660"
2020년03월_남_연령구간인구수,"20,851","6,488","1,813",793,"1,897","1,231","1,702","1,258","1,632","1,377","2,660"
2020년03월_남_0~9세,893,475,38,23,78,46,54,28,44,29,78
2020년03월_남_10~19세,"1,671",805,110,55,114,100,112,57,102,60,156
2020년03월_남_20~29세,"1,964",876,153,62,117,127,119,94,121,105,190
2020년03월_남_30~39세,"1,381",587,94,41,117,82,89,69,89,67,146
2020년03월_남_40~49세,"2,581",953,201,80,227,148,199,135,194,133,311
2020년03월_남_50~59세,"3,960","1,119",374,178,367,273,321,248,301,262,517
2020년03월_남_60~69세,"3,898",880,354,148,406,244,339,261,322,328,616
2020년03월_남_70~79세,"2,933",549,309,121,310,153,308,223,286,242,432
2020년03월_남_80~89세,"1,423",226,157,80,145,54,140,134,151,136,200
2020년03월_남_90~99세,146,18,23,5,15,4,21,9,22,15,14
2020년03월_남_100세 이상,1,0,0,0,1,0,0,0,0,0,0
2020년03월_여_총인구수,"22,500","6,763","1,989",845,"2,044","1,169","1,939","1,393","1,864","1,529","2,965"
2020년03월_여_연령구간인구수,"22,500","6,763","1,989",845,"2,044","1,169","1,939","1,393","1,864","1,529","2,965"
2020년03월_여_0~9세,763,436,41,14,49,50,27,25,36,26,59
2020년03월_여_10~19세,"1,436",700,84,53,80,84,126,34,69,61,145
2020년03월_여_20~29세,"1,317",606,99,32,92,63,86,42,103,61,133
2020년03월_여_30~39세,"1,239",603,80,34,100,63,76,42,71,54,116
2020년03월_여_40~49세,"2,171","1,015",156,63,178,117,143,86,129,92,192
2020년03월_여_50~59세,"3,525","1,108",296,138,301,232,268,182,280,230,490
2020년03월_여_60~69세,"4,096",979,391,160,417,244,369,275,341,315,605
2020년03월_여_70~79세,"3,883",701,408,159,393,164,397,306,381,312,662
2020년03월_여_80~89세,"3,377",499,370,167,350,123,380,341,373,298,476
2020년03월_여_90~99세,676,115,63,25,82,28,63,59,79,77,85
2020년03월_여_100세 이상,17,1,1,0,2,1,4,1,2,3,2
